r,t,y,AnnualFixedOperatingCost
REGION1,PWRBIOB01,2020,6.286
REGION1,PWRBIOB01,2021,6.286
REGION1,PWRBIOB01,2022,6.286
REGION1,PWRBIOB01,2023,6.286
REGION1,PWRBIOB01,2024,6.286
REGION1,PWRBIOB01,2025,6.286
REGION1,PWRBIOB01,2026,6.286
REGION1,PWRBIOB01,2027,6.286
REGION1,PWRBIOB01,2028,6.286
REGION1,PWRBIOB01,2029,6.286
REGION1,PWRBIOB01,2030,6.286
REGION1,PWRBIOB01,2031,6.286
REGION1,PWRBIOB01,2032,6.286
REGION1,PWRBIOB01,2033,6.286
REGION1,PWRBIOB01,2034,6.286
REGION1,PWRBIOB01,2035,6.286
REGION1,PWRBIOB01,2036,6.286
REGION1,PWRBIOB01,2037,6.286
REGION1,PWRBIOB01,2038,6.286
REGION1,PWRBIOB01,2039,6.286
REGION1,PWRBIOB01,2040,6.286
REGION1,PWRBIOB01,2041,6.286
REGION1,PWRBIOB01,2042,6.286
REGION1,PWRBIOB01,2043,6.286
REGION1,PWRBIOB01,2044,6.286
REGION1,PWRBIOB01,2045,6.286
REGION1,PWRBIOB01,2046,6.286
REGION1,PWRBIOB01,2047,6.286
REGION1,PWRBIOB01,2048,6.286
REGION1,PWRBIOB01,2049,6.286
REGION1,PWRBIOB01,2050,6.286
REGION1,PWRBIOB02,2020,22.6296
REGION1,PWRBIOB02,2021,22.6296
REGION1,PWRBIOB02,2022,22.6296
REGION1,PWRBIOB02,2023,22.6296
REGION1,PWRBIOB02,2024,22.6296
REGION1,PWRBIOB02,2025,22.6296
REGION1,PWRBIOB02,2026,22.6296
REGION1,PWRBIOB02,2027,22.6296
REGION1,PWRBIOB02,2028,22.6296
REGION1,PWRBIOB02,2029,22.6296
REGION1,PWRBIOB02,2030,22.6296
REGION1,PWRBIOB02,2031,22.6296
REGION1,PWRBIOB02,2032,22.6296
REGION1,PWRBIOB02,2033,22.6296
REGION1,PWRBIOB02,2034,22.6296
REGION1,PWRBIOB02,2035,22.6296
REGION1,PWRBIOB02,2036,22.6296
REGION1,PWRBIOB02,2037,22.6296
REGION1,PWRBIOB02,2038,22.6296
REGION1,PWRBIOB02,2039,22.6296
REGION1,PWRBIOB02,2040,22.6296
REGION1,PWRBIOB02,2041,22.6296
REGION1,PWRBIOB02,2042,22.6296
REGION1,PWRBIOB02,2043,22.6296
REGION1,PWRBIOB02,2044,22.6296
REGION1,PWRBIOB02,2045,22.6296
REGION1,PWRBIOB02,2046,22.6296
REGION1,PWRBIOB02,2047,22.6296
REGION1,PWRBIOB02,2048,22.6296
REGION1,PWRBIOB02,2049,22.6296
REGION1,PWRBIOB02,2050,22.6296
REGION1,PWRBIOB03,2020,7.5432
REGION1,PWRBIOB03,2021,7.5432
REGION1,PWRBIOB03,2022,7.5432
REGION1,PWRBIOB03,2023,7.5432
REGION1,PWRBIOB03,2024,7.5432
REGION1,PWRBIOB03,2025,7.5432
REGION1,PWRBIOB03,2026,7.5432
REGION1,PWRBIOB03,2027,7.5432
REGION1,PWRBIOB03,2028,7.5432
REGION1,PWRBIOB03,2029,7.5432
REGION1,PWRBIOB03,2030,7.5432
REGION1,PWRBIOB03,2031,7.5432
REGION1,PWRBIOB03,2032,7.5432
REGION1,PWRBIOB03,2033,7.5432
REGION1,PWRBIOB03,2034,7.5432
REGION1,PWRBIOB03,2035,7.5432
REGION1,PWRBIOB03,2036,7.5432
REGION1,PWRBIOB03,2037,7.5432
REGION1,PWRBIOB03,2038,7.5432
REGION1,PWRBIOB03,2039,7.5432
REGION1,PWRBIOB03,2040,7.5432
REGION1,PWRBIOB03,2041,7.5432
REGION1,PWRBIOB03,2042,7.5432
REGION1,PWRBIOB03,2043,7.5432
REGION1,PWRBIOB03,2044,7.5432
REGION1,PWRBIOB03,2045,7.5432
REGION1,PWRBIOB03,2046,7.5432
REGION1,PWRBIOB03,2047,7.5432
REGION1,PWRBIOB03,2048,7.5432
REGION1,PWRBIOB03,2049,7.5432
REGION1,PWRBIOB03,2050,7.5432
REGION1,PWRBIOB04,2020,33.9444
REGION1,PWRBIOB04,2021,33.9444
REGION1,PWRBIOB04,2022,33.9444
REGION1,PWRBIOB04,2023,33.9444
REGION1,PWRBIOB04,2024,33.9444
REGION1,PWRBIOB04,2025,33.9444
REGION1,PWRBIOB04,2026,33.9444
REGION1,PWRBIOB04,2027,33.9444
REGION1,PWRBIOB04,2028,33.9444
REGION1,PWRBIOB04,2029,33.9444
REGION1,PWRBIOB04,2030,33.9444
REGION1,PWRBIOB04,2031,33.9444
REGION1,PWRBIOB04,2032,33.9444
REGION1,PWRBIOB04,2033,33.9444
REGION1,PWRBIOB04,2034,33.9444
REGION1,PWRBIOB04,2035,33.9444
REGION1,PWRBIOB04,2036,33.9444
REGION1,PWRBIOB04,2037,33.9444
REGION1,PWRBIOB04,2038,33.9444
REGION1,PWRBIOB04,2039,33.9444
