r,t,e,m,y,AnnualTechnologyEmissionByMode
REGION1,DEMAGRDSL,CO2,1,2020,1.0386
REGION1,DEMAGRDSL,CO2,1,2021,1.0901
REGION1,DEMAGRDSL,CO2,1,2022,1.1354
REGION1,DEMAGRDSL,CO2,1,2023,1.1623
REGION1,DEMAGRDSL,CO2,1,2024,1.2281
REGION1,DEMAGRDSL,CO2,1,2025,1.2662
REGION1,DEMAGRDSL,CO2,1,2026,1.3099
REGION1,DEMAGRDSL,CO2,1,2027,1.3562
REGION1,DEMAGRDSL,CO2,1,2028,1.4054
REGION1,DEMAGRDSL,CO2,1,2029,1.4465
REGION1,DEMAGRDSL,CO2,1,2030,1.4937
REGION1,DEMAGRDSL,CO2,1,2031,1.5398
REGION1,DEMAGRDSL,CO2,1,2032,1.5849
REGION1,DEMAGRDSL,CO2,1,2033,1.6298
REGION1,DEMAGRDSL,CO2,1,2034,1.6762
REGION1,DEMAGRDSL,CO2,1,2035,1.7214
REGION1,DEMAGRDSL,CO2,1,2036,1.7668
REGION1,DEMAGRDSL,CO2,1,2037,1.8124
REGION1,DEMAGRDSL,CO2,1,2038,1.8581
REGION1,DEMAGRDSL,CO2,1,2039,1.9034
REGION1,DEMAGRDSL,CO2,1,2040,1.9491
REGION1,DEMAGRDSL,CO2,1,2041,1.9946
REGION1,DEMAGRDSL,CO2,1,2042,2.0401
REGION1,DEMAGRDSL,CO2,1,2043,2.0856
REGION1,DEMAGRDSL,CO2,1,2044,2.1312
REGION1,DEMAGRDSL,CO2,1,2045,2.1767
REGION1,DEMAGRDSL,CO2,1,2046,2.2222
REGION1,DEMAGRDSL,CO2,1,2047,2.2678
REGION1,DEMAGRDSL,CO2,1,2048,2.3133
REGION1,DEMAGRDSL,CO2,1,2049,2.3588
REGION1,DEMAGRDSL,CO2,1,2050,2.4044
REGION1,DEMCOMBIO,CO2,1,2020,0.0084
REGION1,DEMCOMBIO,CO2,1,2021,0.0119
REGION1,DEMCOMBIO,CO2,1,2022,0.0154
REGION1,DEMCOMBIO,CO2,1,2023,0.0182
REGION1,DEMCOMBIO,CO2,1,2024,0.0217
REGION1,DEMCOMBIO,CO2,1,2025,0.0245
REGION1,DEMCOMBIO,CO2,1,2026,0.028
REGION1,DEMCOMBIO,CO2,1,2027,0.0315
REGION1,DEMCOMBIO,CO2,1,2028,0.0343
REGION1,DEMCOMBIO,CO2,1,2029,0.0378
REGION1,DEMCOMBIO,CO2,1,2030,0.0406
REGION1,DEMCOMBIO,CO2,1,2031,0.0441
REGION1,DEMCOMBIO,CO2,1,2032,0.0469
REGION1,DEMCOMBIO,CO2,1,2033,0.0497
REGION1,DEMCOMBIO,CO2,1,2034,0.0525
REGION1,DEMCOMBIO,CO2,1,2035,0.0553
REGION1,DEMCOMBIO,CO2,1,2036,0.0581
REGION1,DEMCOMBIO,CO2,1,2037,0.0602
REGION1,DEMCOMBIO,CO2,1,2038,0.063
REGION1,DEMCOMBIO,CO2,1,2039,0.0651
REGION1,DEMCOMBIO,CO2,1,2040,0.0679
REGION1,DEMCOMBIO,CO2,1,2041,0.064
REGION1,DEMCOMBIO,CO2,1,2042,0.0663
REGION1,DEMCOMBIO,CO2,1,2043,0.0685
REGION1,DEMCOMBIO,CO2,1,2044,0.0706
REGION1,DEMCOMBIO,CO2,1,2045,0.0729
REGION1,DEMCOMBIO,CO2,1,2046,0.075
REGION1,DEMCOMBIO,CO2,1,2047,0.0773
REGION1,DEMCOMBIO,CO2,1,2048,0.0795
REGION1,DEMCOMBIO,CO2,1,2049,0.0817
REGION1,DEMCOMBIO,CO2,1,2050,0.0839
REGION1,DEMCOMKER,CO2,1,2020,0.7558
REGION1,DEMCOMKER,CO2,1,2021,0.7722
REGION1,DEMCOMKER,CO2,1,2022,0.7865
REGION1,DEMCOMKER,CO2,1,2023,0.7987
REGION1,DEMCOMKER,CO2,1,2024,0.8101
REGION1,DEMCOMKER,CO2,1,2025,0.8208
REGION1,DEMCOMKER,CO2,1,2026,0.833
REGION1,DEMCOMKER,CO2,1,2027,0.8458
REGION1,DEMCOMKER,CO2,1,2028,0.8601
REGION1,DEMCOMKER,CO2,1,2029,0.8744
REGION1,DEMCOMKER,CO2,1,2030,0.8873
REGION1,DEMCOMKER,CO2,1,2031,0.8988
REGION1,DEMCOMKER,CO2,1,2032,0.9102
REGION1,DEMCOMKER,CO2,1,2033,0.9202
REGION1,DEMCOMKER,CO2,1,2034,0.9309
REGION1,DEMCOMKER,CO2,1,2035,0.9409
REGION1,DEMCOMKER,CO2,1,2036,0.9502
REGION1,DEMCOMKER,CO2,1,2037,0.9581
REGION1,DEMCOMKER,CO2,1,2038,0.966
REGION1,DEMCOMKER,CO2,1,2039,0.9724
REGION1,DEMCOMKER,CO2,1,2040,0.9796
REGION1,DEMCOMKER,CO2,1,2041,1.015
REGION1,DEMCOMKER,CO2,1,2042,1.0285
REGION1,DEMCOMKER,CO2,1,2043,1.042
REGION1,DEMCOMKER,CO2,1,2044,1.0554
REGION1,DEMCOMKER,CO2,1,2045,1.0689
REGION1,DEMCOMKER,CO2,1,2046,1.0823
