r,t,y,DiscountedSalvageValue
REGION1,LNDALFLRBC1,2037,0.004
REGION1,LNDALFLRBC1,2038,0.0102
REGION1,LNDALFLRBC1,2039,0.011
REGION1,LNDALFLRBC1,2040,0.014
REGION1,LNDALFLRBC1,2041,0.0223
REGION1,LNDALFLRBC1,2042,0.0256
REGION1,LNDALFLRBC1,2043,0.0215
REGION1,LNDALFLRBC1,2044,0.0236
REGION1,LNDALFLRBC1,2045,0.0339
REGION1,LNDALFLRBC1,2046,0.0271
REGION1,LNDALFLRBC1,2047,0.0287
REGION1,LNDALFLRBC1,2048,0.0401
REGION1,LNDALFLRBC1,2049,0.0418
REGION1,LNDALFLRBC1,2050,14.9869
REGION1,LNDBRLLRBC1,2050,0.0904
REGION1,LNDMAILRBC1,2037,0.024
REGION1,LNDMAILRBC1,2038,0.0515
REGION1,LNDMAILRBC1,2039,0.0164
REGION1,LNDMAILRBC1,2040,0.0418
REGION1,LNDMAILRBC1,2041,0.1374
REGION1,LNDMAILRBC1,2045,0.0569
REGION1,LNDMAILRBC1,2046,0.0405
REGION1,LNDMAILRBC1,2047,0.0428
REGION1,LNDMAILRBC1,2048,0.0449
REGION1,LNDMAILRBC1,2049,0.0468
REGION1,LNDMAILRBC1,2050,8.6161
REGION1,LNDOATLRBC1,2037,0.001
REGION1,LNDOATLRBC1,2038,0.0009
REGION1,LNDOATLRBC1,2039,0.0013
REGION1,LNDOATLRBC1,2040,0.0034
REGION1,LNDOATLRBC1,2041,0.002
REGION1,LNDOATLRBC1,2042,0.0023
REGION1,LNDOATLRBC1,2043,0.0052
REGION1,LNDOATLRBC1,2044,0.0028
REGION1,LNDOATLRBC1,2045,0.0031
REGION1,LNDOATLRBC1,2046,0.0033
REGION1,LNDOATLRBC1,2047,0.0069
REGION1,LNDOATLRBC1,2048,0.0036
REGION1,LNDOATLRBC1,2049,0.0038
REGION1,LNDOATLRBC1,2050,0.2313
REGION1,LNDOTHIIBC1,2037,0.0656
REGION1,LNDOTHIIBC1,2038,0.1251
REGION1,LNDOTHIIBC1,2039,0.1793
REGION1,LNDOTHIIBC1,2040,0.2286
REGION1,LNDOTHIIBC1,2041,0.2734
REGION1,LNDOTHIIBC1,2042,0.3141
REGION1,LNDOTHIIBC1,2043,0.3511
REGION1,LNDOTHIIBC1,2044,0.3847
REGION1,LNDOTHIIBC1,2045,0.4153
REGION1,LNDOTHIIBC1,2046,0.4431
REGION1,LNDOTHIIBC1,2047,0.4684
REGION1,LNDOTHIIBC1,2048,0.4913
REGION1,LNDOTHIIBC1,2049,0.5122
REGION1,LNDOTHIIBC1,2050,6.3365
REGION1,LNDPEALRBC1,2037,0.0026
REGION1,LNDPEALRBC1,2038,0.0025
REGION1,LNDPEALRBC1,2039,0.0072
REGION1,LNDPEALRBC1,2040,0.0046
REGION1,LNDPEALRBC1,2041,0.0055
REGION1,LNDPEALRBC1,2042,0.0127
REGION1,LNDPEALRBC1,2043,0.0071
REGION1,LNDPEALRBC1,2044,0.0155
REGION1,LNDPEALRBC1,2045,0.0084
REGION1,LNDPEALRBC1,2046,0.009
REGION1,LNDPEALRBC1,2047,0.0189
REGION1,LNDPEALRBC1,2048,0.0099
REGION1,LNDPEALRBC1,2049,0.0207
REGION1,LNDPEALRBC1,2050,0.177
REGION1,LNDPTWLRBC1,2050,0.0002
REGION1,LNDRAPLRBC1,2037,0.0033
REGION1,LNDRAPLRBC1,2038,0.0063
REGION1,LNDRAPLRBC1,2039,0.009
REGION1,LNDRAPLRBC1,2040,0.0114
REGION1,LNDRAPLRBC1,2041,0.0137
REGION1,LNDRAPLRBC1,2042,0.0157
REGION1,LNDRAPLRBC1,2043,0.0211
REGION1,LNDRAPLRBC1,2044,0.0154
REGION1,LNDRAPLRBC1,2045,0.0249
REGION1,LNDRAPLRBC1,2046,0.0221
REGION1,LNDRAPLRBC1,2047,0.0234
REGION1,LNDRAPLRBC1,2048,0.0246
REGION1,LNDRAPLRBC1,2049,0.0256
REGION1,LNDRAPLRBC1,2050,0.3239
REGION1,LNDRYELRBC1,2050,0.0047
REGION1,LNDWHELRBC1,2037,0.0006
REGION1,LNDWHELRBC1,2038,0.0011
REGION1,LNDWHELRBC1,2039,0.0008
REGION1,LNDWHELRBC1,2040,0.002
REGION1,LNDWHELRBC1,2041,0.0024
REGION1,LNDWHELRBC1,2042,0.0027
REGION1,LNDWHELRBC1,2043,0.0015
REGION1,LNDWHELRBC1,2044,0.0034
REGION1,LNDWHELRBC1,2045,0.0036
REGION1,LNDWHELRBC1,2046,0.0039
REGION1,LNDWHELRBC1,2047,0.0041
REGION1,LNDWHELRBC1,2048,0.0043
REGION1,LNDWHELRBC1,2049,0.0022
REGION1,LNDWHELRBC1,2050,0.1228
REGION1,MINNGS,2020,0.2066
REGION1,MINNGS,2022,0.0013
REGION1,MINNGS,2023,0.0057
REGION1,MINNGS,2024,0.0138
REGION1,MINNGS,2026,0.0129
REGION1,MINNGS,2027,0.0058
REGION1,MINNGS,2028,0.0021
REGION1,MINNGS,2029,0.0023
REGION1,MINNGS,2030,0.0108
REGION1,MINNGS,2031,0.015
REGION1,MINNGS,2032,0.01
REGION1,MINNGS,2033,0.0003
REGION1,MINNGS,2034,0.0004
REGION1,MINNGS,2035,0.0009
REGION1,MINNGS,2036,0.001
REGION1,MINNGS,2037,0.0005
REGION1,MINNGS,2038,0.0006
REGION1,MINNGS,2039,0.0007
REGION1,MINNGS,2040,0.0008
REGION1,MINNGS,2041,0.0155
REGION1,MINNGS,2042,0.0041
REGION1,MINNGS,2043,0.0041
REGION1,MINNGS,2044,0.0041
REGION1,MINNGS,2045,0.0041
REGION1,MINNGS,2046,0.0041
REGION1,MINNGS,2047,0.0041
REGION1,MINNGS,2048,0.0041
REGION1,MINNGS,2049,0.0041
REGION1,MINNGS,2050,0.0041
REGION1,PWRGEOB01,2042,7.0889
REGION1,PWRGEOB01,2043,21.8638
REGION1,PWRGEOB01,2044,12.5635
REGION1,PWRGEOB01,2045,17.3409
REGION1,PWRGEOB01,2046,30.73
REGION1,PWRGEOB01,2047,13.5823
REGION1,PWRGEOB01,2048,12.7481
REGION1,PWRGEOB01,2049,12.7885
REGION1,PWRGEOB01,2050,12.8151
REGION1,PWRHYDB01,2025,293.692
REGION1,PWRNGSB01,2050,2.3115
REGION1,PWRWNDB03,2027,1.8511
REGION1,PWRWNDB03,2028,2.4795
REGION1,PWRWNDB03,2029,3.4367
REGION1,PWRWNDB03,2030,8.232
REGION1,PWRWNDB03,2031,10.9075
REGION1,PWRWNDB03,2032,12.4154
REGION1,PWRWNDB03,2033,8.4504
REGION1,PWRWNDB03,2034,5.2712
REGION1,PWRWNDB03,2035,8.9014
REGION1,PWRWNDB03,2036,7.712
REGION1,PWRWNDB03,2037,14.0928
REGION1,PWRWNDB03,2038,18.8894
REGION1,PWRWNDB03,2039,17.4212
REGION1,PWRWNDB03,2040,13.1311
REGION1,PWRWNDB03,2041,11.7905
REGION1,PWRWNDB03,2042,5.3926
REGION1,PWRWNDB03,2043,2.2072
REGION1,PWRWNDB03,2045,190.6908
REGION1,PWRWNDB03,2046,1.0093
