r,t,y,NewCapacity
REGION1,DEMAGRDSL,2020,15.0303
REGION1,DEMAGRDSL,2021,15.7758
REGION1,DEMAGRDSL,2022,16.4313
REGION1,DEMAGRDSL,2023,16.8202
REGION1,DEMAGRDSL,2024,17.7717
REGION1,DEMAGRDSL,2025,18.3242
REGION1,DEMAGRDSL,2026,18.9556
REGION1,DEMAGRDSL,2027,19.6263
REGION1,DEMAGRDSL,2028,20.3384
REGION1,DEMAGRDSL,2029,20.9333
REGION1,DEMAGRDSL,2030,21.6162
REGION1,DEMAGRDSL,2031,22.2828
REGION1,DEMAGRDSL,2032,22.9364
REGION1,DEMAGRDSL,2033,23.5848
REGION1,DEMAGRDSL,2034,24.2576
REGION1,DEMAGRDSL,2035,24.9111
REGION1,DEMAGRDSL,2036,25.5687
REGION1,DEMAGRDSL,2037,26.2283
REGION1,DEMAGRDSL,2038,26.8899
REGION1,DEMAGRDSL,2039,27.5455
REGION1,DEMAGRDSL,2040,28.2061
REGION1,DEMAGRDSL,2041,28.8646
REGION1,DEMAGRDSL,2042,29.5232
REGION1,DEMAGRDSL,2043,30.1818
REGION1,DEMAGRDSL,2044,30.8414
REGION1,DEMAGRDSL,2045,31.5
REGION1,DEMAGRDSL,2046,32.1586
REGION1,DEMAGRDSL,2047,32.8182
REGION1,DEMAGRDSL,2048,33.4768
REGION1,DEMAGRDSL,2049,34.1354
REGION1,DEMAGRDSL,2050,34.7949
REGION1,DEMAGRSURBC1,2020,0.1614
REGION1,DEMAGRSURBC1,2021,0.1899
REGION1,DEMAGRSURBC1,2022,0.1973
REGION1,DEMAGRSURBC1,2023,0.2047
REGION1,DEMAGRSURBC1,2024,0.2121
REGION1,DEMAGRSURBC1,2025,0.2194
REGION1,DEMAGRSURBC1,2026,0.2268
REGION1,DEMAGRSURBC1,2027,0.2342
REGION1,DEMAGRSURBC1,2028,0.2416
REGION1,DEMAGRSURBC1,2029,0.249
REGION1,DEMAGRSURBC1,2030,0.2564
REGION1,DEMAGRSURBC1,2031,0.2637
REGION1,DEMAGRSURBC1,2032,0.2711
REGION1,DEMAGRSURBC1,2033,0.2785
REGION1,DEMAGRSURBC1,2034,0.2859
REGION1,DEMAGRSURBC1,2035,0.2933
REGION1,DEMAGRSURBC1,2036,0.3007
REGION1,DEMAGRSURBC1,2037,0.3081
REGION1,DEMAGRSURBC1,2038,0.3154
REGION1,DEMAGRSURBC1,2039,0.3228
REGION1,DEMAGRSURBC1,2040,0.3302
REGION1,DEMAGRSURBC1,2041,0.3376
REGION1,DEMAGRSURBC1,2042,0.345
REGION1,DEMAGRSURBC1,2043,0.3524
REGION1,DEMAGRSURBC1,2044,0.3598
REGION1,DEMAGRSURBC1,2045,0.3671
REGION1,DEMAGRSURBC1,2046,0.3745
REGION1,DEMAGRSURBC1,2047,0.3819
REGION1,DEMAGRSURBC1,2048,0.3893
REGION1,DEMAGRSURBC1,2049,0.3967
REGION1,DEMAGRSURBC1,2050,0.4041
REGION1,DEMCOMBIO,2020,0.1212
REGION1,DEMCOMBIO,2021,0.1717
REGION1,DEMCOMBIO,2022,0.2222
REGION1,DEMCOMBIO,2023,0.2626
REGION1,DEMCOMBIO,2024,0.3131
REGION1,DEMCOMBIO,2025,0.3535
REGION1,DEMCOMBIO,2026,0.404
REGION1,DEMCOMBIO,2027,0.4545
REGION1,DEMCOMBIO,2028,0.4949
REGION1,DEMCOMBIO,2029,0.5455
REGION1,DEMCOMBIO,2030,0.5859
REGION1,DEMCOMBIO,2031,0.6364
REGION1,DEMCOMBIO,2032,0.6768
REGION1,DEMCOMBIO,2033,0.7172
REGION1,DEMCOMBIO,2034,0.7576
REGION1,DEMCOMBIO,2035,0.798
REGION1,DEMCOMBIO,2036,0.8384
REGION1,DEMCOMBIO,2037,0.8687
REGION1,DEMCOMBIO,2038,0.9091
REGION1,DEMCOMBIO,2039,0.9394
REGION1,DEMCOMBIO,2040,0.9798
REGION1,DEMCOMBIO,2041,0.9242
REGION1,DEMCOMBIO,2042,0.9566
REGION1,DEMCOMBIO,2043,0.9879
REGION1,DEMCOMBIO,2044,1.0192
REGION1,DEMCOMBIO,2045,1.0515
REGION1,DEMCOMBIO,2046,1.0828
REGION1,DEMCOMBIO,2047,1.1152
REGION1,DEMCOMBIO,2048,1.1465
REGION1,DEMCOMBIO,2049,1.1788
REGION1,DEMCOMBIO,2050,1.2101
REGION1,DEMCOMELCB02,2020,82.3333
REGION1,DEMCOMELCB02,2021,84.1967
REGION1,DEMCOMELCB02,2022,85.7422
REGION1,DEMCOMELCB02,2023,87.0133
REGION1,DEMCOMELCB02,2024,88.0533
REGION1,DEMCOMELCB02,2025,89.1078
REGION1,DEMCOMELCB02,2026,90.3211
REGION1,DEMCOMELCB02,2027,91.5778
REGION1,DEMCOMELCB02,2028,92.6033
REGION1,DEMCOMELCB02,2029,93.7156
REGION1,DEMCOMELCB02,2030,94.7844
REGION1,DEMCOMELCB02,2031,95.5933
REGION1,DEMCOMELCB02,2032,96.3878
REGION1,DEMCOMELCB02,2033,97.37
REGION1,DEMCOMELCB02,2034,98.0056
REGION1,DEMCOMELCB02,2035,98.6122
REGION1,DEMCOMELCB02,2036,99.2189
REGION1,DEMCOMELCB02,2037,99.7678
REGION1,DEMCOMELCB02,2038,100.4467
REGION1,DEMCOMELCB02,2039,101.0533
REGION1,DEMCOMELCB02,2040,101.6889
REGION1,DEMCOMELCB02,2041,102.5137
REGION1,DEMCOMELCB02,2042,103.1926
REGION1,DEMCOMELCB02,2043,103.87
REGION1,DEMCOMELCB02,2044,104.5474
REGION1,DEMCOMELCB02,2045,105.2249
REGION1,DEMCOMELCB02,2046,105.9023
REGION1,DEMCOMELCB02,2047,106.5812
REGION1,DEMCOMELCB02,2048,107.2587
REGION1,DEMCOMELCB02,2049,107.9361
REGION1,DEMCOMELCB02,2050,108.6136
REGION1,DEMCOMKER,2020,10.6768
REGION1,DEMCOMKER,2021,10.9091
REGION1,DEMCOMKER,2022,11.1111
REGION1,DEMCOMKER,2023,11.2828
REGION1,DEMCOMKER,2024,11.4444
REGION1,DEMCOMKER,2025,11.596
REGION1,DEMCOMKER,2026,11.7677
REGION1,DEMCOMKER,2027,11.9495
REGION1,DEMCOMKER,2028,12.1515
REGION1,DEMCOMKER,2029,12.3535
REGION1,DEMCOMKER,2030,12.5354
REGION1,DEMCOMKER,2031,12.697
REGION1,DEMCOMKER,2032,12.8586
REGION1,DEMCOMKER,2033,13.0
REGION1,DEMCOMKER,2034,13.1515
REGION1,DEMCOMKER,2035,13.2929
REGION1,DEMCOMKER,2036,13.4242
REGION1,DEMCOMKER,2037,13.5354
REGION1,DEMCOMKER,2038,13.6465
REGION1,DEMCOMKER,2039,13.7374
REGION1,DEMCOMKER,2040,13.8384
REGION1,DEMCOMKER,2041,14.3394
REGION1,DEMCOMKER,2042,14.5293
REGION1,DEMCOMKER,2043,14.7202
REGION1,DEMCOMKER,2044,14.9101
REGION1,DEMCOMKER,2045,15.1
REGION1,DEMCOMKER,2046,15.2899
REGION1,DEMCOMKER,2047,15.4798
REGION1,DEMCOMKER,2048,15.6697
REGION1,DEMCOMKER,2049,15.8596
REGION1,DEMCOMKER,2050,16.0505
REGION1,DEMCOMNGS,2020,84.899
REGION1,DEMCOMNGS,2021,84.9495
REGION1,DEMCOMNGS,2022,84.8889
REGION1,DEMCOMNGS,2023,84.9596
REGION1,DEMCOMNGS,2024,85.4848
REGION1,DEMCOMNGS,2025,86.5253
REGION1,DEMCOMNGS,2026,88.0505
REGION1,DEMCOMNGS,2027,89.4444
REGION1,DEMCOMNGS,2028,90.2727
REGION1,DEMCOMNGS,2029,91.3333
REGION1,DEMCOMNGS,2030,92.6061
REGION1,DEMCOMNGS,2031,94.1717
REGION1,DEMCOMNGS,2032,95.2222
REGION1,DEMCOMNGS,2033,95.9394
