r,t,f,y,UseByTechnologyAnnual
REGION1,DEMAGRDSL,DSL,2020,14.88
REGION1,DEMAGRDSL,DSL,2021,15.618
REGION1,DEMAGRDSL,DSL,2022,16.267
REGION1,DEMAGRDSL,DSL,2023,16.652
REGION1,DEMAGRDSL,DSL,2024,17.594
REGION1,DEMAGRDSL,DSL,2025,18.141
REGION1,DEMAGRDSL,DSL,2026,18.766
REGION1,DEMAGRDSL,DSL,2027,19.43
REGION1,DEMAGRDSL,DSL,2028,20.135
REGION1,DEMAGRDSL,DSL,2029,20.724
REGION1,DEMAGRDSL,DSL,2030,21.4
REGION1,DEMAGRDSL,DSL,2031,22.06
REGION1,DEMAGRDSL,DSL,2032,22.707
REGION1,DEMAGRDSL,DSL,2033,23.349
REGION1,DEMAGRDSL,DSL,2034,24.015
REGION1,DEMAGRDSL,DSL,2035,24.662
REGION1,DEMAGRDSL,DSL,2036,25.313
REGION1,DEMAGRDSL,DSL,2037,25.966
REGION1,DEMAGRDSL,DSL,2038,26.621
REGION1,DEMAGRDSL,DSL,2039,27.27
REGION1,DEMAGRDSL,DSL,2040,27.924
REGION1,DEMAGRDSL,DSL,2041,28.576
REGION1,DEMAGRDSL,DSL,2042,29.228
REGION1,DEMAGRDSL,DSL,2043,29.88
REGION1,DEMAGRDSL,DSL,2044,30.533
REGION1,DEMAGRDSL,DSL,2045,31.185
REGION1,DEMAGRDSL,DSL,2046,31.837
REGION1,DEMAGRDSL,DSL,2047,32.49
REGION1,DEMAGRDSL,DSL,2048,33.142
REGION1,DEMAGRDSL,DSL,2049,33.794
REGION1,DEMAGRDSL,DSL,2050,34.447
REGION1,DEMAGRSURBC1,WTRSURBC1,2020,0.1598
REGION1,DEMAGRSURBC1,WTRSURBC1,2021,0.188
REGION1,DEMAGRSURBC1,WTRSURBC1,2022,0.1953
REGION1,DEMAGRSURBC1,WTRSURBC1,2023,0.2027
REGION1,DEMAGRSURBC1,WTRSURBC1,2024,0.21
REGION1,DEMAGRSURBC1,WTRSURBC1,2025,0.2172
REGION1,DEMAGRSURBC1,WTRSURBC1,2026,0.2245
REGION1,DEMAGRSURBC1,WTRSURBC1,2027,0.2319
REGION1,DEMAGRSURBC1,WTRSURBC1,2028,0.2392
REGION1,DEMAGRSURBC1,WTRSURBC1,2029,0.2465
REGION1,DEMAGRSURBC1,WTRSURBC1,2030,0.2538
REGION1,DEMAGRSURBC1,WTRSURBC1,2031,0.2611
REGION1,DEMAGRSURBC1,WTRSURBC1,2032,0.2684
REGION1,DEMAGRSURBC1,WTRSURBC1,2033,0.2757
REGION1,DEMAGRSURBC1,WTRSURBC1,2034,0.283
REGION1,DEMAGRSURBC1,WTRSURBC1,2035,0.2904
REGION1,DEMAGRSURBC1,WTRSURBC1,2036,0.2977
REGION1,DEMAGRSURBC1,WTRSURBC1,2037,0.305
REGION1,DEMAGRSURBC1,WTRSURBC1,2038,0.3122
REGION1,DEMAGRSURBC1,WTRSURBC1,2039,0.3196
REGION1,DEMAGRSURBC1,WTRSURBC1,2040,0.3269
REGION1,DEMAGRSURBC1,WTRSURBC1,2041,0.3342
REGION1,DEMAGRSURBC1,WTRSURBC1,2042,0.3416
REGION1,DEMAGRSURBC1,WTRSURBC1,2043,0.3489
REGION1,DEMAGRSURBC1,WTRSURBC1,2044,0.3562
REGION1,DEMAGRSURBC1,WTRSURBC1,2045,0.3634
REGION1,DEMAGRSURBC1,WTRSURBC1,2046,0.3708
REGION1,DEMAGRSURBC1,WTRSURBC1,2047,0.3781
REGION1,DEMAGRSURBC1,WTRSURBC1,2048,0.3854
REGION1,DEMAGRSURBC1,WTRSURBC1,2049,0.3927
REGION1,DEMAGRSURBC1,WTRSURBC1,2050,0.4001
REGION1,DEMCOMBIO,BIO,2020,0.12
REGION1,DEMCOMBIO,BIO,2021,0.17
REGION1,DEMCOMBIO,BIO,2022,0.22
REGION1,DEMCOMBIO,BIO,2023,0.26
REGION1,DEMCOMBIO,BIO,2024,0.31
REGION1,DEMCOMBIO,BIO,2025,0.35
REGION1,DEMCOMBIO,BIO,2026,0.4
REGION1,DEMCOMBIO,BIO,2027,0.45
REGION1,DEMCOMBIO,BIO,2028,0.49
REGION1,DEMCOMBIO,BIO,2029,0.54
REGION1,DEMCOMBIO,BIO,2030,0.58
REGION1,DEMCOMBIO,BIO,2031,0.63
REGION1,DEMCOMBIO,BIO,2032,0.67
REGION1,DEMCOMBIO,BIO,2033,0.71
REGION1,DEMCOMBIO,BIO,2034,0.75
REGION1,DEMCOMBIO,BIO,2035,0.79
REGION1,DEMCOMBIO,BIO,2036,0.83
REGION1,DEMCOMBIO,BIO,2037,0.86
REGION1,DEMCOMBIO,BIO,2038,0.9
REGION1,DEMCOMBIO,BIO,2039,0.93
REGION1,DEMCOMBIO,BIO,2040,0.97
REGION1,DEMCOMBIO,BIO,2041,0.915
REGION1,DEMCOMBIO,BIO,2042,0.947
REGION1,DEMCOMBIO,BIO,2043,0.978
REGION1,DEMCOMBIO,BIO,2044,1.009
REGION1,DEMCOMBIO,BIO,2045,1.041
REGION1,DEMCOMBIO,BIO,2046,1.072
REGION1,DEMCOMBIO,BIO,2047,1.104
REGION1,DEMCOMBIO,BIO,2048,1.135
REGION1,DEMCOMBIO,BIO,2049,1.167
REGION1,DEMCOMBIO,BIO,2050,1.198
REGION1,DEMCOMELCB02,ELCB02,2020,57.0
REGION1,DEMCOMELCB02,ELCB02,2021,58.29
REGION1,DEMCOMELCB02,ELCB02,2022,59.36
REGION1,DEMCOMELCB02,ELCB02,2023,60.24
REGION1,DEMCOMELCB02,ELCB02,2024,60.96
REGION1,DEMCOMELCB02,ELCB02,2025,61.69
REGION1,DEMCOMELCB02,ELCB02,2026,62.53
REGION1,DEMCOMELCB02,ELCB02,2027,63.4
REGION1,DEMCOMELCB02,ELCB02,2028,64.11
REGION1,DEMCOMELCB02,ELCB02,2029,64.88
REGION1,DEMCOMELCB02,ELCB02,2030,65.62
REGION1,DEMCOMELCB02,ELCB02,2031,66.18
REGION1,DEMCOMELCB02,ELCB02,2032,66.73
REGION1,DEMCOMELCB02,ELCB02,2033,67.41
REGION1,DEMCOMELCB02,ELCB02,2034,67.85
REGION1,DEMCOMELCB02,ELCB02,2035,68.27
REGION1,DEMCOMELCB02,ELCB02,2036,68.69
REGION1,DEMCOMELCB02,ELCB02,2037,69.07
REGION1,DEMCOMELCB02,ELCB02,2038,69.54
REGION1,DEMCOMELCB02,ELCB02,2039,69.96
REGION1,DEMCOMELCB02,ELCB02,2040,70.4
REGION1,DEMCOMELCB02,ELCB02,2041,70.971
REGION1,DEMCOMELCB02,ELCB02,2042,71.441
REGION1,DEMCOMELCB02,ELCB02,2043,71.91
REGION1,DEMCOMELCB02,ELCB02,2044,72.379
REGION1,DEMCOMELCB02,ELCB02,2045,72.848
REGION1,DEMCOMELCB02,ELCB02,2046,73.317
REGION1,DEMCOMELCB02,ELCB02,2047,73.787
REGION1,DEMCOMELCB02,ELCB02,2048,74.256
REGION1,DEMCOMELCB02,ELCB02,2049,74.725
REGION1,DEMCOMELCB02,ELCB02,2050,75.194
REGION1,DEMCOMKER,KER,2020,10.57
REGION1,DEMCOMKER,KER,2021,10.8
REGION1,DEMCOMKER,KER,2022,11.0
REGION1,DEMCOMKER,KER,2023,11.17
REGION1,DEMCOMKER,KER,2024,11.33
REGION1,DEMCOMKER,KER,2025,11.48
REGION1,DEMCOMKER,KER,2026,11.65
REGION1,DEMCOMKER,KER,2027,11.83
REGION1,DEMCOMKER,KER,2028,12.03
REGION1,DEMCOMKER,KER,2029,12.23
REGION1,DEMCOMKER,KER,2030,12.41
REGION1,DEMCOMKER,KER,2031,12.57
REGION1,DEMCOMKER,KER,2032,12.73
REGION1,DEMCOMKER,KER,2033,12.87
REGION1,DEMCOMKER,KER,2034,13.02
REGION1,DEMCOMKER,KER,2035,13.16
REGION1,DEMCOMKER,KER,2036,13.29
REGION1,DEMCOMKER,KER,2037,13.4
REGION1,DEMCOMKER,KER,2038,13.51
REGION1,DEMCOMKER,KER,2039,13.6
REGION1,DEMCOMKER,KER,2040,13.7
REGION1,DEMCOMKER,KER,2041,14.196
REGION1,DEMCOMKER,KER,2042,14.384
REGION1,DEMCOMKER,KER,2043,14.573
REGION1,DEMCOMKER,KER,2044,14.761
REGION1,DEMCOMKER,KER,2045,14.949
REGION1,DEMCOMKER,KER,2046,15.137
REGION1,DEMCOMKER,KER,2047,15.325
REGION1,DEMCOMKER,KER,2048,15.513
REGION1,DEMCOMKER,KER,2049,15.701
REGION1,DEMCOMKER,KER,2050,15.89
REGION1,DEMCOMNGS,NGS,2020,84.05
REGION1,DEMCOMNGS,NGS,2021,84.1
REGION1,DEMCOMNGS,NGS,2022,84.04
REGION1,DEMCOMNGS,NGS,2023,84.11
REGION1,DEMCOMNGS,NGS,2024,84.63
REGION1,DEMCOMNGS,NGS,2025,85.66
REGION1,DEMCOMNGS,NGS,2026,87.17
REGION1,DEMCOMNGS,NGS,2027,88.55
REGION1,DEMCOMNGS,NGS,2028,89.37
REGION1,DEMCOMNGS,NGS,2029,90.42
REGION1,DEMCOMNGS,NGS,2030,91.68
REGION1,DEMCOMNGS,NGS,2031,93.23
REGION1,DEMCOMNGS,NGS,2032,94.27
REGION1,DEMCOMNGS,NGS,2033,94.98
REGION1,DEMCOMNGS,NGS,2034,95.63
REGION1,DEMCOMNGS,NGS,2035,96.34
REGION1,DEMCOMNGS,NGS,2036,96.95
REGION1,DEMCOMNGS,NGS,2037,97.44
REGION1,DEMCOMNGS,NGS,2038,97.93
REGION1,DEMCOMNGS,NGS,2039,98.42
REGION1,DEMCOMNGS,NGS,2040,98.92
REGION1,DEMCOMNGS,NGS,2041,102.236
REGION1,DEMCOMNGS,NGS,2042,103.262
REGION1,DEMCOMNGS,NGS,2043,104.288
REGION1,DEMCOMNGS,NGS,2044,105.313
REGION1,DEMCOMNGS,NGS,2045,106.339
REGION1,DEMCOMNGS,NGS,2046,107.364
REGION1,DEMCOMNGS,NGS,2047,108.39
REGION1,DEMCOMNGS,NGS,2048,109.415
REGION1,DEMCOMNGS,NGS,2049,110.441
REGION1,DEMCOMNGS,NGS,2050,111.467
REGION1,DEMINDBIO,BIO,2020,160.04
REGION1,DEMINDBIO,BIO,2021,160.69
REGION1,DEMINDBIO,BIO,2022,161.12
REGION1,DEMINDBIO,BIO,2023,161.83
REGION1,DEMINDBIO,BIO,2024,162.64
REGION1,DEMINDBIO,BIO,2025,162.14
REGION1,DEMINDBIO,BIO,2026,161.92
REGION1,DEMINDBIO,BIO,2027,161.8201
REGION1,DEMINDBIO,BIO,2028,161.68
REGION1,DEMINDBIO,BIO,2029,161.08
REGION1,DEMINDBIO,BIO,2030,160.31
REGION1,DEMINDBIO,BIO,2031,159.32
REGION1,DEMINDBIO,BIO,2032,158.18
REGION1,DEMINDBIO,BIO,2033,156.9
REGION1,DEMINDBIO,BIO,2034,155.39
REGION1,DEMINDBIO,BIO,2035,154.1
REGION1,DEMINDBIO,BIO,2036,152.78
REGION1,DEMINDBIO,BIO,2037,151.47
REGION1,DEMINDBIO,BIO,2038,150.21
REGION1,DEMINDBIO,BIO,2039,149.0199
REGION1,DEMINDBIO,BIO,2040,147.87
REGION1,DEMINDBIO,BIO,2041,147.372
REGION1,DEMINDBIO,BIO,2042,146.2771
REGION1,DEMINDBIO,BIO,2043,145.181
REGION1,DEMINDBIO,BIO,2044,144.085
REGION1,DEMINDBIO,BIO,2045,142.99
REGION1,DEMINDBIO,BIO,2046,141.894
REGION1,DEMINDBIO,BIO,2047,140.799
REGION1,DEMINDBIO,BIO,2048,139.703
REGION1,DEMINDBIO,BIO,2049,138.608
REGION1,DEMINDBIO,BIO,2050,137.512
REGION1,DEMINDDSL,DSL,2020,108.46
REGION1,DEMINDDSL,DSL,2021,108.13
REGION1,DEMINDDSL,DSL,2022,107.38
REGION1,DEMINDDSL,DSL,2023,106.95
REGION1,DEMINDDSL,DSL,2024,107.33
REGION1,DEMINDDSL,DSL,2025,108.15
