r,t,y,TotalTechnologyAnnualActivity
REGION1,DEMAGRDSL,2020,14.88
REGION1,DEMAGRDSL,2021,15.618
REGION1,DEMAGRDSL,2022,16.267
REGION1,DEMAGRDSL,2023,16.652
REGION1,DEMAGRDSL,2024,17.594
REGION1,DEMAGRDSL,2025,18.141
REGION1,DEMAGRDSL,2026,17.415
REGION1,DEMAGRDSL,2027,16.689
REGION1,DEMAGRDSL,2028,15.964
REGION1,DEMAGRDSL,2029,15.238
REGION1,DEMAGRDSL,2030,14.513
REGION1,DEMAGRDSL,2031,13.787
REGION1,DEMAGRDSL,2032,13.061
REGION1,DEMAGRDSL,2033,12.336
REGION1,DEMAGRDSL,2034,11.61
REGION1,DEMAGRDSL,2035,10.885
REGION1,DEMAGRDSL,2036,10.159
REGION1,DEMAGRDSL,2037,9.434
REGION1,DEMAGRDSL,2038,8.708
REGION1,DEMAGRDSL,2039,7.982
REGION1,DEMAGRDSL,2040,7.257
REGION1,DEMAGRDSL,2041,6.531
REGION1,DEMAGRDSL,2042,5.806
REGION1,DEMAGRDSL,2043,5.08
REGION1,DEMAGRDSL,2044,4.354
REGION1,DEMAGRDSL,2045,3.629
REGION1,DEMAGRDSL,2046,2.903
REGION1,DEMAGRDSL,2047,2.178
REGION1,DEMAGRDSL,2048,1.452
REGION1,DEMAGRDSL,2049,0.727
REGION1,DEMAGRELCB02,2026,1.38
REGION1,DEMAGRELCB02,2027,2.76
REGION1,DEMAGRELCB02,2028,4.13
REGION1,DEMAGRELCB02,2029,5.51
REGION1,DEMAGRELCB02,2030,6.89
REGION1,DEMAGRELCB02,2031,8.27
REGION1,DEMAGRELCB02,2032,9.65
REGION1,DEMAGRELCB02,2033,11.02
REGION1,DEMAGRELCB02,2034,12.4
REGION1,DEMAGRELCB02,2035,13.78
REGION1,DEMAGRELCB02,2036,15.16
REGION1,DEMAGRELCB02,2037,16.53
REGION1,DEMAGRELCB02,2038,17.91
REGION1,DEMAGRELCB02,2039,19.29
REGION1,DEMAGRELCB02,2040,20.67
REGION1,DEMAGRELCB02,2041,22.05
REGION1,DEMAGRELCB02,2042,23.42
REGION1,DEMAGRELCB02,2043,24.8
REGION1,DEMAGRELCB02,2044,26.18
REGION1,DEMAGRELCB02,2045,27.56
REGION1,DEMAGRELCB02,2046,28.94
REGION1,DEMAGRELCB02,2047,30.31
REGION1,DEMAGRELCB02,2048,31.69
REGION1,DEMAGRELCB02,2049,33.07
REGION1,DEMAGRELCB02,2050,34.447
REGION1,DEMAGRSURBC1,2020,0.3564
REGION1,DEMAGRSURBC1,2021,0.4246
REGION1,DEMAGRSURBC1,2022,0.4229
REGION1,DEMAGRSURBC1,2023,0.4219
REGION1,DEMAGRSURBC1,2024,0.4237
REGION1,DEMAGRSURBC1,2025,0.4491
REGION1,DEMAGRSURBC1,2026,0.4825
REGION1,DEMAGRSURBC1,2027,0.5666
REGION1,DEMAGRSURBC1,2028,0.604
REGION1,DEMAGRSURBC1,2029,0.6357
REGION1,DEMAGRSURBC1,2030,0.6719
REGION1,DEMAGRSURBC1,2031,0.7073
REGION1,DEMAGRSURBC1,2032,0.7341
REGION1,DEMAGRSURBC1,2033,0.768
REGION1,DEMAGRSURBC1,2034,0.801
REGION1,DEMAGRSURBC1,2035,1.7057
REGION1,DEMAGRSURBC1,2036,1.7946
REGION1,DEMAGRSURBC1,2037,1.832
REGION1,DEMAGRSURBC1,2038,1.8685
REGION1,DEMAGRSURBC1,2039,1.9042
REGION1,DEMAGRSURBC1,2040,1.9114
REGION1,DEMAGRSURBC1,2041,1.9206
REGION1,DEMAGRSURBC1,2042,1.9286
REGION1,DEMAGRSURBC1,2043,1.9379
REGION1,DEMAGRSURBC1,2044,1.9459
REGION1,DEMAGRSURBC1,2045,1.9546
REGION1,DEMAGRSURBC1,2046,1.9626
REGION1,DEMAGRSURBC1,2047,1.9707
REGION1,DEMAGRSURBC1,2048,1.9794
REGION1,DEMAGRSURBC1,2049,1.9883
REGION1,DEMAGRSURBC1,2050,1.9964
REGION1,DEMCOMELCB02,2020,57.0
REGION1,DEMCOMELCB02,2021,58.29
REGION1,DEMCOMELCB02,2022,59.36
REGION1,DEMCOMELCB02,2023,60.24
REGION1,DEMCOMELCB02,2024,60.96
REGION1,DEMCOMELCB02,2025,61.69
REGION1,DEMCOMELCB02,2026,63.96
REGION1,DEMCOMELCB02,2027,65.88
REGION1,DEMCOMELCB02,2028,67.8
REGION1,DEMCOMELCB02,2029,69.72
REGION1,DEMCOMELCB02,2030,71.63
REGION1,DEMCOMELCB02,2031,73.55
REGION1,DEMCOMELCB02,2032,75.46
REGION1,DEMCOMELCB02,2033,77.37
REGION1,DEMCOMELCB02,2034,79.29
REGION1,DEMCOMELCB02,2035,81.2
REGION1,DEMCOMELCB02,2036,83.11
REGION1,DEMCOMELCB02,2037,85.01
REGION1,DEMCOMELCB02,2038,86.92
REGION1,DEMCOMELCB02,2039,88.82
REGION1,DEMCOMELCB02,2040,90.74
REGION1,DEMCOMELCB02,2041,92.55
REGION1,DEMCOMELCB02,2042,94.46
REGION1,DEMCOMELCB02,2043,96.36
REGION1,DEMCOMELCB02,2044,98.26
REGION1,DEMCOMELCB02,2045,100.16
REGION1,DEMCOMELCB02,2046,102.07
REGION1,DEMCOMELCB02,2047,103.97
REGION1,DEMCOMELCB02,2048,105.87
REGION1,DEMCOMELCB02,2049,107.78
REGION1,DEMCOMELCB02,2050,108.48
REGION1,DEMCOMKER,2020,10.57
REGION1,DEMCOMKER,2021,10.8
REGION1,DEMCOMKER,2022,11.0
REGION1,DEMCOMKER,2023,11.17
REGION1,DEMCOMKER,2024,11.33
REGION1,DEMCOMKER,2025,11.48
REGION1,DEMCOMKER,2026,11.02
REGION1,DEMCOMKER,2027,10.56
REGION1,DEMCOMKER,2028,10.1
REGION1,DEMCOMKER,2029,9.64
REGION1,DEMCOMKER,2030,9.18
REGION1,DEMCOMKER,2031,8.73
REGION1,DEMCOMKER,2032,8.27
REGION1,DEMCOMKER,2033,7.81
REGION1,DEMCOMKER,2034,7.35
REGION1,DEMCOMKER,2035,6.89
REGION1,DEMCOMKER,2036,6.43
REGION1,DEMCOMKER,2037,5.97
REGION1,DEMCOMKER,2038,5.51
REGION1,DEMCOMKER,2039,5.05
REGION1,DEMCOMKER,2040,4.59
REGION1,DEMCOMKER,2041,4.13
REGION1,DEMCOMKER,2042,3.67
REGION1,DEMCOMKER,2043,3.22
REGION1,DEMCOMKER,2044,2.76
REGION1,DEMCOMKER,2045,2.3
REGION1,DEMCOMKER,2046,1.84
REGION1,DEMCOMKER,2047,1.38
REGION1,DEMCOMKER,2048,0.92
REGION1,DEMCOMKER,2049,0.46
REGION1,DEMCOMNGS,2020,84.05
REGION1,DEMCOMNGS,2021,84.1
REGION1,DEMCOMNGS,2022,84.04
REGION1,DEMCOMNGS,2023,84.11
REGION1,DEMCOMNGS,2024,84.63
REGION1,DEMCOMNGS,2025,85.66
REGION1,DEMCOMNGS,2026,82.23
REGION1,DEMCOMNGS,2027,78.81
