r,t,TotalTechnologyModelPeriodActivity
REGION1,DEMAGRDSL,316.85
REGION1,DEMAGRELCB02,447.817
REGION1,DEMAGRSURBC1,39.0711
REGION1,DEMCOMELCB02,2527.96
REGION1,DEMCOMKER,204.13
REGION1,DEMCOMNGS,1534.51
REGION1,DEMINDDSL,2258.54
REGION1,DEMINDELCB02,15307.39
REGION1,DEMINDNGS,5662.77
REGION1,DEMPUBSURBC1,31.02
REGION1,DEMPWRBIO,221.3971
REGION1,DEMPWRGEO,21150.055
REGION1,DEMPWRHYD,9784.0651
REGION1,DEMPWRNGS,3997.7067
REGION1,DEMPWRSOL,16648.091
REGION1,DEMPWRSURBC1,257.1823
REGION1,DEMPWRURN,17035.907
REGION1,DEMPWRWND,8807.3894
REGION1,DEMRESELCB02,3349.0
REGION1,DEMRESKER,18.31
REGION1,DEMRESNGS,1581.43
REGION1,DEMTRADSL,1695.42
REGION1,DEMTRAELCB02,2656.74
REGION1,DEMTRAGSL,2564.14
REGION1,DEMTRAHFO,191.45
REGION1,DEMTRAJFL,828.92
REGION1,DEMTRALPG,83.253
REGION1,DEMTRANGS,58.62
REGION1,IMPDSL,4270.81
REGION1,IMPGSL,2564.14
REGION1,IMPHFO,191.45
REGION1,IMPJFL,828.92
REGION1,IMPKER,222.44
REGION1,IMPLPG,83.253
REGION1,LNDAGRBC1C01,8608.4421
REGION1,LNDAGRBC1C02,834.6163
REGION1,LNDAGRBC1C03,1265.9055
REGION1,LNDAGRBC1C04,337.6492
REGION1,LNDAGRBC1C05,17116.345
REGION1,LNDAGRBC1C06,106.2422
REGION1,LNDAGRBC1C07,405.8
REGION1,LNDALFHIBC1,195.4166
REGION1,LNDALFHRBC1,20.4051
REGION1,LNDALFIIBC1,1.0296
REGION1,LNDALFIRBC1,5.1013
REGION1,LNDALFLRBC1,357.6277
REGION1,LNDBARBC1,4598.6082
REGION1,LNDBLTBC1,365.1017
REGION1,LNDBRLHIBC1,0.0043
REGION1,LNDBRLHRBC1,3.5111
REGION1,LNDBRLIIBC1,0.0006
REGION1,LNDBRLIRBC1,0.0826
REGION1,LNDFORBC1,16350.431
REGION1,LNDGRSBC1,4926.0273
REGION1,LNDMAIHIBC1,248.5119
REGION1,LNDMAIHRBC1,1.1219
REGION1,LNDMAIIIBC1,0.0028
REGION1,LNDMAIIRBC1,0.2805
REGION1,LNDMAILRBC1,117.2521
REGION1,LNDOATHIBC1,4.3329
REGION1,LNDOATHRBC1,1.5733
REGION1,LNDOATIIBC1,0.0024
REGION1,LNDOATIRBC1,0.2141
REGION1,LNDOTHHIBC1,3.0462
REGION1,LNDOTHIIBC1,122.794
REGION1,LNDPEAHIBC1,4.1292
REGION1,LNDPEAHRBC1,1.1905
REGION1,LNDPEAIIBC1,0.0021
REGION1,LNDPEAIRBC1,0.1752
REGION1,LNDPTWHIBC1,0.0044
REGION1,LNDPTWHRBC1,0.0007
REGION1,LNDRAPHIBC1,6.5367
REGION1,LNDRAPHRBC1,2.1985
REGION1,LNDRAPIIBC1,0.004
REGION1,LNDRAPIRBC1,0.3242
REGION1,LNDRYEHIBC1,0.0012
REGION1,LNDRYEHRBC1,0.1433
REGION1,LNDRYEIIBC1,0.0
REGION1,LNDRYEIRBC1,0.0025
REGION1,LNDRYELRBC1,0.0029
REGION1,LNDWATBC1,1334.3163
REGION1,LNDWHEHIBC1,0.0033
REGION1,LNDWHEHRBC1,3.4284
REGION1,LNDWHEIIBC1,0.0006
REGION1,LNDWHEIRBC1,0.0566
REGION1,MINLNDBC1,28675.0
REGION1,MINNGS,12835.037
REGION1,MINPRCBC1,21204.573
REGION1,MINURN,17035.907
REGION1,PWRBIOB01,7.212
REGION1,PWRBIOB02,22.5913
REGION1,PWRBIOB03,4.833
REGION1,PWRBIOB04,31.358
REGION1,PWRBIOB05,11.689
REGION1,PWRGEOB01,280.1974
REGION1,PWRGEOB02,1821.2828
REGION1,PWRGEOB03,1069.4427
REGION1,PWRHYDB01,1453.2115
REGION1,PWRHYDB02,373.9733
REGION1,PWRHYDB03,123.0124
REGION1,PWRHYDB04,362.3592
REGION1,PWRHYDB05,23.2282
REGION1,PWRHYDB06,825.0835
REGION1,PWRHYDB07,18.1954
REGION1,PWRHYDB08,284.5449
REGION1,PWRHYDB09,1027.8459
REGION1,PWRHYDB10,936.0947
REGION1,PWRHYDB11,391.9751
REGION1,PWRHYDB12,394.8786
REGION1,PWRHYDB13,1852.1132
REGION1,PWRNGSB01,1480.6321
REGION1,PWRSOLB01,5841.4354
REGION1,PWRTRNB01,24288.907
REGION1,PWRURNB01,5678.6356
REGION1,PWRWNDB01,22.2683
REGION1,PWRWNDB02,10.4097
REGION1,PWRWNDB03,30.4214
REGION1,PWRWNDB04,44.7334
REGION1,PWRWNDB05,6.7088
REGION1,PWRWNDB06,21.3777
REGION1,PWRWNDB07,5.4532
REGION1,PWRWNDB08,5.9709
REGION1,PWRWNDB09,1910.9773
REGION1,PWRWNDB10,521.3402
REGION1,PWRWNDB11,65.2008
REGION1,RNWBIO,221.3971
REGION1,RNWGEO,21150.055
REGION1,RNWHYD,9784.0651
REGION1,RNWSOL,16648.091
REGION1,RNWWND,8807.3894
