r,t,y,DiscountedTechnologyEmissionsPenalty
REGION1,DEMAGRDSL,2020,44.563
REGION1,DEMAGRDSL,2021,42.5211
REGION1,DEMAGRDSL,2022,44.7354
REGION1,DEMAGRDSL,2023,54.1204
REGION1,DEMAGRDSL,2024,63.9798
REGION1,DEMAGRDSL,2025,71.2165
REGION1,DEMAGRDSL,2026,77.5474
REGION1,DEMAGRDSL,2027,82.9456
REGION1,DEMAGRDSL,2028,87.518
REGION1,DEMAGRDSL,2029,90.663
REGION1,DEMAGRDSL,2030,93.3458
REGION1,DEMAGRDSL,2031,87.477
REGION1,DEMAGRDSL,2032,81.8569
REGION1,DEMAGRDSL,2033,76.5194
REGION1,DEMAGRDSL,2034,71.5473
REGION1,DEMAGRDSL,2035,66.7953
REGION1,DEMAGRDSL,2036,62.3259
REGION1,DEMAGRDSL,2037,58.1216
REGION1,DEMAGRDSL,2038,54.1706
REGION1,DEMAGRDSL,2039,50.4466
REGION1,DEMAGRDSL,2040,46.9604
REGION1,DEMAGRDSL,2041,43.6881
REGION1,DEMAGRDSL,2042,40.6226
REGION1,DEMAGRDSL,2043,37.7535
REGION1,DEMAGRDSL,2044,35.0714
REGION1,DEMAGRDSL,2045,32.5639
REGION1,DEMAGRDSL,2046,30.2225
REGION1,DEMAGRDSL,2047,28.0385
REGION1,DEMAGRDSL,2048,26.0011
REGION1,DEMAGRDSL,2049,24.1024
REGION1,DEMAGRDSL,2050,22.3346
REGION1,DEMCOMBIO,2020,0.3604
REGION1,DEMCOMBIO,2021,0.4642
REGION1,DEMCOMBIO,2022,0.6067
REGION1,DEMCOMBIO,2023,0.8474
REGION1,DEMCOMBIO,2024,1.1305
REGION1,DEMCOMBIO,2025,1.3779
REGION1,DEMCOMBIO,2026,1.6577
REGION1,DEMCOMBIO,2027,1.9265
REGION1,DEMCOMBIO,2028,2.1359
REGION1,DEMCOMBIO,2029,2.3692
REGION1,DEMCOMBIO,2030,2.5372
REGION1,DEMCOMBIO,2031,2.5054
REGION1,DEMCOMBIO,2032,2.4222
REGION1,DEMCOMBIO,2033,2.3335
REGION1,DEMCOMBIO,2034,2.2409
REGION1,DEMCOMBIO,2035,2.1458
REGION1,DEMCOMBIO,2036,2.0495
REGION1,DEMCOMBIO,2037,1.9305
REGION1,DEMCOMBIO,2038,1.8366
REGION1,DEMCOMBIO,2039,1.7253
REGION1,DEMCOMBIO,2040,1.6359
REGION1,DEMCOMBIO,2041,1.4029
REGION1,DEMCOMBIO,2042,1.32
REGION1,DEMCOMBIO,2043,1.2392
REGION1,DEMCOMBIO,2044,1.1623
REGION1,DEMCOMBIO,2045,1.0901
REGION1,DEMCOMBIO,2046,1.0206
REGION1,DEMCOMBIO,2047,0.9555
REGION1,DEMCOMBIO,2048,0.893
REGION1,DEMCOMBIO,2049,0.8347
REGION1,DEMCOMBIO,2050,0.779
REGION1,DEMCOMKER,2020,32.4263
REGION1,DEMCOMKER,2021,30.1199
REGION1,DEMCOMKER,2022,30.9875
REGION1,DEMCOMKER,2023,37.1876
REGION1,DEMCOMKER,2024,42.2045
REGION1,DEMCOMKER,2025,46.1649
REGION1,DEMCOMKER,2026,49.3142
REGION1,DEMCOMKER,2027,51.7316
REGION1,DEMCOMKER,2028,53.5626
REGION1,DEMCOMKER,2029,54.8067
REGION1,DEMCOMKER,2030,55.4503
REGION1,DEMCOMKER,2031,51.0592
REGION1,DEMCOMKER,2032,47.0083
REGION1,DEMCOMKER,2033,43.2048
REGION1,DEMCOMKER,2034,39.7349
REGION1,DEMCOMKER,2035,36.511
REGION1,DEMCOMKER,2036,33.5197
REGION1,DEMCOMKER,2037,30.7247
REGION1,DEMCOMKER,2038,28.1608
REGION1,DEMCOMKER,2039,25.7713
REGION1,DEMCOMKER,2040,23.6007
REGION1,DEMCOMKER,2041,22.232
REGION1,DEMCOMKER,2042,20.4786
REGION1,DEMCOMKER,2043,18.8615
REGION1,DEMCOMKER,2044,17.368
REGION1,DEMCOMKER,2045,15.9902
REGION1,DEMCOMKER,2046,14.7193
REGION1,DEMCOMKER,2047,13.5474
REGION1,DEMCOMKER,2048,12.4669
REGION1,DEMCOMKER,2049,11.4709
REGION1,DEMCOMKER,2050,10.5536
REGION1,DEMCOMNGS,2020,181.3936
REGION1,DEMCOMNGS,2021,165.0013
REGION1,DEMCOMNGS,2022,166.5491
REGION1,DEMCOMNGS,2023,196.9947
REGION1,DEMCOMNGS,2024,221.7764
REGION1,DEMCOMNGS,2025,242.3315
REGION1,DEMCOMNGS,2026,244.8716
REGION1,DEMCOMNGS,2027,242.4455
REGION1,DEMCOMNGS,2028,236.11
REGION1,DEMCOMNGS,2029,226.8297
REGION1,DEMCOMNGS,2030,215.4143
REGION1,DEMCOMNGS,2031,186.0296
REGION1,DEMCOMNGS,2032,160.2333
REGION1,DEMCOMNGS,2033,137.5662
REGION1,DEMCOMNGS,2034,117.6961
REGION1,DEMCOMNGS,2035,100.3214
REGION1,DEMCOMNGS,2036,85.1152
REGION1,DEMCOMNGS,2037,71.8448
REGION1,DEMCOMNGS,2038,60.2983
REGION1,DEMCOMNGS,2039,50.2442
