r,e,y,AnnualEmissions
REGION1,CO2,2020,59.2133
REGION1,CO2,2021,58.8456
REGION1,CO2,2022,58.4159
REGION1,CO2,2023,58.1794
REGION1,CO2,2024,59.7905
REGION1,CO2,2025,59.8247
REGION1,CO2,2026,60.3968
REGION1,CO2,2027,60.1003
REGION1,CO2,2028,58.7285
REGION1,CO2,2029,57.6567
REGION1,CO2,2030,57.3949
REGION1,CO2,2031,54.5282
REGION1,CO2,2032,51.6627
REGION1,CO2,2033,48.7954
REGION1,CO2,2034,45.9275
REGION1,CO2,2035,43.0633
REGION1,CO2,2036,40.1966
REGION1,CO2,2037,37.5176
REGION1,CO2,2038,34.8541
REGION1,CO2,2039,32.1995
REGION1,CO2,2040,29.5411
REGION1,CO2,2041,26.8221
REGION1,CO2,2042,24.1617
REGION1,CO2,2043,21.4965
REGION1,CO2,2044,18.8378
REGION1,CO2,2045,16.1792
REGION1,CO2,2046,13.2121
REGION1,CO2,2047,10.2439
REGION1,CO2,2048,7.0302
REGION1,CO2,2049,3.819
