r,t,y,AnnualVariableOperatingCost
REGION1,DEMAGRDSL,2020,0.0149
REGION1,DEMAGRDSL,2021,0.0156
REGION1,DEMAGRDSL,2022,0.0163
REGION1,DEMAGRDSL,2023,0.0167
REGION1,DEMAGRDSL,2024,0.0176
REGION1,DEMAGRDSL,2025,0.0181
REGION1,DEMAGRDSL,2026,0.0188
REGION1,DEMAGRDSL,2027,0.0194
REGION1,DEMAGRDSL,2028,0.0201
REGION1,DEMAGRDSL,2029,0.0207
REGION1,DEMAGRDSL,2030,0.0214
REGION1,DEMAGRDSL,2031,0.0221
REGION1,DEMAGRDSL,2032,0.0227
REGION1,DEMAGRDSL,2033,0.0233
REGION1,DEMAGRDSL,2034,0.024
REGION1,DEMAGRDSL,2035,0.0247
REGION1,DEMAGRDSL,2036,0.0253
REGION1,DEMAGRDSL,2037,0.026
REGION1,DEMAGRDSL,2038,0.0266
REGION1,DEMAGRDSL,2039,0.0273
REGION1,DEMAGRDSL,2040,0.0279
REGION1,DEMAGRDSL,2041,0.0286
REGION1,DEMAGRDSL,2042,0.0292
REGION1,DEMAGRDSL,2043,0.0299
REGION1,DEMAGRDSL,2044,0.0305
REGION1,DEMAGRDSL,2045,0.0312
REGION1,DEMAGRDSL,2046,0.0318
REGION1,DEMAGRDSL,2047,0.0325
REGION1,DEMAGRDSL,2048,0.0331
REGION1,DEMAGRDSL,2049,0.0338
REGION1,DEMAGRDSL,2050,0.0344
REGION1,DEMAGRSURBC1,2020,0.0004
REGION1,DEMAGRSURBC1,2021,0.0004
REGION1,DEMAGRSURBC1,2022,0.0004
REGION1,DEMAGRSURBC1,2023,0.0004
REGION1,DEMAGRSURBC1,2024,0.0004
REGION1,DEMAGRSURBC1,2025,0.0004
REGION1,DEMAGRSURBC1,2026,0.0005
REGION1,DEMAGRSURBC1,2027,0.0006
REGION1,DEMAGRSURBC1,2028,0.0006
REGION1,DEMAGRSURBC1,2029,0.0006
REGION1,DEMAGRSURBC1,2030,0.0007
REGION1,DEMAGRSURBC1,2031,0.0007
REGION1,DEMAGRSURBC1,2032,0.0007
REGION1,DEMAGRSURBC1,2033,0.0008
REGION1,DEMAGRSURBC1,2034,0.0008
REGION1,DEMAGRSURBC1,2035,0.0017
REGION1,DEMAGRSURBC1,2036,0.0018
REGION1,DEMAGRSURBC1,2037,0.0018
REGION1,DEMAGRSURBC1,2038,0.0019
REGION1,DEMAGRSURBC1,2039,0.0019
REGION1,DEMAGRSURBC1,2040,0.0019
REGION1,DEMAGRSURBC1,2041,0.0019
REGION1,DEMAGRSURBC1,2042,0.0019
REGION1,DEMAGRSURBC1,2043,0.0019
REGION1,DEMAGRSURBC1,2044,0.0019
REGION1,DEMAGRSURBC1,2045,0.002
REGION1,DEMAGRSURBC1,2046,0.002
REGION1,DEMAGRSURBC1,2047,0.002
REGION1,DEMAGRSURBC1,2048,0.002
REGION1,DEMAGRSURBC1,2049,0.002
REGION1,DEMAGRSURBC1,2050,0.002
REGION1,DEMCOMBIO,2020,0.0001
REGION1,DEMCOMBIO,2021,0.0002
REGION1,DEMCOMBIO,2022,0.0002
REGION1,DEMCOMBIO,2023,0.0003
REGION1,DEMCOMBIO,2024,0.0003
REGION1,DEMCOMBIO,2025,0.0004
REGION1,DEMCOMBIO,2026,0.0004
REGION1,DEMCOMBIO,2027,0.0004
REGION1,DEMCOMBIO,2028,0.0005
REGION1,DEMCOMBIO,2029,0.0005
REGION1,DEMCOMBIO,2030,0.0006
REGION1,DEMCOMBIO,2031,0.0006
REGION1,DEMCOMBIO,2032,0.0007
REGION1,DEMCOMBIO,2033,0.0007
REGION1,DEMCOMBIO,2034,0.0008
REGION1,DEMCOMBIO,2035,0.0008
REGION1,DEMCOMBIO,2036,0.0008
REGION1,DEMCOMBIO,2037,0.0009
REGION1,DEMCOMBIO,2038,0.0009
REGION1,DEMCOMBIO,2039,0.0009
REGION1,DEMCOMBIO,2040,0.001
REGION1,DEMCOMBIO,2041,0.0009
REGION1,DEMCOMBIO,2042,0.0009
REGION1,DEMCOMBIO,2043,0.001
REGION1,DEMCOMBIO,2044,0.001
REGION1,DEMCOMBIO,2045,0.001
REGION1,DEMCOMBIO,2046,0.0011
REGION1,DEMCOMBIO,2047,0.0011
REGION1,DEMCOMBIO,2048,0.0011
REGION1,DEMCOMBIO,2049,0.0012
REGION1,DEMCOMBIO,2050,0.0012
REGION1,DEMCOMELCB02,2020,0.057
REGION1,DEMCOMELCB02,2021,0.0583
REGION1,DEMCOMELCB02,2022,0.0594
REGION1,DEMCOMELCB02,2023,0.0602
REGION1,DEMCOMELCB02,2024,0.061
REGION1,DEMCOMELCB02,2025,0.0617
REGION1,DEMCOMELCB02,2026,0.0625
REGION1,DEMCOMELCB02,2027,0.0634
REGION1,DEMCOMELCB02,2028,0.0641
REGION1,DEMCOMELCB02,2029,0.0649
REGION1,DEMCOMELCB02,2030,0.0656
REGION1,DEMCOMELCB02,2031,0.0662
REGION1,DEMCOMELCB02,2032,0.0667
REGION1,DEMCOMELCB02,2033,0.0674
REGION1,DEMCOMELCB02,2034,0.0678
REGION1,DEMCOMELCB02,2035,0.0683
REGION1,DEMCOMELCB02,2036,0.0687
REGION1,DEMCOMELCB02,2037,0.0691
REGION1,DEMCOMELCB02,2038,0.0695
REGION1,DEMCOMELCB02,2039,0.07
REGION1,DEMCOMELCB02,2040,0.0704
REGION1,DEMCOMELCB02,2041,0.071
REGION1,DEMCOMELCB02,2042,0.0714
REGION1,DEMCOMELCB02,2043,0.0719
REGION1,DEMCOMELCB02,2044,0.0724
REGION1,DEMCOMELCB02,2045,0.0728
REGION1,DEMCOMELCB02,2046,0.0733
REGION1,DEMCOMELCB02,2047,0.0738
REGION1,DEMCOMELCB02,2048,0.0743
REGION1,DEMCOMELCB02,2049,0.0747
REGION1,DEMCOMELCB02,2050,0.0752
REGION1,DEMCOMKER,2020,0.0106
REGION1,DEMCOMKER,2021,0.0108
REGION1,DEMCOMKER,2022,0.011
REGION1,DEMCOMKER,2023,0.0112
REGION1,DEMCOMKER,2024,0.0113
REGION1,DEMCOMKER,2025,0.0115
REGION1,DEMCOMKER,2026,0.0116
REGION1,DEMCOMKER,2027,0.0118
REGION1,DEMCOMKER,2028,0.012
REGION1,DEMCOMKER,2029,0.0122
REGION1,DEMCOMKER,2030,0.0124
REGION1,DEMCOMKER,2031,0.0126
REGION1,DEMCOMKER,2032,0.0127
REGION1,DEMCOMKER,2033,0.0129
REGION1,DEMCOMKER,2034,0.013
REGION1,DEMCOMKER,2035,0.0132
REGION1,DEMCOMKER,2036,0.0133
