r,l,t,m,y,RateOfActivity
REGION1,SEA1D,DEMAGRDSL,1,2020,15.0303
REGION1,SEA1N,DEMAGRDSL,1,2020,15.0303
REGION1,SEA2D,DEMAGRDSL,1,2020,15.0303
REGION1,SEA2N,DEMAGRDSL,1,2020,15.0303
REGION1,SEA3D,DEMAGRDSL,1,2020,15.0303
REGION1,SEA3N,DEMAGRDSL,1,2020,15.0303
REGION1,SEA4D,DEMAGRDSL,1,2020,15.0303
REGION1,SEA4N,DEMAGRDSL,1,2020,15.0303
REGION1,SEA1D,DEMAGRDSL,1,2021,15.7758
REGION1,SEA1N,DEMAGRDSL,1,2021,15.7758
REGION1,SEA2D,DEMAGRDSL,1,2021,15.7758
REGION1,SEA2N,DEMAGRDSL,1,2021,15.7758
REGION1,SEA3D,DEMAGRDSL,1,2021,15.7758
REGION1,SEA3N,DEMAGRDSL,1,2021,15.7758
REGION1,SEA4D,DEMAGRDSL,1,2021,15.7758
REGION1,SEA4N,DEMAGRDSL,1,2021,15.7758
REGION1,SEA1D,DEMAGRDSL,1,2022,16.4313
REGION1,SEA1N,DEMAGRDSL,1,2022,16.4313
REGION1,SEA2D,DEMAGRDSL,1,2022,16.4313
REGION1,SEA2N,DEMAGRDSL,1,2022,16.4313
REGION1,SEA3D,DEMAGRDSL,1,2022,16.4313
REGION1,SEA3N,DEMAGRDSL,1,2022,16.4313
REGION1,SEA4D,DEMAGRDSL,1,2022,16.4313
REGION1,SEA4N,DEMAGRDSL,1,2022,16.4313
REGION1,SEA1D,DEMAGRDSL,1,2023,16.8202
REGION1,SEA1N,DEMAGRDSL,1,2023,16.8202
REGION1,SEA2D,DEMAGRDSL,1,2023,16.8202
REGION1,SEA2N,DEMAGRDSL,1,2023,16.8202
REGION1,SEA3D,DEMAGRDSL,1,2023,16.8202
REGION1,SEA3N,DEMAGRDSL,1,2023,16.8202
REGION1,SEA4D,DEMAGRDSL,1,2023,16.8202
REGION1,SEA4N,DEMAGRDSL,1,2023,16.8202
REGION1,SEA1D,DEMAGRDSL,1,2024,17.7717
REGION1,SEA1N,DEMAGRDSL,1,2024,17.7717
REGION1,SEA2D,DEMAGRDSL,1,2024,17.7717
