r,e,y,AnnualEmissions
REGION1,CO2,2020,59.2133
REGION1,CO2,2021,58.8456
REGION1,CO2,2022,58.4159
REGION1,CO2,2023,58.1794
REGION1,CO2,2024,59.7905
REGION1,CO2,2025,59.8247
REGION1,CO2,2026,60.3968
REGION1,CO2,2027,59.7495
REGION1,CO2,2028,58.7285
REGION1,CO2,2029,57.6567
REGION1,CO2,2030,57.3949
REGION1,CO2,2031,54.5282
REGION1,CO2,2032,51.6627
REGION1,CO2,2033,48.7954
REGION1,CO2,2034,45.9275
REGION1,CO2,2035,43.0633
REGION1,CO2,2036,40.1966
REGION1,CO2,2037,37.3283
REGION1,CO2,2038,34.4619
REGION1,CO2,2039,31.6845
REGION1,CO2,2040,29.0296
REGION1,CO2,2041,26.314
REGION1,CO2,2042,23.4134
REGION1,CO2,2043,20.1338
REGION1,CO2,2044,17.199
REGION1,CO2,2045,14.3331
REGION1,CO2,2046,11.4676
REGION1,CO2,2047,8.6008
REGION1,CO2,2048,5.7329
REGION1,CO2,2049,6.3712
