REGION,FUEL,YEAR,VALUE
REGION1,AGRDSL,2020,14.88
REGION1,COMBIO,2020,0.12
REGION1,COMKER,2020,10.57
REGION1,COMNGS,2020,84.05
REGION1,CRPALF,2020,1.379
REGION1,CRPBRL,2020,0.062
REGION1,CRPMAI,2020,0.364
REGION1,CRPOAT,2020,0.058
REGION1,CRPOTH,2020,0.272
REGION1,CRPPEA,2020,0.031
REGION1,CRPPTW,2020,0.00011
REGION1,CRPRAP,2020,0.056
REGION1,CRPRYE,2020,0.0017
REGION1,CRPWHE,2020,0.051
REGION1,INDBIO,2020,160.04
REGION1,INDDSL,2020,108.46
REGION1,INDNGS,2020,224.86
REGION1,LND4PWR,2020,3.689
REGION1,PUBWATBC1,2020,0.85
REGION1,RESBIO,2020,12.98
REGION1,RESKER,2020,0.84
REGION1,RESNGS,2020,81.96
REGION1,TRABIO,2020,23.33
REGION1,TRADSL,2020,98.81
REGION1,TRAGSL,2020,153.58
REGION1,TRAHFO,2020,10.69
REGION1,TRAJFL,2020,39.54
REGION1,TRALPG,2020,2.66
REGION1,TRANGS,2020,1.8
REGION1,AGRDSL,2021,15.618
REGION1,COMBIO,2021,0.17
REGION1,COMKER,2021,10.8
REGION1,COMNGS,2021,84.1
REGION1,CRPALF,2021,1.435
REGION1,CRPBRL,2021,0.059
REGION1,CRPMAI,2021,0.601
REGION1,CRPOAT,2021,0.067
REGION1,CRPOTH,2021,0.309
REGION1,CRPPEA,2021,0.031
REGION1,CRPPTW,2021,0.00011
REGION1,CRPRAP,2021,0.083
REGION1,CRPRYE,2021,0.0027
REGION1,CRPWHE,2021,0.078
REGION1,INDBIO,2021,160.69
REGION1,INDDSL,2021,108.13
REGION1,INDNGS,2021,219.32
REGION1,LND4PWR,2021,3.7296
REGION1,PUBWATBC1,2021,0.86
REGION1,RESBIO,2021,13.23
REGION1,RESKER,2021,0.85
REGION1,RESNGS,2021,83.29
REGION1,TRABIO,2021,23
REGION1,TRADSL,2021,97.58
REGION1,TRAGSL,2021,150.89
REGION1,TRAHFO,2021,10.45
REGION1,TRAJFL,2021,38.89
REGION1,TRALPG,2021,2.72
REGION1,TRANGS,2021,2.04
REGION1,AGRDSL,2022,16.267
REGION1,COMBIO,2022,0.22
REGION1,COMKER,2022,11
REGION1,COMNGS,2022,84.04
REGION1,CRPALF,2022,1.436
REGION1,CRPBRL,2022,0.064
REGION1,CRPMAI,2022,0.59
REGION1,CRPOAT,2022,0.068
REGION1,CRPOTH,2022,0.312
REGION1,CRPPEA,2022,0.033
REGION1,CRPPTW,2022,0.00011
REGION1,CRPRAP,2022,0.084
REGION1,CRPRYE,2022,0.0025
REGION1,CRPWHE,2022,0.079
REGION1,INDBIO,2022,161.12
REGION1,INDDSL,2022,107.38
REGION1,INDNGS,2022,213.92
REGION1,LND4PWR,2022,3.7706
REGION1,PUBWATBC1,2022,0.86
REGION1,RESBIO,2022,13.45
REGION1,RESKER,2022,0.86
REGION1,RESNGS,2022,84.55
REGION1,TRABIO,2022,22.67
REGION1,TRADSL,2022,96.06
REGION1,TRAGSL,2022,148.2
REGION1,TRAHFO,2022,10.2
REGION1,TRAJFL,2022,38.61
REGION1,TRALPG,2022,2.79
REGION1,TRANGS,2022,2.6
REGION1,AGRDSL,2023,16.652
REGION1,COMBIO,2023,0.26
REGION1,COMKER,2023,11.17
REGION1,COMNGS,2023,84.11
REGION1,CRPALF,2023,1.438
REGION1,CRPBRL,2023,0.07
REGION1,CRPMAI,2023,0.604
REGION1,CRPOAT,2023,0.069
REGION1,CRPOTH,2023,0.315
REGION1,CRPPEA,2023,0.034
REGION1,CRPPTW,2023,0.00012
REGION1,CRPRAP,2023,0.086
REGION1,CRPRYE,2023,0.0025
REGION1,CRPWHE,2023,0.08
REGION1,INDBIO,2023,161.83
REGION1,INDDSL,2023,106.95
REGION1,INDNGS,2023,211.63
REGION1,LND4PWR,2023,3.8121
REGION1,PUBWATBC1,2023,0.87
REGION1,RESBIO,2023,13.72
REGION1,RESKER,2023,0.87
REGION1,RESNGS,2023,86.07
REGION1,TRABIO,2023,22.33
REGION1,TRADSL,2023,94.79
REGION1,TRAGSL,2023,145.36
REGION1,TRAHFO,2023,9.96
REGION1,TRAJFL,2023,38.53
REGION1,TRALPG,2023,2.86
REGION1,TRANGS,2023,2.86
REGION1,AGRDSL,2024,17.594
REGION1,COMBIO,2024,0.31
REGION1,COMKER,2024,11.33
REGION1,COMNGS,2024,84.63
REGION1,CRPALF,2024,1.44
REGION1,CRPBRL,2024,0.068
REGION1,CRPMAI,2024,0.613
REGION1,CRPOAT,2024,0.07
REGION1,CRPOTH,2024,0.32
REGION1,CRPPEA,2024,0.036
REGION1,CRPPTW,2024,0.00012
REGION1,CRPRAP,2024,0.088
REGION1,CRPRYE,2024,0.0024
REGION1,CRPWHE,2024,0.08
REGION1,INDBIO,2024,162.64
REGION1,INDDSL,2024,107.33
REGION1,INDNGS,2024,221.34
REGION1,LND4PWR,2024,3.854
REGION1,PUBWATBC1,2024,0.88
REGION1,RESBIO,2024,14
REGION1,RESKER,2024,0.87
REGION1,RESNGS,2024,87.65
REGION1,TRABIO,2024,22.04
REGION1,TRADSL,2024,93.85
REGION1,TRAGSL,2024,142.73
REGION1,TRAHFO,2024,9.75
REGION1,TRAJFL,2024,38.73
REGION1,TRALPG,2024,2.91
REGION1,TRANGS,2024,3.17
REGION1,AGRDSL,2025,18.141
REGION1,COMBIO,2025,0.35
REGION1,COMKER,2025,11.48
REGION1,COMNGS,2025,85.66
REGION1,CRPALF,2025,1.441
REGION1,CRPBRL,2025,0.07
REGION1,CRPMAI,2025,0.613
REGION1,CRPOAT,2025,0.072
REGION1,CRPOTH,2025,0.32
REGION1,CRPPEA,2025,0.037
REGION1,CRPPTW,2025,0.00013
REGION1,CRPRAP,2025,0.089
REGION1,CRPRYE,2025,0.0024
REGION1,CRPWHE,2025,0.081
REGION1,INDBIO,2025,162.14
REGION1,INDDSL,2025,108.15
REGION1,INDNGS,2025,242.83
REGION1,LND4PWR,2025,3.8964
REGION1,PUBWATBC1,2025,0.89
REGION1,RESBIO,2025,14.26
REGION1,RESKER,2025,0.87
REGION1,RESNGS,2025,89.07
REGION1,TRABIO,2025,21.82
REGION1,TRADSL,2025,93.41
REGION1,TRAGSL,2025,140.26
REGION1,TRAHFO,2025,9.59
REGION1,TRAJFL,2025,39.17
REGION1,TRALPG,2025,2.96
REGION1,TRANGS,2025,3.55
REGION1,AGRDSL,2026,18.766
REGION1,COMBIO,2026,0.4
REGION1,COMKER,2026,11.65
REGION1,COMNGS,2026,87.17
REGION1,CRPALF,2026,1.443
REGION1,CRPBRL,2026,0.073
REGION1,CRPMAI,2026,0.625
REGION1,CRPOAT,2026,0.073
REGION1,CRPOTH,2026,0.324
REGION1,CRPPEA,2026,0.038
REGION1,CRPPTW,2026,0.00013
REGION1,CRPRAP,2026,0.091
REGION1,CRPRYE,2026,0.0024
REGION1,CRPWHE,2026,0.082
REGION1,INDBIO,2026,161.92
REGION1,INDDSL,2026,109.45
REGION1,INDNGS,2026,275.13
REGION1,LND4PWR,2026,3.9393
REGION1,PUBWATBC1,2026,0.9
REGION1,RESBIO,2026,14.51
REGION1,RESKER,2026,0.88
REGION1,RESNGS,2026,90.33
REGION1,TRABIO,2026,21.65
REGION1,TRADSL,2026,93.19
REGION1,TRAGSL,2026,138.06
REGION1,TRAHFO,2026,9.45
REGION1,TRAJFL,2026,39.68
REGION1,TRALPG,2026,3.02
REGION1,TRANGS,2026,3.97
REGION1,AGRDSL,2027,19.43
REGION1,COMBIO,2027,0.45
REGION1,COMKER,2027,11.83
REGION1,COMNGS,2027,88.55
REGION1,CRPALF,2027,1.445
REGION1,CRPBRL,2027,0.076
REGION1,CRPMAI,2027,0.626
REGION1,CRPOAT,2027,0.074
REGION1,CRPOTH,2027,0.329
REGION1,CRPPEA,2027,0.04
REGION1,CRPPTW,2027,0.00013
REGION1,CRPRAP,2027,0.093
REGION1,CRPRYE,2027,0.0024
REGION1,CRPWHE,2027,0.083
REGION1,INDBIO,2027,161.82
REGION1,INDDSL,2027,110.63
REGION1,INDNGS,2027,283.17
REGION1,LND4PWR,2027,3.9826
REGION1,PUBWATBC1,2027,0.91
REGION1,RESBIO,2027,14.72
REGION1,RESKER,2027,0.88
REGION1,RESNGS,2027,91.4
REGION1,TRABIO,2027,21.51
REGION1,TRADSL,2027,93.07
REGION1,TRAGSL,2027,135.99
REGION1,TRAHFO,2027,9.33
REGION1,TRAJFL,2027,40.21
REGION1,TRALPG,2027,3.07
REGION1,TRANGS,2027,4.43
REGION1,AGRDSL,2028,20.135
REGION1,COMBIO,2028,0.49
REGION1,COMKER,2028,12.03
REGION1,COMNGS,2028,89.37
REGION1,CRPALF,2028,1.447
REGION1,CRPBRL,2028,0.078
REGION1,CRPMAI,2028,0.645
REGION1,CRPOAT,2028,0.075
REGION1,CRPOTH,2028,0.336
REGION1,CRPPEA,2028,0.041
REGION1,CRPPTW,2028,0.00013
REGION1,CRPRAP,2028,0.094
REGION1,CRPRYE,2028,0.0024
REGION1,CRPWHE,2028,0.084
REGION1,INDBIO,2028,161.68
REGION1,INDDSL,2028,111.27
REGION1,INDNGS,2028,284.61
REGION1,LND4PWR,2028,4.0264
REGION1,PUBWATBC1,2028,0.92
REGION1,RESBIO,2028,14.94
REGION1,RESKER,2028,0.88
REGION1,RESNGS,2028,92.48
REGION1,TRABIO,2028,21.34
REGION1,TRADSL,2028,92.45
REGION1,TRAGSL,2028,133.81
REGION1,TRAHFO,2028,9.2
REGION1,TRAJFL,2028,40.63
REGION1,TRALPG,2028,3.13
REGION1,TRANGS,2028,5.16
REGION1,AGRDSL,2029,20.724
REGION1,COMBIO,2029,0.54
REGION1,COMKER,2029,12.23
REGION1,COMNGS,2029,90.42
REGION1,CRPALF,2029,1.448
REGION1,CRPBRL,2029,0.079
REGION1,CRPMAI,2029,0.657
REGION1,CRPOAT,2029,0.077
REGION1,CRPOTH,2029,0.339
REGION1,CRPPEA,2029,0.043
REGION1,CRPPTW,2029,0.00013
REGION1,CRPRAP,2029,0.096
REGION1,CRPRYE,2029,0.0024
REGION1,CRPWHE,2029,0.085
REGION1,INDBIO,2029,161.08
REGION1,INDDSL,2029,111.29
REGION1,INDNGS,2029,286.56
REGION1,LND4PWR,2029,4.0707
REGION1,PUBWATBC1,2029,0.93
REGION1,RESBIO,2029,15.14
REGION1,RESKER,2029,0.88
REGION1,RESNGS,2029,93.38
REGION1,TRABIO,2029,21.14
REGION1,TRADSL,2029,91.89
REGION1,TRAGSL,2029,131.41
REGION1,TRAHFO,2029,9.06
REGION1,TRAJFL,2029,40.96
REGION1,TRALPG,2029,3.17
REGION1,TRANGS,2029,5.58
REGION1,AGRDSL,2030,21.4
REGION1,COMBIO,2030,0.58
REGION1,COMKER,2030,12.41
REGION1,COMNGS,2030,91.68
REGION1,CRPALF,2030,1.45
REGION1,CRPBRL,2030,0.082
REGION1,CRPMAI,2030,0.66
REGION1,CRPOAT,2030,0.078
REGION1,CRPOTH,2030,0.347
REGION1,CRPPEA,2030,0.044
REGION1,CRPPTW,2030,0.00014
REGION1,CRPRAP,2030,0.098
REGION1,CRPRYE,2030,0.0024
REGION1,CRPWHE,2030,0.086
REGION1,INDBIO,2030,160.31
REGION1,INDDSL,2030,111.38
REGION1,INDNGS,2030,304.7
REGION1,LND4PWR,2030,4.1155
REGION1,PUBWATBC1,2030,0.94
REGION1,RESBIO,2030,15.29
REGION1,RESKER,2030,0.88
REGION1,RESNGS,2030,94.07
REGION1,TRABIO,2030,20.95
REGION1,TRADSL,2030,91.47
REGION1,TRAGSL,2030,129
REGION1,TRAHFO,2030,8.93
REGION1,TRAJFL,2030,41.33
REGION1,TRALPG,2030,3.2
REGION1,TRANGS,2030,6.04
REGION1,AGRDSL,2031,22.06
REGION1,COMBIO,2031,0.63
REGION1,COMKER,2031,12.57
REGION1,COMNGS,2031,93.23
REGION1,CRPALF,2031,1.452
REGION1,CRPBRL,2031,0.084
REGION1,CRPMAI,2031,0.674
REGION1,CRPOAT,2031,0.079
REGION1,CRPOTH,2031,0.353
REGION1,CRPPEA,2031,0.045
REGION1,CRPPTW,2031,0.00014
REGION1,CRPRAP,2031,0.099
REGION1,CRPRYE,2031,0.0023
REGION1,CRPWHE,2031,0.087
REGION1,INDBIO,2031,159.32
