REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRGEOB01,2020,0.87
REGION1,PWRGEOB01,2021,0.87
REGION1,PWRGEOB01,2022,0.87
REGION1,PWRGEOB01,2023,0.87
REGION1,PWRGEOB01,2024,0.87
REGION1,PWRGEOB01,2025,0.87
REGION1,PWRGEOB01,2026,0.87
REGION1,PWRGEOB01,2027,0.87
REGION1,PWRGEOB01,2028,0.87
REGION1,PWRGEOB01,2029,0.87
REGION1,PWRGEOB01,2030,0.87
REGION1,PWRGEOB01,2031,0.87
REGION1,PWRGEOB01,2032,0.87
REGION1,PWRGEOB01,2033,0.87
REGION1,PWRGEOB01,2034,0.87
REGION1,PWRGEOB01,2035,0.87
REGION1,PWRGEOB01,2036,0.87
REGION1,PWRGEOB01,2037,0.87
REGION1,PWRGEOB01,2038,0.87
REGION1,PWRGEOB01,2039,0.87
REGION1,PWRGEOB01,2040,0.87
REGION1,PWRGEOB01,2041,0.87
REGION1,PWRGEOB01,2042,0.87
REGION1,PWRGEOB01,2043,0.87
REGION1,PWRGEOB01,2044,0.87
REGION1,PWRGEOB01,2045,0.87
REGION1,PWRGEOB01,2046,0.87
REGION1,PWRGEOB01,2047,0.87
REGION1,PWRGEOB01,2048,0.87
REGION1,PWRGEOB01,2049,0.87
REGION1,PWRGEOB01,2050,0.87
REGION1,PWRGEOB02,2020,0.87
REGION1,PWRGEOB02,2021,0.87
REGION1,PWRGEOB02,2022,0.87
REGION1,PWRGEOB02,2023,0.87
REGION1,PWRGEOB02,2024,0.87
REGION1,PWRGEOB02,2025,0.87
REGION1,PWRGEOB02,2026,0.87
REGION1,PWRGEOB02,2027,0.87
REGION1,PWRGEOB02,2028,0.87
REGION1,PWRGEOB02,2029,0.87
REGION1,PWRGEOB02,2030,0.87
REGION1,PWRGEOB02,2031,0.87
REGION1,PWRGEOB02,2032,0.87
REGION1,PWRGEOB02,2033,0.87
REGION1,PWRGEOB02,2034,0.87
REGION1,PWRGEOB02,2035,0.87
REGION1,PWRGEOB02,2036,0.87
REGION1,PWRGEOB02,2037,0.87
REGION1,PWRGEOB02,2038,0.87
REGION1,PWRGEOB02,2039,0.87
REGION1,PWRGEOB02,2040,0.87
REGION1,PWRGEOB02,2041,0.87
REGION1,PWRGEOB02,2042,0.87
REGION1,PWRGEOB02,2043,0.87
REGION1,PWRGEOB02,2044,0.87
REGION1,PWRGEOB02,2045,0.87
REGION1,PWRGEOB02,2046,0.87
REGION1,PWRGEOB02,2047,0.87
REGION1,PWRGEOB02,2048,0.87
REGION1,PWRGEOB02,2049,0.87
REGION1,PWRGEOB02,2050,0.87
REGION1,PWRGEOB03,2020,0.87
REGION1,PWRGEOB03,2021,0.87
REGION1,PWRGEOB03,2022,0.87
REGION1,PWRGEOB03,2023,0.87
REGION1,PWRGEOB03,2024,0.87
REGION1,PWRGEOB03,2025,0.87
REGION1,PWRGEOB03,2026,0.87
REGION1,PWRGEOB03,2027,0.87
REGION1,PWRGEOB03,2028,0.87
REGION1,PWRGEOB03,2029,0.87
REGION1,PWRGEOB03,2030,0.87
REGION1,PWRGEOB03,2031,0.87
REGION1,PWRGEOB03,2032,0.87
REGION1,PWRGEOB03,2033,0.87
REGION1,PWRGEOB03,2034,0.87
REGION1,PWRGEOB03,2035,0.87
REGION1,PWRGEOB03,2036,0.87
REGION1,PWRGEOB03,2037,0.87
REGION1,PWRGEOB03,2038,0.87
REGION1,PWRGEOB03,2039,0.87
REGION1,PWRGEOB03,2040,0.87
REGION1,PWRGEOB03,2041,0.87
REGION1,PWRGEOB03,2042,0.87
REGION1,PWRGEOB03,2043,0.87
REGION1,PWRGEOB03,2044,0.87
REGION1,PWRGEOB03,2045,0.87
REGION1,PWRGEOB03,2046,0.87
REGION1,PWRGEOB03,2047,0.87
REGION1,PWRGEOB03,2048,0.87
REGION1,PWRGEOB03,2049,0.87
REGION1,PWRGEOB03,2050,0.87
REGION1,PWRURNB01,2020,0.93
REGION1,PWRURNB01,2021,0.93
REGION1,PWRURNB01,2022,0.93
REGION1,PWRURNB01,2023,0.93
REGION1,PWRURNB01,2024,0.93
REGION1,PWRURNB01,2025,0.93
REGION1,PWRURNB01,2026,0.93
REGION1,PWRURNB01,2027,0.93
REGION1,PWRURNB01,2028,0.93
REGION1,PWRURNB01,2029,0.93
REGION1,PWRURNB01,2030,0.93
REGION1,PWRURNB01,2031,0.93
REGION1,PWRURNB01,2032,0.93
REGION1,PWRURNB01,2033,0.93
REGION1,PWRURNB01,2034,0.93
