REGION,TECHNOLOGY,VALUE
REGION1,PWRBIOB01,31.536
REGION1,PWRBIOB02,31.536
REGION1,PWRBIOB03,31.536
REGION1,PWRHYDB01,31.536
REGION1,PWRHYDB02,31.536
REGION1,PWRNGSB01,31.536
REGION1,PWRSOLB01,31.536
REGION1,PWRTRNB01,31.536
REGION1,PWRURNB01,31.536
REGION1,PWRWNDB01,31.536
REGION1,PWRWNDB02,31.536
REGION1,PWRWNDB03,31.536
REGION1,PWRWNDB04,31.536
REGION1,PWRWNDB05,31.536
REGION1,PWRWNDB06,31.536
REGION1,PWRWNDB07,31.536
REGION1,PWRWNDB08,31.536
REGION1,PWRWNDB09,31.536
REGION1,PWRWNDB10,31.536
REGION1,PWRWNDB11,31.536
REGION1,PWRWNDB12,31.536
REGION1,PWRWNDB13,31.536
REGION1,PWRWNDB14,31.536
REGION1,PWRSOLB02,31.536
REGION1,PWRNGSB02,31.536
REGION1,PWRNGSB03,31.536
REGION1,INFLOW01,31.536
