REGION,STORAGE,YEAR,VALUE
REGION1,BATTERY,2020,100000.0
REGION1,BATTERY,2021,100000.0
REGION1,BATTERY,2022,100000.0
REGION1,BATTERY,2023,100000.0
REGION1,BATTERY,2024,100000.0
REGION1,BATTERY,2025,100000.0
REGION1,BATTERY,2026,100000.0
REGION1,BATTERY,2027,100000.0
REGION1,BATTERY,2028,100000.0
REGION1,BATTERY,2029,100000.0
REGION1,BATTERY,2030,100000.0
REGION1,BATTERY,2031,100000.0
REGION1,BATTERY,2032,100000.0
REGION1,BATTERY,2033,100000.0
REGION1,BATTERY,2034,100000.0
REGION1,BATTERY,2035,100000.0
REGION1,BATTERY,2036,100000.0
REGION1,BATTERY,2037,100000.0
REGION1,BATTERY,2038,100000.0
REGION1,BATTERY,2039,100000.0
REGION1,BATTERY,2040,100000.0
REGION1,BATTERY,2041,100000.0
REGION1,BATTERY,2042,100000.0
REGION1,BATTERY,2043,100000.0
REGION1,BATTERY,2044,100000.0
REGION1,BATTERY,2045,100000.0
REGION1,BATTERY,2046,100000.0
REGION1,BATTERY,2047,100000.0
REGION1,BATTERY,2048,100000.0
REGION1,BATTERY,2049,100000.0
REGION1,BATTERY,2050,100000.0
REGION1,HYDRODAM01,2020,999999.0
REGION1,HYDRODAM01,2021,999999.0
REGION1,HYDRODAM01,2022,999999.0
REGION1,HYDRODAM01,2023,999999.0
REGION1,HYDRODAM01,2024,999999.0
REGION1,HYDRODAM01,2025,999999.0
REGION1,HYDRODAM01,2026,999999.0
REGION1,HYDRODAM01,2027,999999.0
REGION1,HYDRODAM01,2028,999999.0
REGION1,HYDRODAM01,2029,999999.0
REGION1,HYDRODAM01,2030,999999.0
REGION1,HYDRODAM01,2031,999999.0
REGION1,HYDRODAM01,2032,999999.0
REGION1,HYDRODAM01,2033,999999.0
REGION1,HYDRODAM01,2034,999999.0
REGION1,HYDRODAM01,2035,999999.0
REGION1,HYDRODAM01,2036,999999.0
REGION1,HYDRODAM01,2037,999999.0
REGION1,HYDRODAM01,2038,999999.0
REGION1,HYDRODAM01,2039,999999.0
REGION1,HYDRODAM01,2040,999999.0
REGION1,HYDRODAM01,2041,999999.0
REGION1,HYDRODAM01,2042,999999.0
REGION1,HYDRODAM01,2043,999999.0
REGION1,HYDRODAM01,2044,999999.0
REGION1,HYDRODAM01,2045,999999.0
REGION1,HYDRODAM01,2046,999999.0
REGION1,HYDRODAM01,2047,999999.0
REGION1,HYDRODAM01,2048,999999.0
REGION1,HYDRODAM01,2049,999999.0
REGION1,HYDRODAM01,2050,999999.0
