REGION,STORAGE,YEAR,VALUE
REGION1,HYDRODAM01,2020,69.398
REGION1,HYDRODAM01,2021,69.398
REGION1,HYDRODAM01,2022,69.398
REGION1,HYDRODAM01,2023,69.398
REGION1,HYDRODAM01,2024,69.398
REGION1,HYDRODAM01,2025,69.398
REGION1,HYDRODAM01,2026,69.398
REGION1,HYDRODAM01,2027,69.398
REGION1,HYDRODAM01,2028,69.398
REGION1,HYDRODAM01,2029,69.398
REGION1,HYDRODAM01,2030,69.398
REGION1,HYDRODAM01,2031,69.398
REGION1,HYDRODAM01,2032,69.398
REGION1,HYDRODAM01,2033,69.398
REGION1,HYDRODAM01,2034,69.398
REGION1,HYDRODAM01,2035,69.398
REGION1,HYDRODAM01,2036,69.398
REGION1,HYDRODAM01,2037,69.398
REGION1,HYDRODAM01,2038,69.398
REGION1,HYDRODAM01,2039,69.398
REGION1,HYDRODAM01,2040,69.398
REGION1,HYDRODAM01,2041,69.398
REGION1,HYDRODAM01,2042,69.398
REGION1,HYDRODAM01,2043,69.398
REGION1,HYDRODAM01,2044,69.398
REGION1,HYDRODAM01,2045,69.398
REGION1,HYDRODAM01,2046,69.398
REGION1,HYDRODAM01,2047,69.398
REGION1,HYDRODAM01,2048,69.398
REGION1,HYDRODAM01,2049,69.398
REGION1,HYDRODAM01,2050,69.398
