REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRSOLB02,2030,0.104
REGION1,PWRSOLB02,2031,0.104
REGION1,PWRSOLB02,2032,0.104
REGION1,PWRSOLB02,2033,0.104
REGION1,PWRSOLB02,2034,0.104
REGION1,PWRSOLB02,2035,0.104
REGION1,PWRSOLB02,2036,0.104
REGION1,PWRSOLB02,2037,0.104
REGION1,PWRSOLB02,2038,0.104
REGION1,PWRSOLB02,2039,0.104
REGION1,PWRSOLB02,2040,0.104
REGION1,PWRSOLB02,2041,0.104
REGION1,PWRSOLB02,2042,0.104
REGION1,PWRSOLB02,2043,0.104
REGION1,PWRSOLB02,2044,0.104
REGION1,PWRSOLB02,2045,0.104
REGION1,PWRSOLB02,2046,0.104
REGION1,PWRSOLB02,2047,0.104
REGION1,PWRSOLB02,2048,0.104
REGION1,PWRSOLB02,2049,0.104
REGION1,PWRSOLB02,2050,0.104
REGION1,PWRSOLB03,2031,0.8717157748186453
REGION1,PWRSOLB03,2032,0.8717157748186453
REGION1,PWRSOLB03,2033,0.8717157748186453
REGION1,PWRSOLB03,2034,0.8717157748186453
REGION1,PWRSOLB03,2035,0.8717157748186453
REGION1,PWRSOLB03,2036,0.8717157748186453
REGION1,PWRSOLB03,2037,0.8717157748186453
REGION1,PWRSOLB03,2038,0.8717157748186453
REGION1,PWRSOLB03,2039,0.8717157748186453
REGION1,PWRSOLB03,2040,0.8717157748186453
REGION1,PWRSOLB03,2041,0.8717157748186453
REGION1,PWRSOLB03,2042,0.8717157748186453
REGION1,PWRSOLB03,2043,0.8717157748186453
REGION1,PWRSOLB03,2044,0.8717157748186453
REGION1,PWRSOLB03,2045,0.8717157748186453
REGION1,PWRSOLB03,2046,0.8717157748186453
REGION1,PWRSOLB03,2047,0.8717157748186453
REGION1,PWRSOLB03,2048,0.8717157748186453
REGION1,PWRSOLB03,2049,0.8717157748186453
REGION1,PWRSOLB03,2050,0.8717157748186453
REGION1,PWRSOLB04,2031,2.3531367122608264
REGION1,PWRSOLB04,2032,2.3531367122608264
REGION1,PWRSOLB04,2033,2.3531367122608264
REGION1,PWRSOLB04,2034,2.3531367122608264
REGION1,PWRSOLB04,2035,2.3531367122608264
REGION1,PWRSOLB04,2036,2.3531367122608264
REGION1,PWRSOLB04,2037,2.3531367122608264
REGION1,PWRSOLB04,2038,2.3531367122608264
REGION1,PWRSOLB04,2039,2.3531367122608264
REGION1,PWRSOLB04,2040,2.3531367122608264
REGION1,PWRSOLB04,2041,2.3531367122608264
REGION1,PWRSOLB04,2042,2.3531367122608264
REGION1,PWRSOLB04,2043,2.3531367122608264
REGION1,PWRSOLB04,2044,2.3531367122608264
REGION1,PWRSOLB04,2045,2.3531367122608264
REGION1,PWRSOLB04,2046,2.3531367122608264
REGION1,PWRSOLB04,2047,2.3531367122608264
REGION1,PWRSOLB04,2048,2.3531367122608264
REGION1,PWRSOLB04,2049,2.3531367122608264
REGION1,PWRSOLB04,2050,2.3531367122608264
REGION1,PWRSOLB05,2031,0.0033489523065215
REGION1,PWRSOLB05,2032,0.0033489523065215
REGION1,PWRSOLB05,2033,0.0033489523065215
REGION1,PWRSOLB05,2034,0.0033489523065215
REGION1,PWRSOLB05,2035,0.0033489523065215
REGION1,PWRSOLB05,2036,0.0033489523065215
REGION1,PWRSOLB05,2037,0.0033489523065215
REGION1,PWRSOLB05,2038,0.0033489523065215
REGION1,PWRSOLB05,2039,0.0033489523065215
REGION1,PWRSOLB05,2040,0.0033489523065215
REGION1,PWRSOLB05,2041,0.0033489523065215
REGION1,PWRSOLB05,2042,0.0033489523065215
REGION1,PWRSOLB05,2043,0.0033489523065215
REGION1,PWRSOLB05,2044,0.0033489523065215
REGION1,PWRSOLB05,2045,0.0033489523065215
REGION1,PWRSOLB05,2046,0.0033489523065215
REGION1,PWRSOLB05,2047,0.0033489523065215
REGION1,PWRSOLB05,2048,0.0033489523065215
REGION1,PWRSOLB05,2049,0.0033489523065215
REGION1,PWRSOLB05,2050,0.0033489523065215
REGION1,PWRSOLB06,2031,1.076943616212492
REGION1,PWRSOLB06,2032,1.076943616212492
REGION1,PWRSOLB06,2033,1.076943616212492
REGION1,PWRSOLB06,2034,1.076943616212492
REGION1,PWRSOLB06,2035,1.076943616212492
REGION1,PWRSOLB06,2036,1.076943616212492
REGION1,PWRSOLB06,2037,1.076943616212492
REGION1,PWRSOLB06,2038,1.076943616212492
REGION1,PWRSOLB06,2039,1.076943616212492
REGION1,PWRSOLB06,2040,1.076943616212492
REGION1,PWRSOLB06,2041,1.076943616212492
REGION1,PWRSOLB06,2042,1.076943616212492
REGION1,PWRSOLB06,2043,1.076943616212492
REGION1,PWRSOLB06,2044,1.076943616212492
REGION1,PWRSOLB06,2045,1.076943616212492
REGION1,PWRSOLB06,2046,1.076943616212492
REGION1,PWRSOLB06,2047,1.076943616212492
REGION1,PWRSOLB06,2048,1.076943616212492
REGION1,PWRSOLB06,2049,1.076943616212492
REGION1,PWRSOLB06,2050,1.076943616212492
REGION1,PWRSOLB07,2031,0.6948549444015153
REGION1,PWRSOLB07,2032,0.6948549444015153
REGION1,PWRSOLB07,2033,0.6948549444015153
REGION1,PWRSOLB07,2034,0.6948549444015153
REGION1,PWRSOLB07,2035,0.6948549444015153
REGION1,PWRSOLB07,2036,0.6948549444015153
REGION1,PWRSOLB07,2037,0.6948549444015153
REGION1,PWRSOLB07,2038,0.6948549444015153
REGION1,PWRSOLB07,2039,0.6948549444015153
REGION1,PWRSOLB07,2040,0.6948549444015153
REGION1,PWRSOLB07,2041,0.6948549444015153
REGION1,PWRSOLB07,2042,0.6948549444015153
REGION1,PWRSOLB07,2043,0.6948549444015153
REGION1,PWRSOLB07,2044,0.6948549444015153
REGION1,PWRSOLB07,2045,0.6948549444015153
REGION1,PWRSOLB07,2046,0.6948549444015153
REGION1,PWRSOLB07,2047,0.6948549444015153
REGION1,PWRSOLB07,2048,0.6948549444015153
REGION1,PWRSOLB07,2049,0.6948549444015153
REGION1,PWRSOLB07,2050,0.6948549444015153
REGION1,PWRWNDB11,2031,0.1999
REGION1,PWRWNDB11,2032,0.1999
REGION1,PWRWNDB11,2033,0.1999
REGION1,PWRWNDB11,2034,0.1999
REGION1,PWRWNDB11,2035,0.1999
REGION1,PWRWNDB11,2036,0.1999
REGION1,PWRWNDB11,2037,0.1999
REGION1,PWRWNDB11,2038,0.1999
REGION1,PWRWNDB11,2039,0.1999
REGION1,PWRWNDB11,2040,0.1999
REGION1,PWRWNDB11,2041,0.1999
REGION1,PWRWNDB11,2042,0.1999
REGION1,PWRWNDB11,2043,0.1999
REGION1,PWRWNDB11,2044,0.1999
REGION1,PWRWNDB11,2045,0.1999
REGION1,PWRWNDB11,2046,0.1999
REGION1,PWRWNDB11,2047,0.1999
REGION1,PWRWNDB11,2048,0.1999
REGION1,PWRWNDB11,2049,0.1999
REGION1,PWRWNDB11,2050,0.1999
REGION1,PWRWNDB12,2031,0.1999
REGION1,PWRWNDB12,2032,0.1999
REGION1,PWRWNDB12,2033,0.1999
REGION1,PWRWNDB12,2034,0.1999
REGION1,PWRWNDB12,2035,0.1999
REGION1,PWRWNDB12,2036,0.1999
REGION1,PWRWNDB12,2037,0.1999
REGION1,PWRWNDB12,2038,0.1999
REGION1,PWRWNDB12,2039,0.1999
REGION1,PWRWNDB12,2040,0.1999
REGION1,PWRWNDB12,2041,0.1999
REGION1,PWRWNDB12,2042,0.1999
REGION1,PWRWNDB12,2043,0.1999
REGION1,PWRWNDB12,2044,0.1999
REGION1,PWRWNDB12,2045,0.1999
REGION1,PWRWNDB12,2046,0.1999
REGION1,PWRWNDB12,2047,0.1999
REGION1,PWRWNDB12,2048,0.1999
REGION1,PWRWNDB12,2049,0.1999
REGION1,PWRWNDB12,2050,0.1999
REGION1,PWRWNDB13,2032,0.1972
REGION1,PWRWNDB13,2033,0.1972
REGION1,PWRWNDB13,2034,0.1972
REGION1,PWRWNDB13,2035,0.1972
REGION1,PWRWNDB13,2036,0.1972
REGION1,PWRWNDB13,2037,0.1972
REGION1,PWRWNDB13,2038,0.1972
REGION1,PWRWNDB13,2039,0.1972
REGION1,PWRWNDB13,2040,0.1972
REGION1,PWRWNDB13,2041,0.1972
REGION1,PWRWNDB13,2042,0.1972
REGION1,PWRWNDB13,2043,0.1972
REGION1,PWRWNDB13,2044,0.1972
REGION1,PWRWNDB13,2045,0.1972
REGION1,PWRWNDB13,2046,0.1972
REGION1,PWRWNDB13,2047,0.1972
REGION1,PWRWNDB13,2048,0.1972
REGION1,PWRWNDB13,2049,0.1972
REGION1,PWRWNDB13,2050,0.1972
REGION1,PWRWNDB14,2032,0.1428
REGION1,PWRWNDB14,2033,0.1428
REGION1,PWRWNDB14,2034,0.1428
REGION1,PWRWNDB14,2035,0.1428
REGION1,PWRWNDB14,2036,0.1428
REGION1,PWRWNDB14,2037,0.1428
REGION1,PWRWNDB14,2038,0.1428
REGION1,PWRWNDB14,2039,0.1428
REGION1,PWRWNDB14,2040,0.1428
REGION1,PWRWNDB14,2041,0.1428
REGION1,PWRWNDB14,2042,0.1428
REGION1,PWRWNDB14,2043,0.1428
REGION1,PWRWNDB14,2044,0.1428
REGION1,PWRWNDB14,2045,0.1428
REGION1,PWRWNDB14,2046,0.1428
REGION1,PWRWNDB14,2047,0.1428
