REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2021,999
REGION1,CO2,2022,999
REGION1,CO2,2023,999
REGION1,CO2,2024,999
REGION1,CO2,2025,999
REGION1,CO2,2026,999
REGION1,CO2,2027,999
REGION1,CO2,2028,999
REGION1,CO2,2029,999
REGION1,CO2,2030,999
REGION1,CO2,2031,999
REGION1,CO2,2032,999
REGION1,CO2,2033,999
REGION1,CO2,2034,999
REGION1,CO2,2035,999
REGION1,CO2,2036,999
REGION1,CO2,2037,999
REGION1,CO2,2038,999
REGION1,CO2,2039,999
REGION1,CO2,2040,999
REGION1,CO2,2041,999
REGION1,CO2,2042,999
REGION1,CO2,2043,999
REGION1,CO2,2044,999
REGION1,CO2,2045,999
REGION1,CO2,2046,999
REGION1,CO2,2047,999
REGION1,CO2,2048,999
REGION1,CO2,2049,999
REGION1,CO2,2050,999
REGION1,CH4_FER,2021,99999999
REGION1,CH4_FER,2022,99999999
REGION1,CH4_FER,2023,99999999
REGION1,CH4_FER,2024,99999999
REGION1,CH4_FER,2025,99999999
REGION1,CH4_FER,2026,99999999
REGION1,CH4_FER,2027,99999999
REGION1,CH4_FER,2028,99999999
REGION1,CH4_FER,2029,99999999
REGION1,CH4_FER,2030,99999999
REGION1,CH4_FER,2031,99999999
REGION1,CH4_FER,2032,99999999
REGION1,CH4_FER,2033,99999999
REGION1,CH4_FER,2034,99999999
REGION1,CH4_FER,2035,99999999
REGION1,CH4_FER,2036,99999999
REGION1,CH4_FER,2037,99999999
REGION1,CH4_FER,2038,99999999
REGION1,CH4_FER,2039,99999999
REGION1,CH4_FER,2040,99999999
REGION1,CH4_FER,2041,99999999
REGION1,CH4_FER,2042,99999999
REGION1,CH4_FER,2043,99999999
REGION1,CH4_FER,2044,99999999
REGION1,CH4_FER,2045,99999999
REGION1,CH4_FER,2046,99999999
REGION1,CH4_FER,2047,99999999
REGION1,CH4_FER,2048,99999999
REGION1,CH4_FER,2049,99999999
REGION1,CH4_FER,2050,99999999
REGION1,CH4_MAN,2021,99999999
REGION1,CH4_MAN,2022,99999999
REGION1,CH4_MAN,2023,99999999
REGION1,CH4_MAN,2024,99999999
REGION1,CH4_MAN,2025,99999999
REGION1,CH4_MAN,2026,99999999
REGION1,CH4_MAN,2027,99999999
REGION1,CH4_MAN,2028,99999999
REGION1,CH4_MAN,2029,99999999
REGION1,CH4_MAN,2030,99999999
REGION1,CH4_MAN,2031,99999999
REGION1,CH4_MAN,2032,99999999
REGION1,CH4_MAN,2033,99999999
REGION1,CH4_MAN,2034,99999999
REGION1,CH4_MAN,2035,99999999
REGION1,CH4_MAN,2036,99999999
REGION1,CH4_MAN,2037,99999999
REGION1,CH4_MAN,2038,99999999
REGION1,CH4_MAN,2039,99999999
REGION1,CH4_MAN,2040,99999999
REGION1,CH4_MAN,2041,99999999
REGION1,CH4_MAN,2042,99999999
REGION1,CH4_MAN,2043,99999999
REGION1,CH4_MAN,2044,99999999
REGION1,CH4_MAN,2045,99999999
REGION1,CH4_MAN,2046,99999999
REGION1,CH4_MAN,2047,99999999
REGION1,CH4_MAN,2048,99999999
REGION1,CH4_MAN,2049,99999999
REGION1,CH4_MAN,2050,99999999
REGION1,N2O_MAN,2021,99999999
REGION1,N2O_MAN,2022,99999999
REGION1,N2O_MAN,2023,99999999
REGION1,N2O_MAN,2024,99999999
REGION1,N2O_MAN,2025,99999999
REGION1,N2O_MAN,2026,99999999
REGION1,N2O_MAN,2027,99999999
REGION1,N2O_MAN,2028,99999999
REGION1,N2O_MAN,2029,99999999
REGION1,N2O_MAN,2030,99999999
REGION1,N2O_MAN,2031,99999999
REGION1,N2O_MAN,2032,99999999
REGION1,N2O_MAN,2033,99999999
REGION1,N2O_MAN,2034,99999999
REGION1,N2O_MAN,2035,99999999
REGION1,N2O_MAN,2036,99999999
REGION1,N2O_MAN,2037,99999999
REGION1,N2O_MAN,2038,99999999
REGION1,N2O_MAN,2039,99999999
REGION1,N2O_MAN,2040,99999999
REGION1,N2O_MAN,2041,99999999
REGION1,N2O_MAN,2042,99999999
REGION1,N2O_MAN,2043,99999999
REGION1,N2O_MAN,2044,99999999
REGION1,N2O_MAN,2045,99999999
REGION1,N2O_MAN,2046,99999999
REGION1,N2O_MAN,2047,99999999
REGION1,N2O_MAN,2048,99999999
REGION1,N2O_MAN,2049,99999999
REGION1,N2O_MAN,2050,99999999
