REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMINDDSL,INDDSL,1,2021,1
REGION1,DEMINDDSL,INDDSL,1,2022,1
REGION1,DEMINDDSL,INDDSL,1,2023,1
REGION1,DEMINDDSL,INDDSL,1,2024,1
REGION1,DEMINDDSL,INDDSL,1,2025,1
REGION1,DEMINDDSL,INDDSL,1,2026,1
REGION1,DEMINDBIO,INDBIO,1,2021,1
REGION1,DEMINDBIO,INDBIO,1,2022,1
REGION1,DEMINDBIO,INDBIO,1,2023,1
REGION1,DEMINDBIO,INDBIO,1,2024,1
REGION1,DEMINDBIO,INDBIO,1,2025,1
REGION1,DEMINDBIO,INDBIO,1,2026,1
REGION1,DEMINDNGS,INDNGS,1,2021,1
REGION1,DEMINDNGS,INDNGS,1,2022,1
REGION1,DEMINDNGS,INDNGS,1,2023,1
REGION1,DEMINDNGS,INDNGS,1,2024,1
REGION1,DEMINDNGS,INDNGS,1,2025,1
REGION1,DEMINDNGS,INDNGS,1,2026,1
REGION1,DEMINDELCB02,INDELCB02,1,2021,1
REGION1,DEMINDELCB02,INDELCB02,1,2022,1
REGION1,DEMINDELCB02,INDELCB02,1,2023,1
REGION1,DEMINDELCB02,INDELCB02,1,2024,1
REGION1,DEMINDELCB02,INDELCB02,1,2025,1
REGION1,DEMINDELCB02,INDELCB02,1,2026,1
REGION1,DEMINDHDG,INDHDG,1,2021,1
REGION1,DEMINDHDG,INDHDG,1,2022,1
REGION1,DEMINDHDG,INDHDG,1,2023,1
REGION1,DEMINDHDG,INDHDG,1,2024,1
REGION1,DEMINDHDG,INDHDG,1,2025,1
REGION1,DEMINDHDG,INDHDG,1,2026,1
REGION1,DEMRESBIO,RESBIO,1,2021,1
REGION1,DEMRESBIO,RESBIO,1,2022,1
REGION1,DEMRESBIO,RESBIO,1,2023,1
REGION1,DEMRESBIO,RESBIO,1,2024,1
REGION1,DEMRESBIO,RESBIO,1,2025,1
REGION1,DEMRESBIO,RESBIO,1,2026,1
REGION1,DEMRESNGS,RESNGS,1,2021,1
REGION1,DEMRESNGS,RESNGS,1,2022,1
REGION1,DEMRESNGS,RESNGS,1,2023,1
REGION1,DEMRESNGS,RESNGS,1,2024,1
REGION1,DEMRESNGS,RESNGS,1,2025,1
REGION1,DEMRESNGS,RESNGS,1,2026,1
