REGION,TECHNOLOGY,VALUE
REGION1,PWRBIOB01,31.536
REGION1,PWRBIOB02,31.536
REGION1,PWRGEOB01,31.536
REGION1,PWRHYDB01,31.536
REGION1,PWRHYDB02,31.536
REGION1,PWRNGSB01,31.536
REGION1,PWRSOLB01,31.536
REGION1,PWRTRNB01,31.536
REGION1,PWRURNB01,31.536
REGION1,PWRWNDB01,31.536
REGION1,PWRWNDB02,31.536
REGION1,PWRWNDB03,31.536
REGION1,PWRWNDB04,31.536
REGION1,PWRWNDB05,31.536
REGION1,PWRWNDB06,31.536
REGION1,PWRWNDB07,31.536
REGION1,PWRWNDB08,31.536
REGION1,PWRWNDB09,31.536
REGION1,PWRWNDB10,31.536
REGION1,PWRWNDB11,31.536
REGION1,PWRWNDB12,31.536
REGION1,PWRWNDB13,31.536
REGION1,PWRWNDB14,31.536
REGION1,PWRSOLB02,31.536
REGION1,PWRNGSB02,31.536
REGION1,INFLOW01,31.536
REGION1,PWRSOLB03,31.536
REGION1,PWRSOLB04,31.536
REGION1,PWRSOLB05,31.536
REGION1,PWRSOLB06,31.536
REGION1,PWRSOLB07,31.536
REGION1,PWRWNDB15,31.536
REGION1,PWRWNDB16,31.536
REGION1,PWRWNDB17,31.536
REGION1,PWRWNDB18,31.536
REGION1,PWRWNDB19,31.536
REGION1,PWRWNDB20,31.536
REGION1,PWRWNDB21,31.536
REGION1,PWRWNDB22,31.536
REGION1,PWRWNDB23,31.536
REGION1,PWRWNDB24,31.536
REGION1,PWRWNDB25,31.536
REGION1,PWRWNDB26,31.536
REGION1,PWRWNDB27,31.536
REGION1,LVSHRDBEFNBC1,1
REGION1,LVSHRDBEFCBC1,1
REGION1,LVSHRDMILBC1,1
REGION1,LVSHRDPIGBC1,1
REGION1,LVSHRDSHPBC1,1
REGION1,LNDLVSBEFNBC1,1
REGION1,LNDLVSBEFCBC1,1
REGION1,LNDLVSMILBC1,1
REGION1,LNDLVSPIGBC1,1
REGION1,LNDLVSSHPBC1,1
REGION1,LVSBEFNBC1,1
REGION1,LVSBEFCBC1,1
REGION1,LVSMILBC1,1
REGION1,LVSPIGBC1,1
REGION1,LVSSHPBC1,1
REGION1,LNDAGVMAIHIBC1,1
REGION1,LNDAGVMAIHRBC1,1
REGION1,LNDAGVMAIIIBC1,1
REGION1,LNDAGVMAIIRBC1,1
REGION1,LNDAGVMAILRBC1,1
REGION1,LNDAGVPTWHIBC1,1
REGION1,LNDAGVPTWHRBC1,1
REGION1,LNDAGVPTWIIBC1,1
REGION1,LNDAGVPTWIRBC1,1
REGION1,LNDAGVPTWLRBC1,1
REGION1,LNDAGVWHEHIBC1,1
REGION1,LNDAGVWHEHRBC1,1
REGION1,LNDAGVWHEIIBC1,1
REGION1,LNDAGVWHEIRBC1,1
REGION1,LNDAGVWHELRBC1,1
REGION1,LNDALFHIBC1,1
REGION1,LNDALFHRBC1,1
REGION1,LNDALFIIBC1,1
REGION1,LNDALFIRBC1,1
REGION1,LNDALFLRBC1,1
REGION1,LNDBARBC1,1
REGION1,LNDBARHIBC1,1
REGION1,LNDBARHRBC1,1
REGION1,LNDBARIIBC1,1
REGION1,LNDBARIRBC1,1
REGION1,LNDBARLRBC1,1
REGION1,LNDBLTBC1,1
REGION1,LNDFORBC1,1
REGION1,LNDGRSBC1,1
REGION1,LNDMAIHIBC1,1
REGION1,LNDMAIHRBC1,1
REGION1,LNDMAIIIBC1,1
REGION1,LNDMAIIRBC1,1
REGION1,LNDMAILRBC1,1
REGION1,LNDOATHIBC1,1
REGION1,LNDOATHRBC1,1
REGION1,LNDOATIIBC1,1
REGION1,LNDOATIRBC1,1
REGION1,LNDOATLRBC1,1
REGION1,LNDOTHBC1,1
REGION1,LNDOTHHIBC1,1
REGION1,LNDOTHHRBC1,1
REGION1,LNDOTHIIBC1,1
REGION1,LNDOTHIRBC1,1
REGION1,LNDOTHLRBC1,1
REGION1,LNDPEAHIBC1,1
REGION1,LNDPEAHRBC1,1
REGION1,LNDPEAIIBC1,1
REGION1,LNDPEAIRBC1,1
REGION1,LNDPEALRBC1,1
REGION1,LNDPTWHIBC1,1
REGION1,LNDPTWHRBC1,1
REGION1,LNDPTWIIBC1,1
REGION1,LNDPTWIRBC1,1
REGION1,LNDPTWLRBC1,1
REGION1,LNDRAPHIBC1,1
REGION1,LNDRAPHRBC1,1
REGION1,LNDRAPIIBC1,1
REGION1,LNDRAPIRBC1,1
REGION1,LNDRAPLRBC1,1
REGION1,LNDRYEHIBC1,1
REGION1,LNDRYEHRBC1,1
REGION1,LNDRYEIIBC1,1
REGION1,LNDRYEIRBC1,1
REGION1,LNDRYELRBC1,1
REGION1,LNDWATBC1,1
REGION1,LNDWHEHIBC1,1
REGION1,LNDWHEHRBC1,1
REGION1,LNDWHEIIBC1,1
REGION1,LNDWHEIRBC1,1
REGION1,LNDWHELRBC1,1
REGION1,MINLNDBC1,1
REGION1,LNDAGRBC1C01,1
REGION1,LNDAGRBC1C02,1
REGION1,LNDAGRBC1C03,1
REGION1,LNDAGRBC1C04,1
REGION1,LNDAGRBC1C05,1
REGION1,LNDAGRBC1C06,1
REGION1,LNDAGRBC1C07,1
REGION1,MINPRCBC1,1
