REGION,FUEL,YEAR,VALUE
REGION1,COMELCB02,2021,53.03
REGION1,COMELCB02,2022,57.05
REGION1,COMELCB02,2023,59.44
REGION1,COMELCB02,2024,61.18
REGION1,COMELCB02,2025,62.86
REGION1,COMELCB02,2026,64.68
REGION1,COMELCB02,2027,66.57
REGION1,COMELCB02,2028,68.09
REGION1,COMELCB02,2029,69.38
REGION1,COMELCB02,2030,70.59
REGION1,COMELCB02,2031,71.89
REGION1,COMELCB02,2032,73.26
REGION1,COMELCB02,2033,74.49
REGION1,COMELCB02,2034,75.75
REGION1,COMELCB02,2035,77.02
REGION1,COMELCB02,2036,78.37
REGION1,COMELCB02,2037,79.7
REGION1,COMELCB02,2038,80.96
REGION1,COMELCB02,2039,82.19
REGION1,COMELCB02,2040,83.27
REGION1,COMELCB02,2041,84.34
REGION1,COMELCB02,2042,85.36
REGION1,COMELCB02,2043,86.37
REGION1,COMELCB02,2044,87.34
REGION1,COMELCB02,2045,88.37
REGION1,COMELCB02,2046,89.5
REGION1,COMELCB02,2047,90.7
REGION1,COMELCB02,2048,92.03
REGION1,COMELCB02,2049,93.4
REGION1,COMELCB02,2050,94.89
REGION1,INDELCB02,2021,88.72
REGION1,INDELCB02,2022,93.63
REGION1,INDELCB02,2023,99.69
REGION1,INDELCB02,2024,102.88
REGION1,INDELCB02,2025,106.06
REGION1,INDELCB02,2026,109.41
REGION1,INDELCB02,2027,111.21
REGION1,INDELCB02,2028,115.27
REGION1,INDELCB02,2029,122.13
REGION1,INDELCB02,2030,127.37
REGION1,INDELCB02,2031,130.41
REGION1,INDELCB02,2032,137.71
REGION1,INDELCB02,2033,144.89
REGION1,INDELCB02,2034,146.78
REGION1,INDELCB02,2035,148.43
REGION1,INDELCB02,2036,149.95
REGION1,INDELCB02,2037,151.33
REGION1,INDELCB02,2038,152.66
REGION1,INDELCB02,2039,154.09
REGION1,INDELCB02,2040,155.5
REGION1,INDELCB02,2041,156.74
REGION1,INDELCB02,2042,157.96
REGION1,INDELCB02,2043,159.13
REGION1,INDELCB02,2044,160.28
REGION1,INDELCB02,2045,161.46
REGION1,INDELCB02,2046,162.64
REGION1,INDELCB02,2047,163.66
REGION1,INDELCB02,2048,164.62
REGION1,INDELCB02,2049,165.63
REGION1,INDELCB02,2050,166.62
REGION1,RESELCB02,2021,65.73
REGION1,RESELCB02,2022,70.39
REGION1,RESELCB02,2023,73.3
REGION1,RESELCB02,2024,75.08
REGION1,RESELCB02,2025,76.84
REGION1,RESELCB02,2026,78.52
REGION1,RESELCB02,2027,80.17
REGION1,RESELCB02,2028,81.76
REGION1,RESELCB02,2029,83.26
REGION1,RESELCB02,2030,84.74
REGION1,RESELCB02,2031,86.36
REGION1,RESELCB02,2032,88
REGION1,RESELCB02,2033,89.59
REGION1,RESELCB02,2034,91.2
REGION1,RESELCB02,2035,92.77
REGION1,RESELCB02,2036,94.28
REGION1,RESELCB02,2037,95.71
REGION1,RESELCB02,2038,97.06
REGION1,RESELCB02,2039,98.31
REGION1,RESELCB02,2040,99.53
REGION1,RESELCB02,2041,100.75
REGION1,RESELCB02,2042,101.94
REGION1,RESELCB02,2043,103.12
REGION1,RESELCB02,2044,104.28
REGION1,RESELCB02,2045,105.46
REGION1,RESELCB02,2046,106.64
REGION1,RESELCB02,2047,107.84
REGION1,RESELCB02,2048,109.08
REGION1,RESELCB02,2049,110.35
REGION1,RESELCB02,2050,111.65
REGION1,TRAELCB02,2021,0.67
REGION1,TRAELCB02,2022,1.06
REGION1,TRAELCB02,2023,1.74
REGION1,TRAELCB02,2024,2.84
REGION1,TRAELCB02,2025,4.33
REGION1,TRAELCB02,2026,5.97
REGION1,TRAELCB02,2027,7.6
REGION1,TRAELCB02,2028,9.22
REGION1,TRAELCB02,2029,10.85
REGION1,TRAELCB02,2030,12.44
REGION1,TRAELCB02,2031,13.9
REGION1,TRAELCB02,2032,15.45
REGION1,TRAELCB02,2033,17.04
REGION1,TRAELCB02,2034,18.67
REGION1,TRAELCB02,2035,20.34
REGION1,TRAELCB02,2036,21.9
REGION1,TRAELCB02,2037,23.35
REGION1,TRAELCB02,2038,24.68
REGION1,TRAELCB02,2039,25.91
REGION1,TRAELCB02,2040,27.07
REGION1,TRAELCB02,2041,28.16
REGION1,TRAELCB02,2042,29.2
REGION1,TRAELCB02,2043,30.18
REGION1,TRAELCB02,2044,31.13
REGION1,TRAELCB02,2045,32.04
REGION1,TRAELCB02,2046,32.93
REGION1,TRAELCB02,2047,33.81
REGION1,TRAELCB02,2048,34.67
REGION1,TRAELCB02,2049,35.53
REGION1,TRAELCB02,2050,36.36
