REGION,FUEL,YEAR,VALUE
REGION1,CRPALF,2021,1.435
REGION1,CRPALF,2022,1.436
REGION1,CRPALF,2023,1.438
REGION1,CRPALF,2024,1.44
REGION1,CRPALF,2025,1.441
REGION1,CRPALF,2026,1.443
REGION1,CRPALF,2027,1.445
REGION1,CRPALF,2028,1.447
REGION1,CRPALF,2029,1.448
REGION1,CRPALF,2030,1.45
REGION1,CRPALF,2031,1.452
REGION1,CRPALF,2032,1.453
REGION1,CRPALF,2033,1.455
REGION1,CRPALF,2034,1.457
REGION1,CRPALF,2035,1.459
REGION1,CRPALF,2036,1.46
REGION1,CRPALF,2037,1.462
REGION1,CRPALF,2038,1.464
REGION1,CRPALF,2039,1.465
REGION1,CRPALF,2040,1.467
REGION1,CRPALF,2041,1.469
REGION1,CRPALF,2042,1.471
REGION1,CRPALF,2043,1.472
REGION1,CRPALF,2044,1.474
REGION1,CRPALF,2045,1.476
REGION1,CRPALF,2046,1.477
REGION1,CRPALF,2047,1.479
REGION1,CRPALF,2048,1.481
REGION1,CRPALF,2049,1.483
REGION1,CRPALF,2050,1.484
REGION1,CRPBAR,2021,0.059
REGION1,CRPBAR,2022,0.064
REGION1,CRPBAR,2023,0.07
REGION1,CRPBAR,2024,0.068
REGION1,CRPBAR,2025,0.07
REGION1,CRPBAR,2026,0.073
REGION1,CRPBAR,2027,0.076
REGION1,CRPBAR,2028,0.078
REGION1,CRPBAR,2029,0.079
REGION1,CRPBAR,2030,0.082
REGION1,CRPBAR,2031,0.084
REGION1,CRPBAR,2032,0.086
REGION1,CRPBAR,2033,0.088
REGION1,CRPBAR,2034,0.09
REGION1,CRPBAR,2035,0.092
REGION1,CRPBAR,2036,0.094
REGION1,CRPBAR,2037,0.096
REGION1,CRPBAR,2038,0.098
REGION1,CRPBAR,2039,0.101
REGION1,CRPBAR,2040,0.103
REGION1,CRPBAR,2041,0.105
REGION1,CRPBAR,2042,0.107
REGION1,CRPBAR,2043,0.109
REGION1,CRPBAR,2044,0.111
REGION1,CRPBAR,2045,0.113
REGION1,CRPBAR,2046,0.115
REGION1,CRPBAR,2047,0.117
REGION1,CRPBAR,2048,0.119
REGION1,CRPBAR,2049,0.121
REGION1,CRPBAR,2050,0.124
REGION1,CRPMAI,2021,0.601
REGION1,CRPMAI,2022,0.59
REGION1,CRPMAI,2023,0.604
REGION1,CRPMAI,2024,0.613
REGION1,CRPMAI,2025,0.613
REGION1,CRPMAI,2026,0.625
REGION1,CRPMAI,2027,0.626
REGION1,CRPMAI,2028,0.645
REGION1,CRPMAI,2029,0.657
REGION1,CRPMAI,2030,0.66
REGION1,CRPMAI,2031,0.674
REGION1,CRPMAI,2032,0.672
REGION1,CRPMAI,2033,0.681
REGION1,CRPMAI,2034,0.683
REGION1,CRPMAI,2035,0.691
REGION1,CRPMAI,2036,0.708
REGION1,CRPMAI,2037,0.721
REGION1,CRPMAI,2038,0.729
REGION1,CRPMAI,2039,0.73
REGION1,CRPMAI,2040,0.734
REGION1,CRPMAI,2041,0.744
REGION1,CRPMAI,2042,0.753
REGION1,CRPMAI,2043,0.762
REGION1,CRPMAI,2044,0.77
REGION1,CRPMAI,2045,0.778
REGION1,CRPMAI,2046,0.786
REGION1,CRPMAI,2047,0.794
REGION1,CRPMAI,2048,0.802
REGION1,CRPMAI,2049,0.809
REGION1,CRPMAI,2050,0.817
REGION1,CRPOAT,2021,0.067
REGION1,CRPOAT,2022,0.068
REGION1,CRPOAT,2023,0.069
REGION1,CRPOAT,2024,0.07
REGION1,CRPOAT,2025,0.072
REGION1,CRPOAT,2026,0.073
REGION1,CRPOAT,2027,0.074
REGION1,CRPOAT,2028,0.075
REGION1,CRPOAT,2029,0.077
REGION1,CRPOAT,2030,0.078
REGION1,CRPOAT,2031,0.079
REGION1,CRPOAT,2032,0.081
REGION1,CRPOAT,2033,0.082
REGION1,CRPOAT,2034,0.083
REGION1,CRPOAT,2035,0.084
REGION1,CRPOAT,2036,0.086
REGION1,CRPOAT,2037,0.087
REGION1,CRPOAT,2038,0.088
REGION1,CRPOAT,2039,0.09
REGION1,CRPOAT,2040,0.091
REGION1,CRPOAT,2041,0.092
REGION1,CRPOAT,2042,0.093
REGION1,CRPOAT,2043,0.095
REGION1,CRPOAT,2044,0.096
REGION1,CRPOAT,2045,0.097
REGION1,CRPOAT,2046,0.098
REGION1,CRPOAT,2047,0.1
REGION1,CRPOAT,2048,0.101
REGION1,CRPOAT,2049,0.102
