REGION,FUEL,YEAR,VALUE
REGION1,COMELCB02,2021,53.03
REGION1,COMELCB02,2022,57.05
REGION1,COMELCB02,2023,59.45
REGION1,COMELCB02,2024,61.12
REGION1,COMELCB02,2025,62.62
REGION1,COMELCB02,2026,64.29
REGION1,COMELCB02,2027,65.96
REGION1,COMELCB02,2028,67.27
REGION1,COMELCB02,2029,68.37
REGION1,COMELCB02,2030,69.26
REGION1,COMELCB02,2031,70.17
REGION1,COMELCB02,2032,71.21
REGION1,COMELCB02,2033,72.14
REGION1,COMELCB02,2034,73.25
REGION1,COMELCB02,2035,74.54
REGION1,COMELCB02,2036,76.03
REGION1,COMELCB02,2037,77.57
REGION1,COMELCB02,2038,79.07
REGION1,COMELCB02,2039,80.4
REGION1,COMELCB02,2040,81.56
REGION1,COMELCB02,2041,82.52
REGION1,COMELCB02,2042,83.21
REGION1,COMELCB02,2043,83.78
REGION1,COMELCB02,2044,84.21
REGION1,COMELCB02,2045,84.63
REGION1,COMELCB02,2046,84.99
REGION1,COMELCB02,2047,85.35
REGION1,COMELCB02,2048,85.81
REGION1,COMELCB02,2049,86.4
REGION1,COMELCB02,2050,87.26
REGION1,INDELCB02,2021,88.72
REGION1,INDELCB02,2022,93.63
REGION1,INDELCB02,2023,96.24
REGION1,INDELCB02,2024,98.51
REGION1,INDELCB02,2025,101.97
REGION1,INDELCB02,2026,104.68
REGION1,INDELCB02,2027,105.84
REGION1,INDELCB02,2028,109.12
REGION1,INDELCB02,2029,112.77
REGION1,INDELCB02,2030,114.73
REGION1,INDELCB02,2031,116.66
REGION1,INDELCB02,2032,118.29
REGION1,INDELCB02,2033,119.77
REGION1,INDELCB02,2034,120.63
REGION1,INDELCB02,2035,121.17
REGION1,INDELCB02,2036,121.82
REGION1,INDELCB02,2037,122.79
REGION1,INDELCB02,2038,123.8
REGION1,INDELCB02,2039,125.21
REGION1,INDELCB02,2040,127
REGION1,INDELCB02,2041,129.13
REGION1,INDELCB02,2042,131.73
REGION1,INDELCB02,2043,134.83
REGION1,INDELCB02,2044,138.46
REGION1,INDELCB02,2045,140.53
REGION1,INDELCB02,2046,142.88
REGION1,INDELCB02,2047,147.7
REGION1,INDELCB02,2048,153.45
REGION1,INDELCB02,2049,160.02
REGION1,INDELCB02,2050,166.69
REGION1,RESELCB02,2021,65.73
REGION1,RESELCB02,2022,70.39
REGION1,RESELCB02,2023,73.57
REGION1,RESELCB02,2024,75.48
REGION1,RESELCB02,2025,77.33
REGION1,RESELCB02,2026,79
REGION1,RESELCB02,2027,80.5
REGION1,RESELCB02,2028,81.86
REGION1,RESELCB02,2029,83.03
REGION1,RESELCB02,2030,84.05
REGION1,RESELCB02,2031,85.43
REGION1,RESELCB02,2032,86.87
REGION1,RESELCB02,2033,88.38
REGION1,RESELCB02,2034,89.99
REGION1,RESELCB02,2035,91.65
REGION1,RESELCB02,2036,93.32
REGION1,RESELCB02,2037,94.97
REGION1,RESELCB02,2038,96.58
REGION1,RESELCB02,2039,98.09
REGION1,RESELCB02,2040,99.49
REGION1,RESELCB02,2041,100.85
REGION1,RESELCB02,2042,102.12
REGION1,RESELCB02,2043,103.36
REGION1,RESELCB02,2044,104.57
REGION1,RESELCB02,2045,105.76
REGION1,RESELCB02,2046,106.89
REGION1,RESELCB02,2047,108.03
REGION1,RESELCB02,2048,109.26
REGION1,RESELCB02,2049,110.62
REGION1,RESELCB02,2050,112.11
REGION1,TRAELCB02,2021,65.73
REGION1,TRAELCB02,2022,70.39
REGION1,TRAELCB02,2023,73.57
REGION1,TRAELCB02,2024,75.48
REGION1,TRAELCB02,2025,77.33
REGION1,TRAELCB02,2026,79
REGION1,TRAELCB02,2027,80.5
REGION1,TRAELCB02,2028,81.86
REGION1,TRAELCB02,2029,83.03
REGION1,TRAELCB02,2030,84.05
REGION1,TRAELCB02,2031,85.43
REGION1,TRAELCB02,2032,86.87
REGION1,TRAELCB02,2033,88.38
REGION1,TRAELCB02,2034,89.99
REGION1,TRAELCB02,2035,91.65
REGION1,TRAELCB02,2036,93.32
REGION1,TRAELCB02,2037,94.97
REGION1,TRAELCB02,2038,96.58
REGION1,TRAELCB02,2039,98.09
REGION1,TRAELCB02,2040,99.49
REGION1,TRAELCB02,2041,100.85
REGION1,TRAELCB02,2042,102.12
REGION1,TRAELCB02,2043,103.36
REGION1,TRAELCB02,2044,104.57
REGION1,TRAELCB02,2045,105.76
REGION1,TRAELCB02,2046,106.89
REGION1,TRAELCB02,2047,108.03
REGION1,TRAELCB02,2048,109.26
REGION1,TRAELCB02,2049,110.62
REGION1,TRAELCB02,2050,112.11
