REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRGEOB01,2021,0.87
REGION1,PWRGEOB01,2022,0.87
REGION1,PWRGEOB01,2023,0.87
REGION1,PWRGEOB01,2024,0.87
REGION1,PWRGEOB01,2025,0.87
REGION1,PWRGEOB01,2026,0.87
REGION1,PWRGEOB01,2027,0.87
REGION1,PWRGEOB01,2028,0.87
REGION1,PWRGEOB01,2029,0.87
REGION1,PWRGEOB01,2030,0.87
REGION1,PWRGEOB01,2031,0.87
REGION1,PWRGEOB01,2032,0.87
REGION1,PWRGEOB01,2033,0.87
REGION1,PWRGEOB01,2034,0.87
REGION1,PWRGEOB01,2035,0.87
REGION1,PWRGEOB01,2036,0.87
REGION1,PWRGEOB01,2037,0.87
REGION1,PWRGEOB01,2038,0.87
REGION1,PWRGEOB01,2039,0.87
REGION1,PWRGEOB01,2040,0.87
REGION1,PWRGEOB01,2041,0.87
REGION1,PWRGEOB01,2042,0.87
REGION1,PWRGEOB01,2043,0.87
REGION1,PWRGEOB01,2044,0.87
REGION1,PWRGEOB01,2045,0.87
REGION1,PWRGEOB01,2046,0.87
REGION1,PWRGEOB01,2047,0.87
REGION1,PWRGEOB01,2048,0.87
REGION1,PWRGEOB01,2049,0.87
REGION1,PWRGEOB01,2050,0.87
REGION1,PWRURNB01,2021,0.9
REGION1,PWRURNB01,2022,0.9
REGION1,PWRURNB01,2023,0.9
REGION1,PWRURNB01,2024,0.9
REGION1,PWRURNB01,2025,0.9
REGION1,PWRURNB01,2026,0.9
REGION1,PWRURNB01,2027,0.9
REGION1,PWRURNB01,2028,0.9
REGION1,PWRURNB01,2029,0.9
REGION1,PWRURNB01,2030,0.9
REGION1,PWRURNB01,2031,0.9
REGION1,PWRURNB01,2032,0.9
REGION1,PWRURNB01,2033,0.9
REGION1,PWRURNB01,2034,0.9
REGION1,PWRURNB01,2035,0.9
REGION1,PWRURNB01,2036,0.9
REGION1,PWRURNB01,2037,0.9
REGION1,PWRURNB01,2038,0.9
REGION1,PWRURNB01,2039,0.9
REGION1,PWRURNB01,2040,0.9
REGION1,PWRURNB01,2041,0.9
REGION1,PWRURNB01,2042,0.9
REGION1,PWRURNB01,2043,0.9
REGION1,PWRURNB01,2044,0.9
REGION1,PWRURNB01,2045,0.9
REGION1,PWRURNB01,2046,0.9
REGION1,PWRURNB01,2047,0.9
REGION1,PWRURNB01,2048,0.9
REGION1,PWRURNB01,2049,0.9
REGION1,PWRURNB01,2050,0.9
REGION1,PWRBIOB01,2021,0.8495454545454544
REGION1,PWRBIOB01,2022,0.8495454545454544
REGION1,PWRBIOB01,2023,0.8495454545454544
REGION1,PWRBIOB01,2024,0.8495454545454544
REGION1,PWRBIOB01,2025,0.8495454545454544
REGION1,PWRBIOB01,2026,0.8495454545454544
REGION1,PWRBIOB01,2027,0.8495454545454544
REGION1,PWRBIOB01,2028,0.8495454545454544
REGION1,PWRBIOB01,2029,0.8495454545454544
REGION1,PWRBIOB01,2030,0.8495454545454544
REGION1,PWRBIOB01,2031,0.8495454545454544
REGION1,PWRBIOB01,2032,0.8495454545454544
REGION1,PWRBIOB01,2033,0.8495454545454544
REGION1,PWRBIOB01,2034,0.8495454545454544
REGION1,PWRBIOB01,2035,0.8495454545454544
REGION1,PWRBIOB01,2036,0.8495454545454544
REGION1,PWRBIOB01,2037,0.8495454545454544
REGION1,PWRBIOB01,2038,0.8495454545454544
REGION1,PWRBIOB01,2039,0.8495454545454544
REGION1,PWRBIOB01,2040,0.8495454545454544
REGION1,PWRBIOB01,2041,0.8495454545454544
REGION1,PWRBIOB01,2042,0.8495454545454544
REGION1,PWRBIOB01,2043,0.8495454545454544
REGION1,PWRBIOB01,2044,0.8495454545454544
REGION1,PWRBIOB01,2045,0.8495454545454544
REGION1,PWRBIOB01,2046,0.8495454545454544
REGION1,PWRBIOB01,2047,0.8495454545454544
REGION1,PWRBIOB01,2048,0.8495454545454544
REGION1,PWRBIOB01,2049,0.8495454545454544
REGION1,PWRBIOB01,2050,0.8495454545454544
REGION1,PWRBIOB02,2021,0.5039091806515301
REGION1,PWRBIOB02,2022,0.5039091806515301
REGION1,PWRBIOB02,2023,0.5039091806515301
REGION1,PWRBIOB02,2024,0.5039091806515301
REGION1,PWRBIOB02,2025,0.5039091806515301
REGION1,PWRBIOB02,2026,0.5039091806515301
REGION1,PWRBIOB02,2027,0.5039091806515301
REGION1,PWRBIOB02,2028,0.5039091806515301
REGION1,PWRBIOB02,2029,0.5039091806515301
REGION1,PWRBIOB02,2030,0.5039091806515301
REGION1,PWRBIOB02,2031,0.5039091806515301
REGION1,PWRBIOB02,2032,0.5039091806515301
REGION1,PWRBIOB02,2033,0.5039091806515301
REGION1,PWRBIOB02,2034,0.5039091806515301
REGION1,PWRBIOB02,2035,0.5039091806515301
REGION1,PWRBIOB02,2036,0.5039091806515301
REGION1,PWRBIOB02,2037,0.5039091806515301
REGION1,PWRBIOB02,2038,0.5039091806515301
REGION1,PWRBIOB02,2039,0.5039091806515301
REGION1,PWRBIOB02,2040,0.5039091806515301
REGION1,PWRBIOB02,2041,0.5039091806515301
REGION1,PWRBIOB02,2042,0.5039091806515301
REGION1,PWRBIOB02,2043,0.5039091806515301
REGION1,PWRBIOB02,2044,0.5039091806515301
REGION1,PWRBIOB02,2045,0.5039091806515301
REGION1,PWRBIOB02,2046,0.5039091806515301
REGION1,PWRBIOB02,2047,0.5039091806515301
REGION1,PWRBIOB02,2048,0.5039091806515301
REGION1,PWRBIOB02,2049,0.5039091806515301
REGION1,PWRBIOB02,2050,0.5039091806515301
REGION1,PWRNGSB01,2021,0.8905405405405405
REGION1,PWRNGSB01,2022,0.8905405405405405
REGION1,PWRNGSB01,2023,0.8905405405405405
REGION1,PWRNGSB01,2024,0.8905405405405405
REGION1,PWRNGSB01,2025,0.8905405405405405
REGION1,PWRNGSB01,2026,0.8905405405405405
REGION1,PWRNGSB01,2027,0.8905405405405405
REGION1,PWRNGSB01,2028,0.8905405405405405
REGION1,PWRNGSB01,2029,0.8905405405405405
REGION1,PWRNGSB01,2030,0.8905405405405405
REGION1,PWRNGSB01,2031,0.8905405405405405
REGION1,PWRNGSB01,2032,0.8905405405405405
REGION1,PWRNGSB01,2033,0.8905405405405405
REGION1,PWRNGSB01,2034,0.8905405405405405
REGION1,PWRNGSB01,2035,0.8905405405405405
REGION1,PWRNGSB01,2036,0.8905405405405405
REGION1,PWRNGSB01,2037,0.8905405405405405
REGION1,PWRNGSB01,2038,0.8905405405405405
REGION1,PWRNGSB01,2039,0.8905405405405405
REGION1,PWRNGSB01,2040,0.8905405405405405
REGION1,PWRNGSB01,2041,0.8905405405405405
REGION1,PWRNGSB01,2042,0.8905405405405405
REGION1,PWRNGSB01,2043,0.8905405405405405
REGION1,PWRNGSB01,2044,0.8905405405405405
REGION1,PWRNGSB01,2045,0.8905405405405405
REGION1,PWRNGSB01,2046,0.8905405405405405
REGION1,PWRNGSB01,2047,0.8905405405405405
