REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMAGRDSL,2021,0.01
REGION1,DEMAGRDSL,2022,0.01
REGION1,DEMAGRDSL,2023,0.01
REGION1,DEMAGRDSL,2024,0.01
REGION1,DEMAGRDSL,2025,0.01
REGION1,DEMAGRDSL,2026,0.01
REGION1,DEMAGRDSL,2027,0.01
REGION1,DEMAGRDSL,2028,0.01
REGION1,DEMAGRDSL,2029,0.01
REGION1,DEMAGRDSL,2030,0.01
REGION1,DEMAGRDSL,2031,0.01
REGION1,DEMAGRDSL,2032,0.01
REGION1,DEMAGRDSL,2033,0.01
REGION1,DEMAGRDSL,2034,0.01
REGION1,DEMAGRDSL,2035,0.01
REGION1,DEMAGRDSL,2036,0.01
REGION1,DEMAGRDSL,2037,0.01
REGION1,DEMAGRDSL,2038,0.01
REGION1,DEMAGRDSL,2039,0.01
REGION1,DEMAGRDSL,2040,0.01
REGION1,DEMAGRDSL,2041,0.01
REGION1,DEMAGRDSL,2042,0.01
REGION1,DEMAGRDSL,2043,0.01
REGION1,DEMAGRDSL,2044,0.01
REGION1,DEMAGRDSL,2045,0.01
REGION1,DEMAGRDSL,2046,0.01
REGION1,DEMAGRDSL,2047,0.01
REGION1,DEMAGRDSL,2048,0.01
REGION1,DEMAGRDSL,2049,0.01
REGION1,DEMAGRDSL,2050,0.01
REGION1,DEMAGRELCB02,2021,0.01
REGION1,DEMAGRELCB02,2022,0.01
REGION1,DEMAGRELCB02,2023,0.01
REGION1,DEMAGRELCB02,2024,0.01
REGION1,DEMAGRELCB02,2025,0.01
REGION1,DEMAGRELCB02,2026,0.01
REGION1,DEMAGRELCB02,2027,0.01
REGION1,DEMAGRELCB02,2028,0.01
REGION1,DEMAGRELCB02,2029,0.01
REGION1,DEMAGRELCB02,2030,0.01
REGION1,DEMAGRELCB02,2031,0.01
REGION1,DEMAGRELCB02,2032,0.01
REGION1,DEMAGRELCB02,2033,0.01
REGION1,DEMAGRELCB02,2034,0.01
REGION1,DEMAGRELCB02,2035,0.01
REGION1,DEMAGRELCB02,2036,0.01
REGION1,DEMAGRELCB02,2037,0.01
REGION1,DEMAGRELCB02,2038,0.01
REGION1,DEMAGRELCB02,2039,0.01
REGION1,DEMAGRELCB02,2040,0.01
REGION1,DEMAGRELCB02,2041,0.01
REGION1,DEMAGRELCB02,2042,0.01
REGION1,DEMAGRELCB02,2043,0.01
REGION1,DEMAGRELCB02,2044,0.01
REGION1,DEMAGRELCB02,2045,0.01
REGION1,DEMAGRELCB02,2046,0.01
REGION1,DEMAGRELCB02,2047,0.01
REGION1,DEMAGRELCB02,2048,0.01
REGION1,DEMAGRELCB02,2049,0.01
REGION1,DEMAGRELCB02,2050,0.01
REGION1,DEMAGRGWTBC1,2021,0.01
REGION1,DEMAGRGWTBC1,2022,0.01
REGION1,DEMAGRGWTBC1,2023,0.01
REGION1,DEMAGRGWTBC1,2024,0.01
REGION1,DEMAGRGWTBC1,2025,0.01
REGION1,DEMAGRGWTBC1,2026,0.01
REGION1,DEMAGRGWTBC1,2027,0.01
REGION1,DEMAGRGWTBC1,2028,0.01
REGION1,DEMAGRGWTBC1,2029,0.01
REGION1,DEMAGRGWTBC1,2030,0.01
REGION1,DEMAGRGWTBC1,2031,0.01
REGION1,DEMAGRGWTBC1,2032,0.01
REGION1,DEMAGRGWTBC1,2033,0.01
REGION1,DEMAGRGWTBC1,2034,0.01
REGION1,DEMAGRGWTBC1,2035,0.01
REGION1,DEMAGRGWTBC1,2036,0.01
REGION1,DEMAGRGWTBC1,2037,0.01
REGION1,DEMAGRGWTBC1,2038,0.01
REGION1,DEMAGRGWTBC1,2039,0.01
REGION1,DEMAGRGWTBC1,2040,0.01
REGION1,DEMAGRGWTBC1,2041,0.01
REGION1,DEMAGRGWTBC1,2042,0.01
REGION1,DEMAGRGWTBC1,2043,0.01
REGION1,DEMAGRGWTBC1,2044,0.01
REGION1,DEMAGRGWTBC1,2045,0.01
REGION1,DEMAGRGWTBC1,2046,0.01
REGION1,DEMAGRGWTBC1,2047,0.01
REGION1,DEMAGRGWTBC1,2048,0.01
REGION1,DEMAGRGWTBC1,2049,0.01
REGION1,DEMAGRGWTBC1,2050,0.01
REGION1,DEMAGRNGS,2021,0.01
REGION1,DEMAGRNGS,2022,0.01
REGION1,DEMAGRNGS,2023,0.01
REGION1,DEMAGRNGS,2024,0.01
REGION1,DEMAGRNGS,2025,0.01
REGION1,DEMAGRNGS,2026,0.01
REGION1,DEMAGRNGS,2027,0.01
REGION1,DEMAGRNGS,2028,0.01
REGION1,DEMAGRNGS,2029,0.01
REGION1,DEMAGRNGS,2030,0.01
REGION1,DEMAGRNGS,2031,0.01
REGION1,DEMAGRNGS,2032,0.01
REGION1,DEMAGRNGS,2033,0.01
REGION1,DEMAGRNGS,2034,0.01
REGION1,DEMAGRNGS,2035,0.01
REGION1,DEMAGRNGS,2036,0.01
REGION1,DEMAGRNGS,2037,0.01
REGION1,DEMAGRNGS,2038,0.01
REGION1,DEMAGRNGS,2039,0.01
REGION1,DEMAGRNGS,2040,0.01
REGION1,DEMAGRNGS,2041,0.01
REGION1,DEMAGRNGS,2042,0.01
REGION1,DEMAGRNGS,2043,0.01
REGION1,DEMAGRNGS,2044,0.01
REGION1,DEMAGRNGS,2045,0.01
REGION1,DEMAGRNGS,2046,0.01
REGION1,DEMAGRNGS,2047,0.01
REGION1,DEMAGRNGS,2048,0.01
REGION1,DEMAGRNGS,2049,0.01
REGION1,DEMAGRNGS,2050,0.01
REGION1,DEMAGRSURBC1,2021,0.01
REGION1,DEMAGRSURBC1,2022,0.01
REGION1,DEMAGRSURBC1,2023,0.01
REGION1,DEMAGRSURBC1,2024,0.01
REGION1,DEMAGRSURBC1,2025,0.01
REGION1,DEMAGRSURBC1,2026,0.01
REGION1,DEMAGRSURBC1,2027,0.01
REGION1,DEMAGRSURBC1,2028,0.01
REGION1,DEMAGRSURBC1,2029,0.01
REGION1,DEMAGRSURBC1,2030,0.01
REGION1,DEMAGRSURBC1,2031,0.01
REGION1,DEMAGRSURBC1,2032,0.01
REGION1,DEMAGRSURBC1,2033,0.01
REGION1,DEMAGRSURBC1,2034,0.01
REGION1,DEMAGRSURBC1,2035,0.01
REGION1,DEMAGRSURBC1,2036,0.01
REGION1,DEMAGRSURBC1,2037,0.01
REGION1,DEMAGRSURBC1,2038,0.01
REGION1,DEMAGRSURBC1,2039,0.01
REGION1,DEMAGRSURBC1,2040,0.01
REGION1,DEMAGRSURBC1,2041,0.01
REGION1,DEMAGRSURBC1,2042,0.01
REGION1,DEMAGRSURBC1,2043,0.01
REGION1,DEMAGRSURBC1,2044,0.01
REGION1,DEMAGRSURBC1,2045,0.01
REGION1,DEMAGRSURBC1,2046,0.01
REGION1,DEMAGRSURBC1,2047,0.01
REGION1,DEMAGRSURBC1,2048,0.01
REGION1,DEMAGRSURBC1,2049,0.01
REGION1,DEMAGRSURBC1,2050,0.01
REGION1,DEMCOMBIO,2021,0.01
REGION1,DEMCOMBIO,2022,0.01
REGION1,DEMCOMBIO,2023,0.01
REGION1,DEMCOMBIO,2024,0.01
REGION1,DEMCOMBIO,2025,0.01
REGION1,DEMCOMBIO,2026,0.01
REGION1,DEMCOMBIO,2027,0.01
REGION1,DEMCOMBIO,2028,0.01
REGION1,DEMCOMBIO,2029,0.01
REGION1,DEMCOMBIO,2030,0.01
REGION1,DEMCOMBIO,2031,0.01
REGION1,DEMCOMBIO,2032,0.01
REGION1,DEMCOMBIO,2033,0.01
REGION1,DEMCOMBIO,2034,0.01
REGION1,DEMCOMBIO,2035,0.01
REGION1,DEMCOMBIO,2036,0.01
REGION1,DEMCOMBIO,2037,0.01
REGION1,DEMCOMBIO,2038,0.01
REGION1,DEMCOMBIO,2039,0.01
REGION1,DEMCOMBIO,2040,0.01
REGION1,DEMCOMBIO,2041,0.01
REGION1,DEMCOMBIO,2042,0.01
REGION1,DEMCOMBIO,2043,0.01
REGION1,DEMCOMBIO,2044,0.01
REGION1,DEMCOMBIO,2045,0.01
REGION1,DEMCOMBIO,2046,0.01
REGION1,DEMCOMBIO,2047,0.01
REGION1,DEMCOMBIO,2048,0.01
REGION1,DEMCOMBIO,2049,0.01
REGION1,DEMCOMBIO,2050,0.01
REGION1,DEMCOMELCB02,2021,0.01
REGION1,DEMCOMELCB02,2022,0.01
REGION1,DEMCOMELCB02,2023,0.01
REGION1,DEMCOMELCB02,2024,0.01
REGION1,DEMCOMELCB02,2025,0.01
REGION1,DEMCOMELCB02,2026,0.01
REGION1,DEMCOMELCB02,2027,0.01
REGION1,DEMCOMELCB02,2028,0.01
REGION1,DEMCOMELCB02,2029,0.01
REGION1,DEMCOMELCB02,2030,0.01
REGION1,DEMCOMELCB02,2031,0.01
REGION1,DEMCOMELCB02,2032,0.01
REGION1,DEMCOMELCB02,2033,0.01
REGION1,DEMCOMELCB02,2034,0.01
REGION1,DEMCOMELCB02,2035,0.01
REGION1,DEMCOMELCB02,2036,0.01
REGION1,DEMCOMELCB02,2037,0.01
REGION1,DEMCOMELCB02,2038,0.01
REGION1,DEMCOMELCB02,2039,0.01
REGION1,DEMCOMELCB02,2040,0.01
REGION1,DEMCOMELCB02,2041,0.01
REGION1,DEMCOMELCB02,2042,0.01
REGION1,DEMCOMELCB02,2043,0.01
REGION1,DEMCOMELCB02,2044,0.01
REGION1,DEMCOMELCB02,2045,0.01
REGION1,DEMCOMELCB02,2046,0.01
REGION1,DEMCOMELCB02,2047,0.01
REGION1,DEMCOMELCB02,2048,0.01
REGION1,DEMCOMELCB02,2049,0.01
REGION1,DEMCOMELCB02,2050,0.01
REGION1,DEMCOMRPP,2021,0.01
REGION1,DEMCOMRPP,2022,0.01
REGION1,DEMCOMRPP,2023,0.01
REGION1,DEMCOMRPP,2024,0.01
REGION1,DEMCOMRPP,2025,0.01
REGION1,DEMCOMRPP,2026,0.01
REGION1,DEMCOMRPP,2027,0.01
REGION1,DEMCOMRPP,2028,0.01
REGION1,DEMCOMRPP,2029,0.01
REGION1,DEMCOMRPP,2030,0.01
REGION1,DEMCOMRPP,2031,0.01
REGION1,DEMCOMRPP,2032,0.01
REGION1,DEMCOMRPP,2033,0.01
REGION1,DEMCOMRPP,2034,0.01
REGION1,DEMCOMRPP,2035,0.01
REGION1,DEMCOMRPP,2036,0.01
REGION1,DEMCOMRPP,2037,0.01
REGION1,DEMCOMRPP,2038,0.01
REGION1,DEMCOMRPP,2039,0.01
REGION1,DEMCOMRPP,2040,0.01
REGION1,DEMCOMRPP,2041,0.01
REGION1,DEMCOMRPP,2042,0.01
REGION1,DEMCOMRPP,2043,0.01
REGION1,DEMCOMRPP,2044,0.01
REGION1,DEMCOMRPP,2045,0.01
REGION1,DEMCOMRPP,2046,0.01
REGION1,DEMCOMRPP,2047,0.01
REGION1,DEMCOMRPP,2048,0.01
REGION1,DEMCOMRPP,2049,0.01
REGION1,DEMCOMRPP,2050,0.01
REGION1,DEMCOMNGS,2021,0.01
REGION1,DEMCOMNGS,2022,0.01
REGION1,DEMCOMNGS,2023,0.01
REGION1,DEMCOMNGS,2024,0.01
REGION1,DEMCOMNGS,2025,0.01
REGION1,DEMCOMNGS,2026,0.01
REGION1,DEMCOMNGS,2027,0.01
REGION1,DEMCOMNGS,2028,0.01
REGION1,DEMCOMNGS,2029,0.01
REGION1,DEMCOMNGS,2030,0.01
REGION1,DEMCOMNGS,2031,0.01
REGION1,DEMCOMNGS,2032,0.01
REGION1,DEMCOMNGS,2033,0.01
REGION1,DEMCOMNGS,2034,0.01
REGION1,DEMCOMNGS,2035,0.01
REGION1,DEMCOMNGS,2036,0.01
REGION1,DEMCOMNGS,2037,0.01
REGION1,DEMCOMNGS,2038,0.01
REGION1,DEMCOMNGS,2039,0.01
REGION1,DEMCOMNGS,2040,0.01
REGION1,DEMCOMNGS,2041,0.01
REGION1,DEMCOMNGS,2042,0.01
REGION1,DEMCOMNGS,2043,0.01
REGION1,DEMCOMNGS,2044,0.01
REGION1,DEMCOMNGS,2045,0.01
REGION1,DEMCOMNGS,2046,0.01
REGION1,DEMCOMNGS,2047,0.01
REGION1,DEMCOMNGS,2048,0.01
REGION1,DEMCOMNGS,2049,0.01
REGION1,DEMCOMNGS,2050,0.01
REGION1,DEMINDBIO,2021,0.01
REGION1,DEMINDBIO,2022,0.01
REGION1,DEMINDBIO,2023,0.01
REGION1,DEMINDBIO,2024,0.01
REGION1,DEMINDBIO,2025,0.01
REGION1,DEMINDBIO,2026,0.01
REGION1,DEMINDBIO,2027,0.01
REGION1,DEMINDBIO,2028,0.01
REGION1,DEMINDBIO,2029,0.01
REGION1,DEMINDBIO,2030,0.01
REGION1,DEMINDBIO,2031,0.01
REGION1,DEMINDBIO,2032,0.01
REGION1,DEMINDBIO,2033,0.01
REGION1,DEMINDBIO,2034,0.01
REGION1,DEMINDBIO,2035,0.01
REGION1,DEMINDBIO,2036,0.01
REGION1,DEMINDBIO,2037,0.01
REGION1,DEMINDBIO,2038,0.01
REGION1,DEMINDBIO,2039,0.01
REGION1,DEMINDBIO,2040,0.01
REGION1,DEMINDBIO,2041,0.01
REGION1,DEMINDBIO,2042,0.01
REGION1,DEMINDBIO,2043,0.01
REGION1,DEMINDBIO,2044,0.01
REGION1,DEMINDBIO,2045,0.01
REGION1,DEMINDBIO,2046,0.01
REGION1,DEMINDBIO,2047,0.01
REGION1,DEMINDBIO,2048,0.01
REGION1,DEMINDBIO,2049,0.01
REGION1,DEMINDBIO,2050,0.01
REGION1,DEMINDDSL,2021,0.01
REGION1,DEMINDDSL,2022,0.01
REGION1,DEMINDDSL,2023,0.01
REGION1,DEMINDDSL,2024,0.01
REGION1,DEMINDDSL,2025,0.01
REGION1,DEMINDDSL,2026,0.01
REGION1,DEMINDDSL,2027,0.01
REGION1,DEMINDDSL,2028,0.01
REGION1,DEMINDDSL,2029,0.01
REGION1,DEMINDDSL,2030,0.01
REGION1,DEMINDDSL,2031,0.01
REGION1,DEMINDDSL,2032,0.01
REGION1,DEMINDDSL,2033,0.01
REGION1,DEMINDDSL,2034,0.01
REGION1,DEMINDDSL,2035,0.01
REGION1,DEMINDDSL,2036,0.01
REGION1,DEMINDDSL,2037,0.01
REGION1,DEMINDDSL,2038,0.01
REGION1,DEMINDDSL,2039,0.01
REGION1,DEMINDDSL,2040,0.01
REGION1,DEMINDDSL,2041,0.01
REGION1,DEMINDDSL,2042,0.01
REGION1,DEMINDDSL,2043,0.01
REGION1,DEMINDDSL,2044,0.01
REGION1,DEMINDDSL,2045,0.01
REGION1,DEMINDDSL,2046,0.01
REGION1,DEMINDDSL,2047,0.01
REGION1,DEMINDDSL,2048,0.01
REGION1,DEMINDDSL,2049,0.01
REGION1,DEMINDDSL,2050,0.01
REGION1,DEMINDELCB02,2021,0.01
REGION1,DEMINDELCB02,2022,0.01
REGION1,DEMINDELCB02,2023,0.01
REGION1,DEMINDELCB02,2024,0.01
REGION1,DEMINDELCB02,2025,0.01
REGION1,DEMINDELCB02,2026,0.01
REGION1,DEMINDELCB02,2027,0.01
REGION1,DEMINDELCB02,2028,0.01
REGION1,DEMINDELCB02,2029,0.01
REGION1,DEMINDELCB02,2030,0.01
REGION1,DEMINDELCB02,2031,0.01
REGION1,DEMINDELCB02,2032,0.01
REGION1,DEMINDELCB02,2033,0.01
REGION1,DEMINDELCB02,2034,0.01
REGION1,DEMINDELCB02,2035,0.01
REGION1,DEMINDELCB02,2036,0.01
REGION1,DEMINDELCB02,2037,0.01
REGION1,DEMINDELCB02,2038,0.01
REGION1,DEMINDELCB02,2039,0.01
REGION1,DEMINDELCB02,2040,0.01
REGION1,DEMINDELCB02,2041,0.01
REGION1,DEMINDELCB02,2042,0.01
REGION1,DEMINDELCB02,2043,0.01
REGION1,DEMINDELCB02,2044,0.01
REGION1,DEMINDELCB02,2045,0.01
REGION1,DEMINDELCB02,2046,0.01
REGION1,DEMINDELCB02,2047,0.01
REGION1,DEMINDELCB02,2048,0.01
REGION1,DEMINDELCB02,2049,0.01
REGION1,DEMINDELCB02,2050,0.01
REGION1,DEMINDNGS,2021,0.01
REGION1,DEMINDNGS,2022,0.01
REGION1,DEMINDNGS,2023,0.01
REGION1,DEMINDNGS,2024,0.01
REGION1,DEMINDNGS,2025,0.01
REGION1,DEMINDNGS,2026,0.01
REGION1,DEMINDNGS,2027,0.01
REGION1,DEMINDNGS,2028,0.01
REGION1,DEMINDNGS,2029,0.01
REGION1,DEMINDNGS,2030,0.01
REGION1,DEMINDNGS,2031,0.01
REGION1,DEMINDNGS,2032,0.01
REGION1,DEMINDNGS,2033,0.01
REGION1,DEMINDNGS,2034,0.01
REGION1,DEMINDNGS,2035,0.01
REGION1,DEMINDNGS,2036,0.01
REGION1,DEMINDNGS,2037,0.01
REGION1,DEMINDNGS,2038,0.01
REGION1,DEMINDNGS,2039,0.01
REGION1,DEMINDNGS,2040,0.01
REGION1,DEMINDNGS,2041,0.01
REGION1,DEMINDNGS,2042,0.01
REGION1,DEMINDNGS,2043,0.01
REGION1,DEMINDNGS,2044,0.01
REGION1,DEMINDNGS,2045,0.01
REGION1,DEMINDNGS,2046,0.01
REGION1,DEMINDNGS,2047,0.01
REGION1,DEMINDNGS,2048,0.01
REGION1,DEMINDNGS,2049,0.01
REGION1,DEMINDNGS,2050,0.01
REGION1,DEMPUBGWTBC1,2021,0.01
REGION1,DEMPUBGWTBC1,2022,0.01
REGION1,DEMPUBGWTBC1,2023,0.01
REGION1,DEMPUBGWTBC1,2024,0.01
REGION1,DEMPUBGWTBC1,2025,0.01
REGION1,DEMPUBGWTBC1,2026,0.01
REGION1,DEMPUBGWTBC1,2027,0.01
REGION1,DEMPUBGWTBC1,2028,0.01
REGION1,DEMPUBGWTBC1,2029,0.01
REGION1,DEMPUBGWTBC1,2030,0.01
REGION1,DEMPUBGWTBC1,2031,0.01
REGION1,DEMPUBGWTBC1,2032,0.01
REGION1,DEMPUBGWTBC1,2033,0.01
REGION1,DEMPUBGWTBC1,2034,0.01
REGION1,DEMPUBGWTBC1,2035,0.01
REGION1,DEMPUBGWTBC1,2036,0.01
REGION1,DEMPUBGWTBC1,2037,0.01
REGION1,DEMPUBGWTBC1,2038,0.01
REGION1,DEMPUBGWTBC1,2039,0.01
REGION1,DEMPUBGWTBC1,2040,0.01
REGION1,DEMPUBGWTBC1,2041,0.01
REGION1,DEMPUBGWTBC1,2042,0.01
REGION1,DEMPUBGWTBC1,2043,0.01
REGION1,DEMPUBGWTBC1,2044,0.01
REGION1,DEMPUBGWTBC1,2045,0.01
REGION1,DEMPUBGWTBC1,2046,0.01
REGION1,DEMPUBGWTBC1,2047,0.01
REGION1,DEMPUBGWTBC1,2048,0.01
REGION1,DEMPUBGWTBC1,2049,0.01
REGION1,DEMPUBGWTBC1,2050,0.01
REGION1,DEMPUBSURBC1,2021,0.01
REGION1,DEMPUBSURBC1,2022,0.01
REGION1,DEMPUBSURBC1,2023,0.01
REGION1,DEMPUBSURBC1,2024,0.01
REGION1,DEMPUBSURBC1,2025,0.01
REGION1,DEMPUBSURBC1,2026,0.01
REGION1,DEMPUBSURBC1,2027,0.01
REGION1,DEMPUBSURBC1,2028,0.01
REGION1,DEMPUBSURBC1,2029,0.01
REGION1,DEMPUBSURBC1,2030,0.01
REGION1,DEMPUBSURBC1,2031,0.01
REGION1,DEMPUBSURBC1,2032,0.01
REGION1,DEMPUBSURBC1,2033,0.01
REGION1,DEMPUBSURBC1,2034,0.01
REGION1,DEMPUBSURBC1,2035,0.01
REGION1,DEMPUBSURBC1,2036,0.01
REGION1,DEMPUBSURBC1,2037,0.01
REGION1,DEMPUBSURBC1,2038,0.01
REGION1,DEMPUBSURBC1,2039,0.01
REGION1,DEMPUBSURBC1,2040,0.01
REGION1,DEMPUBSURBC1,2041,0.01
REGION1,DEMPUBSURBC1,2042,0.01
REGION1,DEMPUBSURBC1,2043,0.01
REGION1,DEMPUBSURBC1,2044,0.01
REGION1,DEMPUBSURBC1,2045,0.01
REGION1,DEMPUBSURBC1,2046,0.01
REGION1,DEMPUBSURBC1,2047,0.01
REGION1,DEMPUBSURBC1,2048,0.01
REGION1,DEMPUBSURBC1,2049,0.01
REGION1,DEMPUBSURBC1,2050,0.01
REGION1,DEMPWRBIO,2021,0.01
REGION1,DEMPWRBIO,2022,0.01
REGION1,DEMPWRBIO,2023,0.01
REGION1,DEMPWRBIO,2024,0.01
REGION1,DEMPWRBIO,2025,0.01
REGION1,DEMPWRBIO,2026,0.01
REGION1,DEMPWRBIO,2027,0.01
REGION1,DEMPWRBIO,2028,0.01
REGION1,DEMPWRBIO,2029,0.01
REGION1,DEMPWRBIO,2030,0.01
REGION1,DEMPWRBIO,2031,0.01
REGION1,DEMPWRBIO,2032,0.01
REGION1,DEMPWRBIO,2033,0.01
REGION1,DEMPWRBIO,2034,0.01
REGION1,DEMPWRBIO,2035,0.01
REGION1,DEMPWRBIO,2036,0.01
REGION1,DEMPWRBIO,2037,0.01
REGION1,DEMPWRBIO,2038,0.01
REGION1,DEMPWRBIO,2039,0.01
REGION1,DEMPWRBIO,2040,0.01
REGION1,DEMPWRBIO,2041,0.01
REGION1,DEMPWRBIO,2042,0.01
REGION1,DEMPWRBIO,2043,0.01
REGION1,DEMPWRBIO,2044,0.01
REGION1,DEMPWRBIO,2045,0.01
REGION1,DEMPWRBIO,2046,0.01
REGION1,DEMPWRBIO,2047,0.01
REGION1,DEMPWRBIO,2048,0.01
REGION1,DEMPWRBIO,2049,0.01
REGION1,DEMPWRBIO,2050,0.01
REGION1,DEMPWRHYD,2021,0.01
REGION1,DEMPWRHYD,2022,0.01
REGION1,DEMPWRHYD,2023,0.01
REGION1,DEMPWRHYD,2024,0.01
REGION1,DEMPWRHYD,2025,0.01
REGION1,DEMPWRHYD,2026,0.01
REGION1,DEMPWRHYD,2027,0.01
REGION1,DEMPWRHYD,2028,0.01
REGION1,DEMPWRHYD,2029,0.01
REGION1,DEMPWRHYD,2030,0.01
REGION1,DEMPWRHYD,2031,0.01
REGION1,DEMPWRHYD,2032,0.01
REGION1,DEMPWRHYD,2033,0.01
REGION1,DEMPWRHYD,2034,0.01
REGION1,DEMPWRHYD,2035,0.01
REGION1,DEMPWRHYD,2036,0.01
REGION1,DEMPWRHYD,2037,0.01
REGION1,DEMPWRHYD,2038,0.01
REGION1,DEMPWRHYD,2039,0.01
REGION1,DEMPWRHYD,2040,0.01
REGION1,DEMPWRHYD,2041,0.01
REGION1,DEMPWRHYD,2042,0.01
REGION1,DEMPWRHYD,2043,0.01
REGION1,DEMPWRHYD,2044,0.01
REGION1,DEMPWRHYD,2045,0.01
REGION1,DEMPWRHYD,2046,0.01
REGION1,DEMPWRHYD,2047,0.01
REGION1,DEMPWRHYD,2048,0.01
REGION1,DEMPWRHYD,2049,0.01
REGION1,DEMPWRHYD,2050,0.01
REGION1,DEMPWRNGS,2021,0.01
REGION1,DEMPWRNGS,2022,0.01
REGION1,DEMPWRNGS,2023,0.01
REGION1,DEMPWRNGS,2024,0.01
REGION1,DEMPWRNGS,2025,0.01
REGION1,DEMPWRNGS,2026,0.01
REGION1,DEMPWRNGS,2027,0.01
REGION1,DEMPWRNGS,2028,0.01
REGION1,DEMPWRNGS,2029,0.01
REGION1,DEMPWRNGS,2030,0.01
