REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRSOLB03,2031,2.5424415086023138
REGION1,PWRSOLB03,2032,2.5424415086023138
REGION1,PWRSOLB03,2033,2.5424415086023138
REGION1,PWRSOLB03,2034,2.5424415086023138
REGION1,PWRSOLB03,2035,2.5424415086023138
REGION1,PWRSOLB03,2036,2.5424415086023138
REGION1,PWRSOLB03,2037,2.5424415086023138
REGION1,PWRSOLB03,2038,2.5424415086023138
REGION1,PWRSOLB03,2039,2.5424415086023138
REGION1,PWRSOLB03,2040,2.5424415086023138
REGION1,PWRSOLB03,2041,2.5424415086023138
REGION1,PWRSOLB03,2042,2.5424415086023138
REGION1,PWRSOLB03,2043,2.5424415086023138
REGION1,PWRSOLB03,2044,2.5424415086023138
REGION1,PWRSOLB03,2045,2.5424415086023138
REGION1,PWRSOLB03,2046,2.5424415086023138
REGION1,PWRSOLB03,2047,2.5424415086023138
REGION1,PWRSOLB03,2048,2.5424415086023138
REGION1,PWRSOLB03,2049,2.5424415086023138
REGION1,PWRSOLB03,2050,2.5424415086023138
REGION1,PWRSOLB04,2031,0.818628590723552
REGION1,PWRSOLB04,2032,0.818628590723552
REGION1,PWRSOLB04,2033,0.818628590723552
REGION1,PWRSOLB04,2034,0.818628590723552
REGION1,PWRSOLB04,2035,0.818628590723552
REGION1,PWRSOLB04,2036,0.818628590723552
REGION1,PWRSOLB04,2037,0.818628590723552
REGION1,PWRSOLB04,2038,0.818628590723552
REGION1,PWRSOLB04,2039,0.818628590723552
REGION1,PWRSOLB04,2040,0.818628590723552
REGION1,PWRSOLB04,2041,0.818628590723552
REGION1,PWRSOLB04,2042,0.818628590723552
REGION1,PWRSOLB04,2043,0.818628590723552
REGION1,PWRSOLB04,2044,0.818628590723552
REGION1,PWRSOLB04,2045,0.818628590723552
REGION1,PWRSOLB04,2046,0.818628590723552
REGION1,PWRSOLB04,2047,0.818628590723552
REGION1,PWRSOLB04,2048,0.818628590723552
REGION1,PWRSOLB04,2049,0.818628590723552
REGION1,PWRSOLB04,2050,0.818628590723552
REGION1,PWRSOLB05,2031,0.5088347024614553
REGION1,PWRSOLB05,2032,0.5088347024614553
REGION1,PWRSOLB05,2033,0.5088347024614553
REGION1,PWRSOLB05,2034,0.5088347024614553
REGION1,PWRSOLB05,2035,0.5088347024614553
REGION1,PWRSOLB05,2036,0.5088347024614553
REGION1,PWRSOLB05,2037,0.5088347024614553
REGION1,PWRSOLB05,2038,0.5088347024614553
REGION1,PWRSOLB05,2039,0.5088347024614553
REGION1,PWRSOLB05,2040,0.5088347024614553
REGION1,PWRSOLB05,2041,0.5088347024614553
REGION1,PWRSOLB05,2042,0.5088347024614553
REGION1,PWRSOLB05,2043,0.5088347024614553
REGION1,PWRSOLB05,2044,0.5088347024614553
REGION1,PWRSOLB05,2045,0.5088347024614553
REGION1,PWRSOLB05,2046,0.5088347024614553
REGION1,PWRSOLB05,2047,0.5088347024614553
REGION1,PWRSOLB05,2048,0.5088347024614553
REGION1,PWRSOLB05,2049,0.5088347024614553
REGION1,PWRSOLB05,2050,0.5088347024614553
REGION1,PWRSOLB06,2031,1.5721971121991396
REGION1,PWRSOLB06,2032,1.5721971121991396
REGION1,PWRSOLB06,2033,1.5721971121991396
REGION1,PWRSOLB06,2034,1.5721971121991396
REGION1,PWRSOLB06,2035,1.5721971121991396
REGION1,PWRSOLB06,2036,1.5721971121991396
REGION1,PWRSOLB06,2037,1.5721971121991396
REGION1,PWRSOLB06,2038,1.5721971121991396
REGION1,PWRSOLB06,2039,1.5721971121991396
REGION1,PWRSOLB06,2040,1.5721971121991396
REGION1,PWRSOLB06,2041,1.5721971121991396
REGION1,PWRSOLB06,2042,1.5721971121991396
REGION1,PWRSOLB06,2043,1.5721971121991396
REGION1,PWRSOLB06,2044,1.5721971121991396
REGION1,PWRSOLB06,2045,1.5721971121991396
REGION1,PWRSOLB06,2046,1.5721971121991396
REGION1,PWRSOLB06,2047,1.5721971121991396
REGION1,PWRSOLB06,2048,1.5721971121991396
REGION1,PWRSOLB06,2049,1.5721971121991396
REGION1,PWRSOLB06,2050,1.5721971121991396
REGION1,PWRSOLB07,2031,1.246208714771974
REGION1,PWRSOLB07,2032,1.246208714771974
REGION1,PWRSOLB07,2033,1.246208714771974
REGION1,PWRSOLB07,2034,1.246208714771974
REGION1,PWRSOLB07,2035,1.246208714771974
REGION1,PWRSOLB07,2036,1.246208714771974
REGION1,PWRSOLB07,2037,1.246208714771974
REGION1,PWRSOLB07,2038,1.246208714771974
REGION1,PWRSOLB07,2039,1.246208714771974
REGION1,PWRSOLB07,2040,1.246208714771974
REGION1,PWRSOLB07,2041,1.246208714771974
REGION1,PWRSOLB07,2042,1.246208714771974
REGION1,PWRSOLB07,2043,1.246208714771974
REGION1,PWRSOLB07,2044,1.246208714771974
REGION1,PWRSOLB07,2045,1.246208714771974
REGION1,PWRSOLB07,2046,1.246208714771974
REGION1,PWRSOLB07,2047,1.246208714771974
REGION1,PWRSOLB07,2048,1.246208714771974
REGION1,PWRSOLB07,2049,1.246208714771974
REGION1,PWRSOLB07,2050,1.246208714771974
REGION1,PWRSOLB08,2031,0.6493399097824525
REGION1,PWRSOLB08,2032,0.6493399097824525
REGION1,PWRSOLB08,2033,0.6493399097824525
REGION1,PWRSOLB08,2034,0.6493399097824525
REGION1,PWRSOLB08,2035,0.6493399097824525
REGION1,PWRSOLB08,2036,0.6493399097824525
REGION1,PWRSOLB08,2037,0.6493399097824525
REGION1,PWRSOLB08,2038,0.6493399097824525
REGION1,PWRSOLB08,2039,0.6493399097824525
REGION1,PWRSOLB08,2040,0.6493399097824525
REGION1,PWRSOLB08,2041,0.6493399097824525
REGION1,PWRSOLB08,2042,0.6493399097824525
REGION1,PWRSOLB08,2043,0.6493399097824525
REGION1,PWRSOLB08,2044,0.6493399097824525
REGION1,PWRSOLB08,2045,0.6493399097824525
REGION1,PWRSOLB08,2046,0.6493399097824525
REGION1,PWRSOLB08,2047,0.6493399097824525
REGION1,PWRSOLB08,2048,0.6493399097824525
REGION1,PWRSOLB08,2049,0.6493399097824525
REGION1,PWRSOLB08,2050,0.6493399097824525
REGION1,PWRSOLB09,2031,0.8551635306301747
REGION1,PWRSOLB09,2032,0.8551635306301747
REGION1,PWRSOLB09,2033,0.8551635306301747
REGION1,PWRSOLB09,2034,0.8551635306301747
REGION1,PWRSOLB09,2035,0.8551635306301747
REGION1,PWRSOLB09,2036,0.8551635306301747
REGION1,PWRSOLB09,2037,0.8551635306301747
REGION1,PWRSOLB09,2038,0.8551635306301747
REGION1,PWRSOLB09,2039,0.8551635306301747
REGION1,PWRSOLB09,2040,0.8551635306301747
REGION1,PWRSOLB09,2041,0.8551635306301747
REGION1,PWRSOLB09,2042,0.8551635306301747
REGION1,PWRSOLB09,2043,0.8551635306301747
REGION1,PWRSOLB09,2044,0.8551635306301747
REGION1,PWRSOLB09,2045,0.8551635306301747
REGION1,PWRSOLB09,2046,0.8551635306301747
REGION1,PWRSOLB09,2047,0.8551635306301747
REGION1,PWRSOLB09,2048,0.8551635306301747
REGION1,PWRSOLB09,2049,0.8551635306301747
REGION1,PWRSOLB09,2050,0.8551635306301747
