REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRURNB01,2021,0
REGION1,PWRURNB01,2022,0
REGION1,PWRURNB01,2023,0
REGION1,PWRURNB01,2024,0
REGION1,PWRURNB01,2025,0
REGION1,PWRURNB01,2026,0
REGION1,PWRURNB01,2027,0
REGION1,PWRURNB01,2028,0
REGION1,PWRURNB01,2029,0
REGION1,PWRURNB01,2030,0
REGION1,PWRURNB01,2031,0
REGION1,PWRURNB01,2032,0
REGION1,PWRURNB01,2033,0
REGION1,PWRURNB01,2034,0
REGION1,PWRURNB01,2035,0
REGION1,PWRURNB01,2036,0
REGION1,PWRURNB01,2037,0
REGION1,PWRURNB01,2038,0
REGION1,PWRURNB01,2039,0
REGION1,PWRURNB01,2040,0
REGION1,PWRURNB01,2041,0
REGION1,PWRURNB01,2042,0
REGION1,PWRURNB01,2043,0
REGION1,PWRURNB01,2044,0
REGION1,PWRURNB01,2045,0
REGION1,PWRURNB01,2046,0
REGION1,PWRURNB01,2047,0
REGION1,PWRURNB01,2048,0
REGION1,PWRURNB01,2049,0
REGION1,PWRURNB01,2050,0
REGION1,PWRHYDB01,2021,0
REGION1,PWRHYDB01,2022,0
REGION1,PWRHYDB01,2023,0
REGION1,PWRHYDB01,2024,0
REGION1,PWRHYDB01,2025,0
REGION1,PWRHYDB01,2026,0
REGION1,PWRHYDB01,2027,0
REGION1,PWRHYDB01,2028,0
REGION1,PWRHYDB01,2029,0
REGION1,PWRHYDB01,2030,0
REGION1,PWRHYDB01,2031,0
REGION1,PWRHYDB01,2032,0
REGION1,PWRHYDB01,2033,0
REGION1,PWRHYDB01,2034,0
REGION1,PWRHYDB01,2035,0
REGION1,PWRHYDB01,2036,0
REGION1,PWRHYDB01,2037,0
REGION1,PWRHYDB01,2038,0
REGION1,PWRHYDB01,2039,0
REGION1,PWRHYDB01,2040,0
REGION1,PWRHYDB01,2041,0
REGION1,PWRHYDB01,2042,0
REGION1,PWRHYDB01,2043,0
REGION1,PWRHYDB01,2044,0
REGION1,PWRHYDB01,2045,0
REGION1,PWRHYDB01,2046,0
REGION1,PWRHYDB01,2047,0
REGION1,PWRHYDB01,2048,0
REGION1,PWRHYDB01,2049,0
REGION1,PWRHYDB01,2050,0
REGION1,PWRHYDB02,2021,0
REGION1,PWRHYDB02,2022,0
REGION1,PWRHYDB02,2023,0
REGION1,PWRHYDB02,2024,0
REGION1,PWRHYDB02,2025,0
REGION1,PWRHYDB02,2026,0
REGION1,PWRHYDB02,2027,0
REGION1,PWRHYDB02,2028,0
REGION1,PWRHYDB02,2029,0
REGION1,PWRHYDB02,2030,0
REGION1,PWRHYDB02,2031,0
REGION1,PWRHYDB02,2032,0
REGION1,PWRHYDB02,2033,0
REGION1,PWRHYDB02,2034,0
REGION1,PWRHYDB02,2035,0
REGION1,PWRHYDB02,2036,0
REGION1,PWRHYDB02,2037,0
REGION1,PWRHYDB02,2038,0
REGION1,PWRHYDB02,2039,0
REGION1,PWRHYDB02,2040,0
REGION1,PWRHYDB02,2041,0
REGION1,PWRHYDB02,2042,0
REGION1,PWRHYDB02,2043,0
REGION1,PWRHYDB02,2044,0
REGION1,PWRHYDB02,2045,0
REGION1,PWRHYDB02,2046,0
REGION1,PWRHYDB02,2047,0
REGION1,PWRHYDB02,2048,0
REGION1,PWRHYDB02,2049,0
REGION1,PWRHYDB02,2050,0
REGION1,PWRNGSB01,2021,0
REGION1,PWRNGSB01,2022,0
REGION1,PWRNGSB01,2023,0
REGION1,PWRNGSB01,2024,0
REGION1,PWRNGSB01,2025,0
REGION1,PWRNGSB01,2026,0
REGION1,PWRNGSB01,2027,0
REGION1,PWRNGSB01,2028,0
REGION1,PWRNGSB01,2029,0
REGION1,PWRNGSB01,2030,0
REGION1,PWRNGSB01,2031,0
REGION1,PWRNGSB01,2032,0
REGION1,PWRNGSB01,2033,0
REGION1,PWRNGSB01,2034,0
REGION1,PWRNGSB01,2035,0
REGION1,PWRNGSB01,2036,0
REGION1,PWRNGSB01,2037,0
REGION1,PWRNGSB01,2038,0
REGION1,PWRNGSB01,2039,0
REGION1,PWRNGSB01,2040,0
REGION1,PWRNGSB01,2041,0
REGION1,PWRNGSB01,2042,0
REGION1,PWRNGSB01,2043,0
REGION1,PWRNGSB01,2044,0
REGION1,PWRNGSB01,2045,0
REGION1,PWRNGSB01,2046,0
REGION1,PWRNGSB01,2047,0
REGION1,PWRNGSB01,2048,0
REGION1,PWRNGSB01,2049,0
REGION1,PWRNGSB01,2050,0
REGION1,PWRNGSB02,2021,0
REGION1,PWRNGSB02,2022,0
REGION1,PWRNGSB02,2023,0
REGION1,PWRNGSB02,2024,0
REGION1,PWRNGSB02,2025,0
REGION1,PWRNGSB02,2026,0
REGION1,PWRNGSB02,2027,0
REGION1,PWRNGSB02,2028,0
REGION1,PWRNGSB02,2029,0
REGION1,PWRNGSB02,2030,0
REGION1,PWRNGSB02,2031,0
REGION1,PWRNGSB02,2032,0
REGION1,PWRNGSB02,2033,0
REGION1,PWRNGSB02,2034,0
REGION1,PWRNGSB02,2035,0
REGION1,PWRNGSB02,2036,0
REGION1,PWRNGSB02,2037,0
REGION1,PWRNGSB02,2038,0
REGION1,PWRNGSB02,2039,0
REGION1,PWRNGSB02,2040,0
REGION1,PWRNGSB02,2041,0
REGION1,PWRNGSB02,2042,0
REGION1,PWRNGSB02,2043,0
REGION1,PWRNGSB02,2044,0
REGION1,PWRNGSB02,2045,0
REGION1,PWRNGSB02,2046,0
REGION1,PWRNGSB02,2047,0
REGION1,PWRNGSB02,2048,0
REGION1,PWRNGSB02,2049,0
REGION1,PWRNGSB02,2050,0
REGION1,PWRBIOB01,2021,0
REGION1,PWRBIOB01,2022,0
