REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,COMELCB02,1,2021,0.00010870789527381286
REGION1,COMELCB02,2,2021,0.00010541807208791519
REGION1,COMELCB02,3,2021,0.00010263928939691425
REGION1,COMELCB02,4,2021,0.00010118601798955168
REGION1,COMELCB02,5,2021,0.00010117004797408615
REGION1,COMELCB02,6,2021,0.0001031662999072765
REGION1,COMELCB02,7,2021,0.00010637627301584656
REGION1,COMELCB02,8,2021,0.00011030489682036513
REGION1,COMELCB02,9,2021,0.00011329128971241787
REGION1,COMELCB02,10,2021,0.0001159902223260912
REGION1,COMELCB02,11,2021,0.00011720394350147093
REGION1,COMELCB02,12,2021,0.00011819408446033333
REGION1,COMELCB02,13,2021,0.0001182419945067299
REGION1,COMELCB02,14,2021,0.0001168366331457639
REGION1,COMELCB02,15,2021,0.00011701230331588465
REGION1,COMELCB02,16,2021,0.00012033406653271337
REGION1,COMELCB02,17,2021,0.00012970846561097518
REGION1,COMELCB02,18,2021,0.00013461126035889065
REGION1,COMELCB02,19,2021,0.00013283858864221763
REGION1,COMELCB02,20,2021,0.0001298042857037683
REGION1,COMELCB02,21,2021,0.00012783997380150903
REGION1,COMELCB02,22,2021,0.0001227615088834728
REGION1,COMELCB02,23,2021,0.00011706021336228122
REGION1,COMELCB02,24,2021,0.00011161443808853799
REGION1,COMELCB02,25,2021,0.00010778163437681255
REGION1,COMELCB02,26,2021,0.00010596105261374296
REGION1,COMELCB02,27,2021,0.00010551389218070833
REGION1,COMELCB02,28,2021,0.00010567359233536355
REGION1,COMELCB02,29,2021,0.00010758999419122627
REGION1,COMELCB02,30,2021,0.00011241293886181412
REGION1,COMELCB02,31,2021,0.00012089301707400666
REGION1,COMELCB02,32,2021,0.0001304909963687858
REGION1,COMELCB02,33,2021,0.00013574513145694277
REGION1,COMELCB02,34,2021,0.00013812466376130562
REGION1,COMELCB02,35,2021,0.0001396418152305303
REGION1,COMELCB02,36,2021,0.00013997718555530626
REGION1,COMELCB02,37,2021,0.00014079165634404793
REGION1,COMELCB02,38,2021,0.0001409832965296342
REGION1,COMELCB02,39,2021,0.0001419734374884966
REGION1,COMELCB02,40,2021,0.0001438738693288938
REGION1,COMELCB02,41,2021,0.00015120410642756871
REGION1,COMELCB02,42,2021,0.00015545213054139775
REGION1,COMELCB02,43,2021,0.000153168418329828
REGION1,COMELCB02,44,2021,0.00014962307489648196
REGION1,COMELCB02,45,2021,0.00014481610024135962
REGION1,COMELCB02,46,2021,0.00013913077473563356
REGION1,COMELCB02,47,2021,0.00013111382697194118
REGION1,COMELCB02,48,2021,0.00012335239945569717
REGION1,COMELCB02,49,2021,0.00011736364365612615
REGION1,COMELCB02,50,2021,0.00011440919079500445
REGION1,COMELCB02,51,2021,0.00011276427920205562
REGION1,COMELCB02,52,2021,0.00011194980841331396
REGION1,COMELCB02,53,2021,0.0001136586000681249
REGION1,COMELCB02,54,2021,0.00011801841429021258
REGION1,COMELCB02,55,2021,0.00012526880131155988
REGION1,COMELCB02,56,2021,0.00013448350023516646
REGION1,COMELCB02,57,2021,0.00013812466376130562
REGION1,COMELCB02,58,2021,0.00013917868478203013
REGION1,COMELCB02,59,2021,0.00013906689467377148
