local_time,province,daily_hour_ending,annual_hour_ending,demand_MWh
2020-01-01 00:00:00,BC,1,1,6807
2020-01-01 01:00:00,BC,2,2,6601
2020-01-01 02:00:00,BC,3,3,6427
2020-01-01 03:00:00,BC,4,4,6336
2020-01-01 04:00:00,BC,5,5,6335
2020-01-01 05:00:00,BC,6,6,6460
2020-01-01 06:00:00,BC,7,7,6661
2020-01-01 07:00:00,BC,8,8,6907
2020-01-01 08:00:00,BC,9,9,7094
2020-01-01 09:00:00,BC,10,10,7263
2020-01-01 10:00:00,BC,11,11,7339
2020-01-01 11:00:00,BC,12,12,7401
2020-01-01 12:00:00,BC,13,13,7404
2020-01-01 13:00:00,BC,14,14,7316
2020-01-01 14:00:00,BC,15,15,7327
2020-01-01 15:00:00,BC,16,16,7535
2020-01-01 16:00:00,BC,17,17,8122
2020-01-01 17:00:00,BC,18,18,8429
2020-01-01 18:00:00,BC,19,19,8318
2020-01-01 19:00:00,BC,20,20,8128
2020-01-01 20:00:00,BC,21,21,8005
2020-01-01 21:00:00,BC,22,22,7687
2020-01-01 22:00:00,BC,23,23,7330
2020-01-01 23:00:00,BC,24,24,6989
2020-01-02 00:00:00,BC,1,25,6749
2020-01-02 01:00:00,BC,2,26,6635
2020-01-02 02:00:00,BC,3,27,6607
2020-01-02 03:00:00,BC,4,28,6617
2020-01-02 04:00:00,BC,5,29,6737
2020-01-02 05:00:00,BC,6,30,7039
2020-01-02 06:00:00,BC,7,31,7570
2020-01-02 07:00:00,BC,8,32,8171
2020-01-02 08:00:00,BC,9,33,8500
2020-01-02 09:00:00,BC,10,34,8649
2020-01-02 10:00:00,BC,11,35,8744
2020-01-02 11:00:00,BC,12,36,8765
2020-01-02 12:00:00,BC,13,37,8816
2020-01-02 13:00:00,BC,14,38,8828
2020-01-02 14:00:00,BC,15,39,8890
2020-01-02 15:00:00,BC,16,40,9009
2020-01-02 16:00:00,BC,17,41,9468
2020-01-02 17:00:00,BC,18,42,9734
2020-01-02 18:00:00,BC,19,43,9591
2020-01-02 19:00:00,BC,20,44,9369
2020-01-02 20:00:00,BC,21,45,9068
2020-01-02 21:00:00,BC,22,46,8712
2020-01-02 22:00:00,BC,23,47,8210
2020-01-02 23:00:00,BC,24,48,7724
2020-01-03 00:00:00,BC,1,49,7349
2020-01-03 01:00:00,BC,2,50,7164
2020-01-03 02:00:00,BC,3,51,7061
2020-01-03 03:00:00,BC,4,52,7010
2020-01-03 04:00:00,BC,5,53,7117
2020-01-03 05:00:00,BC,6,54,7390
2020-01-03 06:00:00,BC,7,55,7844
2020-01-03 07:00:00,BC,8,56,8421
2020-01-03 08:00:00,BC,9,57,8649
2020-01-03 09:00:00,BC,10,58,8715
2020-01-03 10:00:00,BC,11,59,8708
2020-01-03 11:00:00,BC,12,60,8714
2020-01-03 12:00:00,BC,13,61,8645
2020-01-03 13:00:00,BC,14,62,8600
2020-01-03 14:00:00,BC,15,63,8531
2020-01-03 15:00:00,BC,16,64,8620
2020-01-03 16:00:00,BC,17,65,9031
2020-01-03 17:00:00,BC,18,66,9162
2020-01-03 18:00:00,BC,19,67,8873
2020-01-03 19:00:00,BC,20,68,8559
2020-01-03 20:00:00,BC,21,69,8281
2020-01-03 21:00:00,BC,22,70,7975
2020-01-03 22:00:00,BC,23,71,7588
2020-01-03 23:00:00,BC,24,72,7145
2020-01-04 00:00:00,BC,1,73,6804
2020-01-04 01:00:00,BC,2,74,6646
2020-01-04 02:00:00,BC,3,75,6547
2020-01-04 03:00:00,BC,4,76,6537
2020-01-04 04:00:00,BC,5,77,6571
2020-01-04 05:00:00,BC,6,78,6746
2020-01-04 06:00:00,BC,7,79,7124
2020-01-04 07:00:00,BC,8,80,7478
2020-01-04 08:00:00,BC,9,81,7831
2020-01-04 09:00:00,BC,10,82,8105
2020-01-04 10:00:00,BC,11,83,8184
2020-01-04 11:00:00,BC,12,84,8175
2020-01-04 12:00:00,BC,13,85,8174
2020-01-04 13:00:00,BC,14,86,8146
2020-01-04 14:00:00,BC,15,87,8198
2020-01-04 15:00:00,BC,16,88,8359
2020-01-04 16:00:00,BC,17,89,8823
2020-01-04 17:00:00,BC,18,90,9063
2020-01-04 18:00:00,BC,19,91,8900
2020-01-04 19:00:00,BC,20,92,8669
2020-01-04 20:00:00,BC,21,93,8406
2020-01-04 21:00:00,BC,22,94,8138
2020-01-04 22:00:00,BC,23,95,7790
2020-01-04 23:00:00,BC,24,96,7404
2020-01-05 00:00:00,BC,1,97,7108
2020-01-05 01:00:00,BC,2,98,6944
2020-01-05 02:00:00,BC,3,99,6824
2020-01-05 03:00:00,BC,4,100,6838
2020-01-05 04:00:00,BC,5,101,6889
2020-01-05 05:00:00,BC,6,102,7014
2020-01-05 06:00:00,BC,7,103,7258
2020-01-05 07:00:00,BC,8,104,7620
2020-01-05 08:00:00,BC,9,105,7933
2020-01-05 09:00:00,BC,10,106,8263
2020-01-05 10:00:00,BC,11,107,8407
2020-01-05 11:00:00,BC,12,108,8480
2020-01-05 12:00:00,BC,13,109,8379
2020-01-05 13:00:00,BC,14,110,8323
2020-01-05 14:00:00,BC,15,111,8257
2020-01-05 15:00:00,BC,16,112,8370
2020-01-05 16:00:00,BC,17,113,8821
2020-01-05 17:00:00,BC,18,114,9250
2020-01-05 18:00:00,BC,19,115,9095
2020-01-05 19:00:00,BC,20,116,8880
2020-01-05 20:00:00,BC,21,117,8648
2020-01-05 21:00:00,BC,22,118,8334
2020-01-05 22:00:00,BC,23,119,7828
2020-01-05 23:00:00,BC,24,120,7388
2020-01-06 00:00:00,BC,1,121,7114
2020-01-06 01:00:00,BC,2,122,6976
2020-01-06 02:00:00,BC,3,123,6933
2020-01-06 03:00:00,BC,4,124,6964
2020-01-06 04:00:00,BC,5,125,7129
2020-01-06 05:00:00,BC,6,126,7547
2020-01-06 06:00:00,BC,7,127,8262
2020-01-06 07:00:00,BC,8,128,9035
2020-01-06 08:00:00,BC,9,129,9263
2020-01-06 09:00:00,BC,10,130,9277
2020-01-06 10:00:00,BC,11,131,9234
2020-01-06 11:00:00,BC,12,132,9204
2020-01-06 12:00:00,BC,13,133,9141
2020-01-06 13:00:00,BC,14,134,9070
2020-01-06 14:00:00,BC,15,135,9014
2020-01-06 15:00:00,BC,16,136,9107
2020-01-06 16:00:00,BC,17,137,9484
2020-01-06 17:00:00,BC,18,138,9694
2020-01-06 18:00:00,BC,19,139,9534
2020-01-06 19:00:00,BC,20,140,9255
2020-01-06 20:00:00,BC,21,141,8982
2020-01-06 21:00:00,BC,22,142,8631
2020-01-06 22:00:00,BC,23,143,8100
2020-01-06 23:00:00,BC,24,144,7620
2020-01-07 00:00:00,BC,1,145,7268
2020-01-07 01:00:00,BC,2,146,7168
2020-01-07 02:00:00,BC,3,147,7139
2020-01-07 03:00:00,BC,4,148,7179
2020-01-07 04:00:00,BC,5,149,7290
2020-01-07 05:00:00,BC,6,150,7664
2020-01-07 06:00:00,BC,7,151,8320
2020-01-07 07:00:00,BC,8,152,9018
2020-01-07 08:00:00,BC,9,153,9142
2020-01-07 09:00:00,BC,10,154,9049
2020-01-07 10:00:00,BC,11,155,8962
2020-01-07 11:00:00,BC,12,156,8917
2020-01-07 12:00:00,BC,13,157,8924
2020-01-07 13:00:00,BC,14,158,8872
2020-01-07 14:00:00,BC,15,159,8803
2020-01-07 15:00:00,BC,16,160,8824
2020-01-07 16:00:00,BC,17,161,9217
2020-01-07 17:00:00,BC,18,162,9484
2020-01-07 18:00:00,BC,19,163,9375
2020-01-07 19:00:00,BC,20,164,9135
2020-01-07 20:00:00,BC,21,165,8873
2020-01-07 21:00:00,BC,22,166,8510
2020-01-07 22:00:00,BC,23,167,8007
2020-01-07 23:00:00,BC,24,168,7542
2020-01-08 00:00:00,BC,1,169,7219
2020-01-08 01:00:00,BC,2,170,7094
2020-01-08 02:00:00,BC,3,171,7009
2020-01-08 03:00:00,BC,4,172,6970
2020-01-08 04:00:00,BC,5,173,7071
