year,Commercial,Industrial,Residential,Transportation
2021,53.0304,88.7166,65.7271,0.6745
2022,57.0489,93.6293,70.3926,1.0573
2023,59.409,100.6121,73.5743,2.2083
2024,61.1267,104.0188,75.4816,3.7484
2025,62.6915,108.4694,77.3636,5.6289
2026,64.455,112.2063,79.0952,8.2652
2027,66.3022,114.4129,80.7003,11.7715
2028,67.7968,118.71442,82.2062,15.6314
2029,69.1324,131.27163,83.5944,19.9379
2030,70.3282,142.12021,84.9324,24.2694
2031,71.7119,144.73536,86.6402,28.6825
2032,73.2436,146.5489,88.3526,33.2136
2033,74.5974,147.91712,89.9888,37.6417
2034,75.9797,149.02973,91.5734,42.15
2035,77.2908,149.92735,93.1047,46.2682
2036,78.562,150.90456,94.5779,51.3992
2037,79.8059,152.15016,96.0306,56.5965
2038,80.9757,153.32899,97.4628,61.7402
2039,82.074,154.77687,98.8735,66.8704
2040,83.1017,155.72607,100.2583,72.078
2041,84.0536,157.97048,101.6562,77.3564
2042,84.9773,160.17277,103.0566,82.4967
2043,85.9185,164.64841,104.4566,87.5216
2044,86.766,169.65375,105.8562,92.3897
2045,87.6248,175.26743,107.2743,97.1594
2046,88.5395,181.09205,108.699,101.7388
2047,89.466,187.36407,110.1458,106.0329
2048,90.44,194.10492,111.6231,110.1916
2049,91.4274,201.34067,113.1186,114.1212
2050,92.4581,209.00981,114.625,117.8749
