year,Commercial,Industrial,Residential,Transportation
2021,53.0304,88.7166,65.7271,0.6745
2022,57.0489,93.6293,70.3926,1.0573
2023,59.4487,96.2415,73.5718,2.2136
2024,61.1179,98.5104,75.4763,3.7543
2025,62.6249,101.968,77.3312,5.6145
2026,64.2947,104.6777,78.9975,8.1757
2027,65.9638,105.8357,80.4952,11.5302
2028,67.2653,109.11643,81.8582,15.184
2029,68.3707,112.77433,83.027,19.017
2030,69.2577,114.72507,84.0505,22.6104
2031,70.1738,116.65786,85.4254,26.414
2032,71.2059,118.29043,86.8709,30.4926
2033,72.1382,119.76582,88.3775,34.7578
2034,73.2545,120.62733,89.985,39.3275
2035,74.5366,121.17425,91.6479,43.698
2036,76.0348,121.82283,93.319,49.1403
2037,77.5685,122.7866,94.9677,54.6125
2038,79.0736,123.79648,96.5781,59.8856
2039,80.3986,125.20652,98.0882,64.9115
2040,81.5561,127.00011,99.4949,69.7422
2041,82.5204,129.13422,100.8463,74.4194
2042,83.2094,131.72742,102.1243,78.8062
2043,83.7803,134.83019,103.3582,83.028
2044,84.2104,138.46237,104.5663,87.1337
2045,84.6306,140.53341,105.7579,90.5315
2046,84.9857,142.87848,106.8911,93.4896
2047,85.3479,147.70175,108.0321,96.7728
2048,85.8126,153.45349,109.2646,100.3889
2049,86.4013,160.01996,110.6224,104.3281
2050,87.2605,166.69497,112.11,108.4676
