year,Commercial,Industrial,Residential,Transportation
2021,268.3638,1194.9636,303.6586,643.6082
2022,285.6038,1246.7916,313.7164,722.8444
2023,294.2324,1245.353,318.1216,743.247
2024,295.1696,1239.0474,316.148,741.0438
2025,297.3182,1305.4192,314.0598,740.5134
2026,300.0778,1369.6836,311.6472,734.841
2027,301.2674,1368.84883,309.0236,724.2102
2028,300.9972,1375.19702,306.2558,711.127
2029,301.1588,1421.0032,303.2984,701.8708
2030,301.1484,1473.24942,300.3948,692.416
2031,299.5722,1482.1039,299.0768,682.9216
2032,297.1752,1472.72814,297.8898,673.3568
2033,294.5404,1466.34418,296.5346,663.052
2034,292.11839999999995,1461.93307,295.1102,654.4044
2035,289.6868,1455.17478,293.6258,646.2816
2036,286.8676,1449.37132,292.1084,638.7486
2037,284.2796,1447.04316,290.6682,632.9328
2038,281.8588,1444.6392799999999,289.3038,627.8246
2039,279.5484,1443.73631,288.004,623.7886
2040,277.20759999999996,1436.89991,286.8038,621.309
2041,274.8094,1441.4893299999999,285.8078,619.8318
2042,272.53,1445.56365,284.9032,619.102
2043,270.625,1472.10708,284.1322,619.2402
2044,268.6656,1503.16934,283.49940000000004,620.222
2045,266.8422,1538.97041,283.05060000000003,622.2016
2046,265.4192,1578.64672,282.7648,625.133
2047,264.289,1623.93634,282.6916,628.8199999999999
2048,263.4314,1673.43944,282.8518,633.0546
2049,262.742,1727.01327,283.2234,637.8618
2050,262.4138,1785.92332,283.835,643.429
