year,Commercial,Industrial,Residential,Transportation
2021,268.3638,1194.9636,303.6586,643.6082
2022,285.6038,1246.7916,313.7164,722.8444
2023,294.3076,1277.56,318.4936,753.1728
2024,295.6604,1278.1268,317.987,755.7064
2025,298.8558,1339.162,317.5382,758.5121999999999
2026,302.9516,1406.9802,316.9966,758.0332
2027,305.723,1408.071,316.5196,753.4984
2028,306.841,1412.0274,316.0442,746.663
2029,308.7186,1486.575,315.46360000000004,743.9238
2030,310.6182,1564.8724,315.0276,741.5342
2031,311.594,1576.4728,317.0812,739.2052
2032,312.7008,1588.727,319.499,736.0292
2033,314.7346,1619.6346,321.9652,733.386
2034,317.0174,1641.0032,324.6478,732.577
2035,319.3044,1654.5784,327.3672,731.5388
2036,321.7278,1663.3644,330.0356,730.1286
2037,324.002,1667.8166,332.614,728.8008
2038,326.2866,1672.2098,335.0622,727.1104
2039,328.77459999999996,1678.829,337.32280000000003,725.7393999999999
2040,330.8456,1687.4712,339.5946,725.2362
2041,333.0088,1696.5834,342.024,725.388
2042,335.1454,1705.9564,344.5172,726.3218
2043,337.43039999999996,1715.9243999999999,347.1442,728.245
2044,339.777,1727.6776,349.8682,731.296
2045,342.3916,1741.1072,352.7754,735.6192000000001
2046,345.3494,1755.7524,355.83259999999996,741.1556
2047,348.6974,1770.4466,359.0644,747.766
2048,352.4722,1785.548,362.54,755.3022
2049,356.4166,1801.6558,366.1772,763.7536
2050,360.7778,1818.104,369.9962,772.8586
