,scenario,variable,year,value,region
230,Current Measures,Canada-US Exchange Rate (C$/US$),2005,1.21100,Canada
231,Current Measures,Canada-US Exchange Rate (C$/US$),2006,1.13400,Canada
232,Current Measures,Canada-US Exchange Rate (C$/US$),2007,1.07400,Canada
233,Current Measures,Canada-US Exchange Rate (C$/US$),2008,1.06700,Canada
234,Current Measures,Canada-US Exchange Rate (C$/US$),2009,1.14200,Canada
235,Current Measures,Canada-US Exchange Rate (C$/US$),2010,1.03000,Canada
236,Current Measures,Canada-US Exchange Rate (C$/US$),2011,0.98900,Canada
237,Current Measures,Canada-US Exchange Rate (C$/US$),2012,0.99900,Canada
238,Current Measures,Canada-US Exchange Rate (C$/US$),2013,1.03000,Canada
239,Current Measures,Canada-US Exchange Rate (C$/US$),2014,1.10500,Canada
240,Current Measures,Canada-US Exchange Rate (C$/US$),2015,1.27900,Canada
241,Current Measures,Canada-US Exchange Rate (C$/US$),2016,1.32600,Canada
242,Current Measures,Canada-US Exchange Rate (C$/US$),2017,1.29800,Canada
243,Current Measures,Canada-US Exchange Rate (C$/US$),2018,1.29600,Canada
244,Current Measures,Canada-US Exchange Rate (C$/US$),2019,1.32700,Canada
245,Current Measures,Canada-US Exchange Rate (C$/US$),2020,1.34100,Canada
246,Current Measures,Canada-US Exchange Rate (C$/US$),2021,1.25400,Canada
247,Current Measures,Canada-US Exchange Rate (C$/US$),2022,1.30200,Canada
248,Current Measures,Canada-US Exchange Rate (C$/US$),2023,1.34500,Canada
249,Current Measures,Canada-US Exchange Rate (C$/US$),2024,1.30500,Canada
250,Current Measures,Canada-US Exchange Rate (C$/US$),2025,1.29600,Canada
251,Current Measures,Canada-US Exchange Rate (C$/US$),2026,1.28600,Canada
252,Current Measures,Canada-US Exchange Rate (C$/US$),2027,1.28100,Canada
253,Current Measures,Canada-US Exchange Rate (C$/US$),2028,1.27700,Canada
254,Current Measures,Canada-US Exchange Rate (C$/US$),2029,1.27700,Canada
255,Current Measures,Canada-US Exchange Rate (C$/US$),2030,1.27300,Canada
256,Current Measures,Canada-US Exchange Rate (C$/US$),2031,1.26700,Canada
257,Current Measures,Canada-US Exchange Rate (C$/US$),2032,1.26300,Canada
258,Current Measures,Canada-US Exchange Rate (C$/US$),2033,1.26600,Canada
