province,unit,2020_MW,2021_MW,2022_MW,2023_MW,2024_MW,2025_MW,2026_MW,2027_MW,2028_MW,2029_MW,2030_MW,2031_MW,2032_MW,2033_MW,2034_MW,2035_MW,2036_MW,2037_MW,2038_MW,2039_MW,2040_MW,2041_MW,2042_MW,2043_MW,2044_MW,2045_MW,2046_MW,2047_MW,2048_MW,2049_MW,2050_MW,notes
Alberta,MW,11569,11771,11901,11961,12065,12154,12257,12373,12362,12413,12548,12622,12689,12633,12667,12666,12711,12766,12820,12832,12917,13014,13053,13093,13133,13174,13214,13254,13295,13336,13377,
British Columbia,MW,10403,10682,10881,11026,11124,11098,11180,11235,11269,11220,11290,11382,11473,11567,11665,11780,11895,12009,12125,12240,12360,12472,12586,12700,12816,12932,13050,13169,13289,13409,13531,
Manitoba,MW,4749,4727,4732,4760,4791,4816,4843,4865,4894,4924,4959,5023,5091,5156,5223,5293,5368,5450,5512,5575,5639,5703,5768,5834,5901,5968,6036,6105,6175,6246,6317,
New Brunswick,MW,3005,3118,3104,3107,3107,3091,3076,3061,3045,3028,3012,2992,2977,2963,2949,2934,2920,2906,2892,2878,2864,2850,2835,2821,2807,2793,2779,2765,2751,2737,2723,
Newfoundland and Labrador,MW,2085,2080,2092,2103,2113,2121,2131,2144,2153,2165,2177,2188,2199,2211,2222,2233,2245,2256,2268,2279,2291,2303,2315,2327,2338,2350,2363,2375,2387,2399,2411,
Nova Scotia,MW,2100,2121,2176,2222,2271,2301,2310,2322,2333,2338,2340,2346,2358,2373,2388,2407,2428,2449,2471,2494,2515,2532,2552,2570,2589,2607,2628,2649,2670,2692,2713,
Ontario,MW,24446,24080,22470,22720,23000,23350,23550,23720,23860,24110,24400,24620,24750,24910,25100,25340,25490,25630,25720,25830,25970,26132,26296,26460,26626,26792,26960,27129,27298,27469,27641,
Prince Edward Island,MW,294,304,312,321,329,337,345,353,361,368,374,383,393,403,413,424,434,445,457,468,480,492,505,517,530,544,557,572,586,601,616,
Québec,MW,38775,38775,39392,39790,40156,40498,40572,40909,41228,41550,41800,42122,42447,42774,43104,43436,43771,44109,44449,44791,45137,45485,45835,46189,46545,46904,47265,47630,47997,48367,48740,
Saskatachewan,MW,4050,4082,4119,4162,4207,4225,4275,4299,4343,4401,4457,4518,4557,4624,4684,4730,4780,4834,4888,4943,4998,5054,5111,5169,5227,5285,5345,5405,5465,5527,5589,
