name,node_code,node_type,intertie_type,owner,province,latitude,longitude,operating_region,sources,notes
IPT McNeill,PP_ABSK1_IPT,IPT,Interprovincial,AB-SK Border,SK,50.58938,-110.003956,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT Natal Coleman,PP_BCAB1_IPT,IPT,Interprovincial,BC-AB Border,BC,49.645447,-114.661781,British Columbia,"name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT Cranbrook Chapel Rock,PP_BCAB2_IPT,IPT,Interprovincial,BC-AB Border,BC,49.644752,-114.661874,British Columbia,"name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT Natal Pocaterra,PP_BCAB3_IPT,IPT,Interprovincial,BC-AB Border,BC,50.586797,-115.070473,British Columbia,"name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT Nelson Rainbow,PP_BCAB4_IPT,IPT,Interprovincial,BC-AB Border,BC,58.544391,-120.000014,British Columbia,"name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT Island Falls,PP_MBSK1_IPT,IPT,Interprovincial,MB-SK Border,SK,54.794729,-101.885937,Manitoba,"name:367, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT EB Campbell,PP_MBSK2_IPT,IPT,Interprovincial,MB-SK Border,SK,53.722668,-101.769565,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT Boundary Dam,PP_MBSK3_IPT,IPT,Interprovincial,MB-SK Border,SK,49.495283,-101.393102,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT Tantallon,PP_MBSK4_IPT,IPT,Interprovincial,MB-SK Border,SK,50.544463,-101.474715,Saskatachewan,"name:361, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT Yorkton,PP_MBSK5_IPT,IPT,Interprovincial,MB-SK Border,SK,51.202531,-101.538936,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPB Richmond Cove,PP_NBPE1_IPT,IPT,Interprovincial,MECL,PE,46.205069,-63.757451,Prince Edward Island,"name:414, node_code:None, node_type:None, owner:6, latitude:6, longitude:None, references:None, ",Midway across Northumberland Strait
IPT Onslow,PP_NSNB1_IPT,IPT,Interprovincial,NSPI,NS,45.897509,-64.227408,Nova Scotia,"name:273, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT Amherst,PP_NSNB2_IPT,IPT,Interprovincial,NSPI,NS,45.863828,-64.262927,Nova Scotia,"name:273, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT Church St,PP_NSNB3_IPT,IPT,Interprovincial,NSPI,NS,45.897509,-64.227408,Nova Scotia,"name:273, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT Woodbine,PP_NSNL1_IPT,IPT,Interprovincial,NSPI,NS,46.996524,-59.439958,Nova Scotia,"name:273, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",Midway across Cabot Strait
IPT  Seven Sisters,PP_ONMB1_IPT,IPT,Interprovincial,ON-MB Border,ON,49.908094,-95.152877,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT  Whiteshell,PP_ONMB2_IPT,IPT,Interprovincial,ON-MB Border,ON,49.7903,-95.152893,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT Beauharnois,PP_ONQC1_IPT,IPT,Interprovincial,ON-QC Border,QC,45.214221,-74.355813,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
IPT Outaouais,PP_ONQC2_IPT,IPT,Interprovincial,ON-QC Border,QC,45.52062,-75.422937,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
IPT Masson,PP_ONQC3_IPT,IPT,Interprovincial,ON-QC Border,QC,45.520622,-75.422753,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
IPT Chats Falls,PP_ONQC4_IPT,IPT,Interprovincial,ON-QC Border,QC,45.516922,-76.210374,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
IPT Chenaux,PP_ONQC5_IPT,IPT,Interprovincial,ON-QC Border,QC,45.631508,-76.682252,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
IPT Kipawa,PP_ONQC6_IPT,IPT,Interprovincial,ON-QC Border,QC,46.382367,-78.727303,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
IPT Dymond,PP_ONQC7_IPT,IPT,Interprovincial,ON-QC Border,QC,47.630404,-79.517572,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
IPT Montagnais,PP_QBNL1_IPT,IPT,Interprovincial,QB-NL Border,NL,52.10214,-65.693195,Labrador,"name:240, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
IPT Madawaska,PP_QCNB1_IPT,IPT,Interprovincial,QC-NB Border,QC,47.458768,-68.523122,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
IPT Matapédia,PP_QCNB2_IPT,IPT,Interprovincial,QC-NB Border,QC,47.992625,-66.851334,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
IPT Montagnais,PP_QCNL1_IPT,IPT,Interprovincial,QC-NL Border,QC,52.102162,-65.693168,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
INT Butte Montana,XX_ABUS1_INT,INT,International,AB-US Border,AB,48.998674,-112.209671,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Ingledow BPA,XX_BCUS1_INT,INT,International,BC-US Border,BC,49.002089,-122.723986,British Columbia,"name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Nelway BPA,XX_BCUS2_INT,INT,International,BC-US Border,BC,49.000239,-117.34234,British Columbia,"name:199, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Drayton,XX_MBUS1_INT,INT,International,MB-USA Border,MB,48.999732,-97.277868,Manitoba,"name:219, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Forbes,XX_MBUS2_INT,INT,International,MB-USA Border,MB,48.999252,-95.53942,Manitoba,"name:219, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Iron Range,XX_MBUS3_INT,INT,International,MB-USA Border,MB,49.000379,-95.912972,Manitoba,"name:203, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Moranville,XX_MBUS4_INT,INT,International,MB-USA Border,MB,48.999208,-95.507149,Manitoba,"name:219, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Peace Gardens,XX_MBUS5_INT,INT,International,MB-USA Border,MB,48.999389,-99.559235,Manitoba,"name:219, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Madawaska,XX_NBUS1_INT,INT,International,NB-US Border,NB,47.355555,-68.301678,New Brunswick,"name:None, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Tinker North,XX_NBUS2_INT,INT,International,NB-US Border,NB,46.825228,-67.789616,New Brunswick,"name:None, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Tinker South,XX_NBUS3_INT,INT,International,NB-US Border,NB,46.791153,-67.789604,New Brunswick,"name:None, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Beechwood,XX_NBUS4_INT,INT,International,NB-US Border,NB,46.6016,-67.78884,New Brunswick,"name:None, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Keswick,XX_NBUS5_INT,INT,International,NB-US Border,NB,45.851583,-67.789544,New Brunswick,"name:None, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Lepreau,XX_NBUS6_INT,INT,International,NB-US Border,NB,45.209812,-67.431313,New Brunswick,"name:None, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Milltown,XX_NBUS7_INT,INT,International,NB-US Border,NB,45.176119,-67.293625,New Brunswick,"name:None, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Minnesota,XX_ONUS1_INT,INT,International,ON-US Border,ON,48.608586,-93.403166,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Bunce Creek,XX_ONUS2_INT,INT,International,ON-US Border,ON,42.92344,-82.4564,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT St. Clair,XX_ONUS3_INT,INT,International,ON-US Border,ON,42.79005,-82.474081,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Waterman,XX_ONUS4_INT,INT,International,ON-US Border,ON,42.292065,-83.094478,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Niagara,XX_ONUS5_INT,INT,International,ON-US Border,ON,43.137212,-79.04585,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Massena Cornwall,XX_ONUS6_INT,INT,International,ON-US Border,ON,45.004715,-74.785849,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Peace Bridge,XX_ONUS7_INT,INT,International,ON-US Border,ON,42.909931,-78.906012,Ontario,"name:281, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
INT Sandy Pond,XX_QCUS1_INT,INT,International,QC-US Border,QC,45.011382,-71.73656,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
INT Derby,XX_QCUS2_INT,INT,International,QC-US Border,QC,45.005641,-72.109295,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
INT Highgate,XX_QCUS3_INT,INT,International,QC-US Border,QC,45.014169,-72.968183,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
INT Massena Dundee,XX_QCUS4_INT,INT,International,QC-US Border,QC,44.996952,-74.454093,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
INT Dennison,XX_QCUS5_INT,INT,International,QC-US Border,QC,45.0047,-74.785827,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",
INT Tioga,XX_SKUS1_INT,INT,International,SK-US Border,SK,48.999341,-103.024403,Saskatachewan,"name:358, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
