balancing_area_from,balancing_area_to,copper_code,flow_limits_summer_mw,flow_limits_winter_mw,sources,notes
Alberta.a.,British Columbia.a,Alberta.a.British Columbia.a,1000,1000,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:395, flow_limits_winter:395, references:None, notes:None",
Alberta.a.,Saskatchewan.a,Alberta.a.Saskatchewan.a,153,153,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:142, flow_limits_winter:142, references:None, notes:None",
British Columbia.a.,Alberta.a,British Columbia.a.Alberta.a,1200,1200,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:395, flow_limits_winter:395, references:None, notes:None",
Manitoba.a.,Ontario.b,Manitoba.a.Ontario.b,200,200,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:137, flow_limits_winter:137, references:None, notes:None",
Manitoba.a.,Saskatchewan.a,Manitoba.a.Saskatchewan.a,250,250,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:136, flow_limits_winter:136, references:None, notes:None",
New Brunswick.a.,Nova Scotia.a,New Brunswick.a.Nova Scotia.a,300,300,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:134, flow_limits_winter:134, references:None, notes:None",
New Brunswick.a.,Prince Edward Island.a,New Brunswick.a.Prince Edward Island.a,222,222,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:133, flow_limits_winter:133, references:None, notes:None",
New Brunswick.a.,Quebec.a,New Brunswick.a.Quebec.a,785,785,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:205, flow_limits_winter:205, references:None, notes:None",
Newfoundland and Labrador.a.,Newfoundland and Labrador.b,Newfoundland and Labrador.a.Newfoundland and Labrador.b,900,900,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:135, flow_limits_winter:135, references:None, notes:None",
Newfoundland and Labrador.a.,Nova Scotia.a,Newfoundland and Labrador.a.Nova Scotia.a,500,500,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:134, flow_limits_winter:134, references:None, notes:None",
Newfoundland and Labrador.b.,Newfoundland and Labrador.a,Newfoundland and Labrador.b.Newfoundland and Labrador.a,900,900,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:135, flow_limits_winter:135, references:None, notes:None",
Newfoundland and Labrador.b.,Quebec.b,Newfoundland and Labrador.b.Quebec.b,5200,5200,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:205, flow_limits_winter:205, references:None, notes:None",
Nova Scotia.a.,New Brunswick.a,Nova Scotia.a.New Brunswick.a,350,350,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:134, flow_limits_winter:134, references:None, notes:None",
Nova Scotia.a.,Newfoundland and Labrador.a,Nova Scotia.a.Newfoundland and Labrador.a,500,500,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:134, flow_limits_winter:134, references:None, notes:None",
Ontario.a.,Ontario.b,Ontario.a.Ontario.b,1500,1500,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:138, flow_limits_winter:138, references:None, notes:None",
Ontario.a.,Quebec.a,Ontario.a.Quebec.a,2040,2040,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:138, flow_limits_winter:138, references:None, notes:None",
Ontario.b.,Manitoba.a,Ontario.b.Manitoba.a,0,0,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:137, flow_limits_winter:137, references:None, notes:None",
Ontario.b.,Ontario.a,Ontario.b.Ontario.a,2100,2100,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:138, flow_limits_winter:138, references:None, notes:None",
Ontario.b.,Quebec.b,Ontario.b.Quebec.b,95,95,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:138, flow_limits_winter:138, references:None, notes:None",
Prince Edward Island.a.,New Brunswick.a,Prince Edward Island.a.New Brunswick.a,222,222,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:133, flow_limits_winter:133, references:None, notes:None",
Quebec.a.,New Brunswick.a,Quebec.a.New Brunswick.a,1029,1029,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:205, flow_limits_winter:205, references:None, notes:None",
Quebec.a.,Ontario.a,Quebec.a.Ontario.a,2665,2665,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:138, flow_limits_winter:138, references:None, notes:None",
Quebec.a.,Quebec.b,Quebec.a.Quebec.b,29750,29750,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:205, flow_limits_winter:205, references:None, notes:None",
Quebec.b.,Newfoundland and Labrador.b,Quebec.b.Newfoundland and Labrador.b,5200,5200,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:205, flow_limits_winter:205, references:None, notes:None",
Quebec.b.,Ontario.b,Quebec.b.Ontario.b,65,65,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:138, flow_limits_winter:138, references:None, notes:None",
Quebec.b.,Quebec.a,Quebec.b.Quebec.a,29750,29750,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:205, flow_limits_winter:205, references:None, notes:None",
Saskatchewan.a.,Alberta.a,Saskatchewan.a.Alberta.a,153,153,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:142, flow_limits_winter:142, references:None, notes:None",
Saskatchewan.a.,Manitoba.a,Saskatchewan.a.Manitoba.a,90,90,"balancing_area_from:None, balancing_area_to:None, copper_code:None, flow_limits_summer:136, flow_limits_winter:136, references:None, notes:None",
