transmission_line_id,circuit_id,province,operating_region,owner,number_of_circuits,current,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage_in_kv,reactance_in_ohm,summer_ampacity,winter_ampacity,summer_rating_in_mva,winter_rating_in_mva,power_factor,smax,summer_capacity_in_mw,winter_capacity_in_mw,starting_node_name,starting_node_code,ending_node_name,ending_node_code,notes,sources
9447,A1P,SK,Saskatchewan,Saskpower,1,ac,110,67.901,110,67.901,138,,,,,,,2.63,123,137,,SK_ASS_DSS,,SK_PQA_DSS,,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9448,A1R,SK,Saskatchewan,Saskpower,1,ac,120,74.074,120,74.074,230,,,,,,,2.48,332,359,,SK_ASS_DSS,,SK_RUC_DSS,A1R + R1S previously referred to as A1S,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9449,B10T,SK,Saskatchewan,Saskpower,1,ac,10,6.173,10,6.173,230,,,,,,,3,150,150,,SK_BDM_GSS,,XX_SKUS1_INT,Reported capacities are export capacities only,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:169, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:370, notes:None"
9450,B1K,SK,Saskatchewan,Saskpower,1,ac,140,86.42,140,86.42,230,,,,,,,2.24,300,325,,SK_BDM_GSS,,SK_KDY_DSS,,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9451,B1L,SK,Saskatchewan,Saskpower,1,ac,150,92.593,150,92.593,230,,,,,,,2.14,287,310,,SK_BRA_DSS,,SK_LDM_DSS,,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9452,B1P,SK,Saskatchewan,Saskpower,1,ac,65,40.123,65,40.123,138,,,,,,,3,141,156,,SK_BTY_DSS,,SK_PRA_DSS,,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9453,B1Q,SK,Saskatchewan,Saskpower,1,ac,180,111.111,180,111.111,230,,,,,,,1.9,254,275,,SK_QEB_GSS,,SK_BTY_DSS,,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9454,B1W,SK,Saskatchewan,Saskpower,1,ac,130,80.247,130,80.247,138,,,,,,,2.35,111,122,,SK_WLV_DSS,,SK_BTY_DSS,,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9455,B2N,SK,Saskatchewan,Saskpower,1,ac,5,3.086,5,3.086,138,,,,,,,3,141,156,,SK_BRA_DSS,,SK_BFD_GSS,,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9456,B2P,SK,Saskatchewan,Saskpower,1,ac,65,40.123,65,40.123,138,,,,,,,3,141,156,,SK_BTY_DSS,,SK_PRA_DSS,,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9457,B2Q,SK,Saskatchewan,Saskpower,1,ac,180,111.111,180,111.111,230,,,,,,,1.9,254,275,,SK_QEB_GSS,,SK_BTY_DSS,,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9458,B2R,SK,Saskatchewan,Saskpower,1,ac,210,129.63,210,129.63,230,,,,,,,1.71,230,249,,SK_REG_DSS,,SK_BDM_GSS,,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
9459,B2T,SK,Saskatchewan,Saskpower,1,ac,55,33.951,55,33.951,138,,,,,,,3,141,156,,SK_BTY_DSS,,SK_TSD_DSS,,"circuit_id:358, owner:None, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:358, reactance:24, smax:25, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:23, starting_node_code:None, ending_node_name:358, ending_node_code:None, other_references:None, notes:None"
