generation_type,generation_type_copper,description,typical_plant_size_MW,capital_cost_USD_per_kW,capital_cost_CAD_per_kW,capital_overhead_CAD_per_kW,overnight_capital_cost_CAD_per_kW,interest_during_construction_CAD_per_kW,implementation_costs_CAD_per_kW,project_definition_costs_CAD_per_kW,total_project_cost_2020_CAD_per_kW,economic_life_years,service_life_years,annualized_capital_cost_CAD_per_MWyear,fixed_om_cost_USD_per_MWyear,fixed_om_cost_CAD_per_MWyear,variable_om_cost_USD_per_MWh,variable_om_cost_CAD_per_MWh,construction_time_years,development_time_years,average_fuel_price_USD_per_MMBtu,average_fuel_price_CAD_per_MMBtu,average_fuel_price_CAD_per_GJ,carbon_emissions_lbs_per_MMBtu,carbon_emissions_tCO2eq_per_MWh,heat_rate_MMBtu_per_MWh,efficiency,min_plant_load,min_capacity_factor,max_capacity_factor,time_to_full_capacity,min_up_time_hours,min_down_time_hours,ramp_rate_percent_per_min,spinning_reserve_capability,forced_outage_rate,planned_outage_rate,cold_start_up_costs_$_per_Mwcap,shutdown_cost,sources,notes
Biogas,biomass,biogas,36,1566,2035.8,40.72,2076.52,214.66,2291.18,181.54,2472.71,20,40,233406.65,20200,26260,6.23,8.1,3,5,2.33,3.03,2.87,0,0,8.51,0.4,0.4,0.55,0.7,60,8,8,0.08,0,0.09,0.08,8,0.08,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:462, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:474, service_life:None, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:465, avg_fuel_costs_cad:465, avg_fuel_price_GJ:465, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:462, efficiency:462, min_plant_load:None, min_capacity_factor:460, max_capacity_factor:460, time_to_full_capacity:464, min_up_time:None, min_down_time:None, ramp_rate:465, spinning_reserve_capability:None, forced_outage_rate:None, planned_outage_rate:None, cold_start_up_costs:471, shut_down_costs:471, empty_col:None, other_references:None, notes:462, ",Municipal solid waste - landfill gas
Biomass,biomass,biomass,50,3996.62,5195.6,103.91,5299.51,696.4,5995.91,348.66,6344.57,30,45,511285.85,126360,164268,4.85,6.31,4,6,2.33,3.03,2.87,0,0,13.5,0.2,0.4,0.6,0.6,720,8,8,0.08,0.06,0.09,0.08,8,0.08,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:475, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:465, avg_fuel_costs_cad:465, avg_fuel_price_GJ:465, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:475, efficiency:475, min_plant_load:None, min_capacity_factor:460, max_capacity_factor:460, time_to_full_capacity:464, min_up_time:None, min_down_time:None, ramp_rate:465, spinning_reserve_capability:None, forced_outage_rate:475, planned_outage_rate:475, cold_start_up_costs:471, shut_down_costs:471, empty_col:None, other_references:None, notes:None",
Biomass_CG,biomass,biomass cogeneration,50,3996.62,5195.6,103.91,5299.51,696.4,5995.91,348.66,6344.57,30,45,511285.85,126360,164268,4.85,6.31,4,6,2.33,3.03,2.87,0,0,13.5,0.2,0.4,0.6,0.6,720,8,8,0.08,0.06,0.09,0.08,8,0.08,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:475, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:465, avg_fuel_costs_cad:465, avg_fuel_price_GJ:465, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:475, efficiency:475, min_plant_load:None, min_capacity_factor:460, max_capacity_factor:460, time_to_full_capacity:464, min_up_time:None, min_down_time:None, ramp_rate:465, spinning_reserve_capability:None, forced_outage_rate:475, planned_outage_rate:475, cold_start_up_costs:471, shut_down_costs:471, empty_col:None, other_references:None, notes:None",Assumed similar operations to biomass
Coal,coal,coal combined cycle,650,3593.14,4671.08,93.42,4764.5,626.09,5390.59,324.37,5714.97,30,45,460548.7,40790,53027,4.52,5.88,4,6,1.92,2.5,2.37,211,0.830883,8.7,0.3,0.5,0.4,0.6,960,8,8,0.06,0.5,0.06,0.12,165,1.65,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:475, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:466, avg_fuel_costs_cad:466, avg_fuel_price_GJ:466, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:475, efficiency:475, min_plant_load:None, min_capacity_factor:461, max_capacity_factor:461, time_to_full_capacity:464, min_up_time:470, min_down_time:470, ramp_rate:465, spinning_reserve_capability:None, forced_outage_rate:475, planned_outage_rate:475, cold_start_up_costs:469, shut_down_costs:469, empty_col:None, other_references:None, notes:462, ",Ultra-supercritical coal (USC)
Coal_CCS,coalCCS,coal carbon capture and storage,650,5886.34,7652.24,153.04,7805.29,1025.68,8830.96,453.39,9284.36,30,45,748192.92,59850,77805,11.03,14.34,4,6,1.92,2.5,2.37,21,0.119504,12.51,0.2,0.5,0.4,0.6,960,8,8,0.06,0.5,0.08,0.12,165,1.65,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:475, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:466, avg_fuel_costs_cad:466, avg_fuel_price_GJ:466, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:475, efficiency:475, min_plant_load:None, min_capacity_factor:461, max_capacity_factor:461, time_to_full_capacity:464, min_up_time:470, min_down_time:470, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:475, planned_outage_rate:475, cold_start_up_costs:469, shut_down_costs:469, empty_col:None, other_references:None, notes:462, ",USC with 90% CCS
Diesel_CT,diesel,diesel combustion turbine,21,1813,2356.9,47.14,2404.04,183.31,2587.35,197.14,2784.49,30,45,224392.02,35340,45942,5.72,7.44,2,3,9.15,11.9,11.27,137,0.515469,8.3,0.4,0.5,0.01,0,10,1,1,0.2,0.15,0.09,0.08,200,2,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:462, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:466, avg_fuel_costs_cad:466, avg_fuel_price_GJ:466, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:462, efficiency:462, min_plant_load:None, min_capacity_factor:461, max_capacity_factor:461, time_to_full_capacity:464, min_up_time:470, min_down_time:470, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:None, planned_outage_rate:None, cold_start_up_costs:None, shut_down_costs:None, empty_col:None, other_references:None, notes:462, ",Internal combustion engine (diesel)
Diesel_ST,diesel,diesel steam turbine,21,1813,2356.9,47.14,2404.04,183.31,2587.35,197.14,2784.49,30,45,224392.02,35340,45942,5.72,7.44,2,3,9.15,11.9,11.27,137,0.515469,8.3,0.4,0.5,0.12,0.1,960,4,2,0.07,0.15,0.09,0.08,200,2,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:462, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:466, avg_fuel_costs_cad:466, avg_fuel_price_GJ:466, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:462, efficiency:462, min_plant_load:None, min_capacity_factor:461, max_capacity_factor:461, time_to_full_capacity:464, min_up_time:470, min_down_time:470, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:None, planned_outage_rate:None, cold_start_up_costs:None, shut_down_costs:None, empty_col:None, other_references:None, notes:462, ",Internal combustion engine (diesel)
Gasoline_CT,diesel,gasoline combustion turbine,21,1813,2356.9,47.14,2404.04,183.31,2587.35,197.14,2784.49,30,45,224392.02,35340,45942,5.72,7.44,2,3,9.15,11.9,11.27,137,0.515469,8.3,0.4,0.5,0.01,0,10,1,1,0.2,0.15,0.09,0.08,200,2,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:462, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:459, service_life:459, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:466, avg_fuel_costs_cad:466, avg_fuel_price_GJ:466, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:462, efficiency:462, min_plant_load:None, min_capacity_factor:461, max_capacity_factor:461, time_to_full_capacity:464, min_up_time:470, min_down_time:470, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:None, planned_outage_rate:None, cold_start_up_costs:None, shut_down_costs:None, empty_col:None, other_references:None, notes:462, ",Internal combustion engine (diesel)
Geothermal,geothermal,geothermal binary cycle,50,5775.06,7507.58,150.15,7657.73,1006.29,8664.02,447.56,9111.58,40,40,683451.42,137500,178750,1.17,1.52,4,6,0,0,0,0,0,8.95,0.3,0.9,0.68,0.7,960,8,8,0.05,0.15,0.05,0.1,0,0,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:462, capital_cost_usd:475, capital_cost_cad:None, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:474, service_life:474, ann_project_capital_cost:None, fixed_om_cost_usd:462, fixed_om_cost_cad:None, variable_o&m_usd:462, variable_o&m_cad:None, construction_time:462, avg_fuel_costs_usd:None, avg_fuel_costs_cad:None, avg_fuel_price_GJ:None, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:462, efficiency:462, min_plant_load:None, min_capacity_factor:460, max_capacity_factor:460, time_to_full_capacity:464, min_up_time:None, min_down_time:None, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:None, planned_outage_rate:None, cold_start_up_costs:None, shut_down_costs:None, empty_col:None, other_references:None, notes:None",
Hydro_annual,hydro_annual,hydroelectric annual storage,1100,8000,11400,228,11628,3728.85,15356.85,659.92,16016.77,70,100,1131096.76,8280,10764,0.74,0.96,10,16,0,0,1.12,0,0,,,,,,10,1,1,0.15,0.3,0.05,0.1,0,0,"gen_type:None, gen_type_copper:None, description:None, typical_plant_size:474, capital_cost_usd:None, capital_cost_cad:474, captial_overhead:None, overnight_capital_cost:None, interest_during_construction:None, implementation_costs:None, project_def_costs:None, total_project_cost:None, economic_life:474, service_life:None, ann_project_capital_cost:None, fixed_om_cost_usd:None, fixed_om_cost_cad:None, variable_o&m_usd:None, variable_o&m_cad:None, construction_time:474, avg_fuel_costs_usd:None, avg_fuel_costs_cad:None, avg_fuel_price_GJ:None, carbon_emissions_lbs:None, carbon_emissions_tCO2:None, heat_rate:None, efficiency:None, min_plant_load:None, min_capacity_factor:None, max_capacity_factor:None, time_to_full_capacity:464, min_up_time:None, min_down_time:None, ramp_rate:476, spinning_reserve_capability:None, forced_outage_rate:None, planned_outage_rate:None, cold_start_up_costs:None, shut_down_costs:None, empty_col:None, other_references:None, notes:None",Capital cost based on $16B Site C Project
