project_name,connecting_node_code,Province,generation_type,installed_capacity,capacity_adjustment,effective_capacity,capacity_factor,annual_avg_energy,num_of_units,avg_unit_capacity,renewal_year,dam_type,penstock,rated_head,maximum_head,minimum_head,average_flow,rated_discharge_unit,rated_discharge_facility,upstream_reservoir_area,upstream_reservoir_storage,turbine_type,station_flow,lower_storage_name,lower_storage_level,upper_storage_name,upper_storage_level,max_live_storage,minimum_level,maximum_level,initial_level,low_ref_level,high_ref_level,low_volume,high_volume,live_storage,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,other_references,Notes
Units,,,,(MW),(%),(MW),(%),(GWh/year),,,,,(m),(m),(m),(m),(m3/s),(m3/s),(m3/s),(km2),(hours),,(WSC#),,(WSC#),,(WSC#),,(m),(m),(m),(m),(m),(m3),(m3),(m3),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),,
Aberfeldie,BC_ABN_GSS,BC,Hydro_daily,24,1,24,0.331158815,69.62282934,2,,2009,,,,,,,,,,,,,,,Aberfeldie,,,876.15,876.67,876.67,,,,,510000,7.66,7.34,9.25,30.8,96.8,109,52,21.5,15.6,14.4,12.8,9.32,,
Alouette,BC_ALU_GSS,BC,Hydro_daily,9,1,9,0.331158804,26.10856013,1,,,,,,,,,,,,,,,Stave,,Allouette,,,112.6,125.5,122.92,,,,,198650000,10.05247592,8.651155585,8.956823094,13.28242853,32.38965974,49.79565649,38.28535533,23.59401214,15.0538527,14.89088785,14.38133711,10.66635551,,
Arrow Lakes,BC_ALH_GSS,BC,Hydro_daily,185,1,185,0.473281501,767,2,,,,,,,,,,,,,,,Columbia (U.S.),08NE049,Arrow,08NE102,,418.64,440.1,435.808,,,,,8757708000,130,117,131,293,771,987,691,367,250,202,178,139,,08NE049 is flow and level data https://engage.gov.bc.ca/app/uploads/sites/6/2013/04/Duncan-and-Arrow-Lakes-Reservoir-Options-Post-2024-Presentation-July-5-2013.pdf  
Ash,BC_ASH_GSS,BC,Hydro_daily,28,1,28,0.331158835,81.22663915,1,,,,,,,,,,,,,,,,,Elsie,,,320,330.71,328.568,,,,,78000000,25,24,21,24,28,24,13,7,7,21,32,29,,
Bridge,BC_BR1_DFS,BC,Hydro_daily,480,1,480,0.331158662,1392.455943,8,,,,,,,,,,,,,,,Seton,,Anderson Lake,,,606.55,651.08,642.174,,,,,1012500000,16,14,14,21,78,159,128,73,38,31,25,19,,
Brilliant Expansion,BC_BRX_GSS,BC,Hydro_daily,127.5,1,127.5,0.383803384,428.67,1,,,,,,,,,,,,,,,Columbia (U.S.),08NE049,Brilliant,,,,,,,,,,,,,,,,,,,,,,,,08NE049 is flow and level data
Brilliant,BC_BRD_GSS,BC,Hydro_daily,150,1,150,0.331158804,435.1426684,4,,,,,,,,,,,,,,,Columbia (U.S.),08NE049,Brilliant,,,447.9,450.9,,,,,,Dam,,,,,,,,,,,,,,08NE049 is flow and level data
Brown Lake,BC_BRL_GSS,BC,Hydro_daily,7.2,1,7.2,0.903729072,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buntzen Lake,BC_LB1_DFS,BC,Hydro_daily,55,1,55,0.331158829,159.5523238,1,,1951,,,,,,,,,,,,,,,Buntzen Lake,,,,,,,,,,222000000,,,,,,,,,,,,,,Buntzen or coquitlam?? Storage available at both but much different sizes
Cheakamus,BC_CMS_DFS,BC,Hydro_daily,158,1,158,0.37726955,522.1712384,2,,,,,,,,,,,,,,,,,Daisy,,,362.1,373.5,371.22,,,,,"~40,000,000.00",20,21,22,33,75,115,105,68,41,43,40,25,,
Clowhom,BC_COM_GSS,BC,Hydro_daily,33,1,33,0.451580209,130.5428067,1,,,,,,,,,,,,,,08GB013,,,Clowhom Lake,,,45,52.5,51,,,,,46550000,25,26,24,29,56,70,55,29,24,39,42,30,,08GB013 located at upper end of reservoir
Corra Linn,BC_COR_GSS,BC,Hydro_daily,51,1,51,0.331158808,147.948509,3,,,,,,,,,,,,,,08NJ158,Upper Bonnington,,Kootenay Lake,,,,,,,,,,1900000000,,,,,,,,,,,,,,https://engage.gov.bc.ca/app/uploads/sites/6/2012/07/Columbia-River-Treaty-Review-Technical-Studies-Report-FINAL.pdf 
Diversion (not powered),,BC,,,,,,,,,,,,,,,,,,,,,,Elliot,,Diversion,,,358.68,386.2,380,,,,,,23,21,16,12,7,3,2,1,3,11,25,25,,
Eldorado Reservoir,BC_DUC_DSS,BC,Hydro_daily,1.13,1,1.13,0.404089385,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elko,BC_ELK_GSS,BC,Hydro_daily,12,1,12,0.331158845,34.81141774,2,,,,,,,,,,,,,,,,,,,,,,,,,,,600000,,,,,,,,,,,,,,
Falls River,BC_FLS_GSS,BC,Hydro_daily,7,1,7,0.331158817,20.30665868,2,,,,,,,,,,,,,,,,,,,,,,,,,,,11500000,,,,,,,,,,,,,,
G.M. Shrum,BC_GMS_GSS,BC,Hydro_monthly,3050,1,3050,0.600623176,16047.45001,10,,,,,,,,,,,,,,,Dinosaur,,Williston,07EF003,,642.03,672.08,666.07,,,,,39471000000,300,255,245,517,2475,3706,1974,990,787,795,546,351,,
John Hart,BC_JHT_GSS,BC,Hydro_daily,138,1,138,0.331158817,400.3312705,3,,2019,,,,,,,,,,,,08HD003,,,John Hart,,,133.43,140.06,139.44,,,,,20420000,0,0,0,0,0,0,0,0,0,0,0,0,,
