project_name,gen_node_code,owner,province,location,latitude,longitude,copper_balancing_area,operating_region,connecting_node_name,connecting_node_code,connecting_voltage_in_kv,start_year,prev_renewal_year,possible_renewal_year,closure_year,gen_type,gen_type_copper,installed_capacity_in_mw,capacity_adjustment_in_%,effective_capacity_in_mw,capacity_factor_in_%,annual_avg_energy_unit_gwh/y,num_of_gen_units_represented,total_num_of_gen_units,turbine_capacity_in_mw,project_area_km2,density_in_mw/km2,other_references,notes
Ardenville,AB_ARD01_GEN,TransAlta Corporation,Alberta,Fort Macleod,49.582924,-113.435077,alberta.a,Alberta,Ardenville Wind Farm 418S,AB_418S_GSS,138,2010,2010,2040,,wind_onshore,wind,68,0.09,6,0.33,196.57,23,23,3,30.7,2.21498,https://www.transalta.com/plants-operation/ardenville/,project area estimated
Blackspring Ridge,AB_BSR01_GEN,EDF/Enbridge,Alberta,Carmangay,50.152488,-112.822637,alberta.a,Alberta,Blackspring Ridge 485S,AB_485S_DSS,240,2014,2014,2044,,wind_onshore,wind,300,0.09,27,0.33,867.24,166,166,1.8,175.5,1.7094,https://www.edf-re.com/project/blackspring-ridge-wind/,
Blue Trail,AB_BTR01_GEN,TransAlta Corporation,Alberta,Fort Macleod,49.668667,-113.452164,alberta.a,Alberta,Blue Trail 528S,AB_528S_DSS,144,2009,2009,2039,,wind_onshore,wind,66,0.09,6,0.33,190.79,22,22,3,38,1.73684,https://transalta.com/plants-operation/blue-trail/,project area estimated
Buffalo Atlee,AB_BFA01_GEN,Capstone Infractructure,Alberta,Jenner,50.748609,-111.048864,alberta.a,Alberta,Jenner 275S,AB_275S_GSS,144,2023,2023,2053,,wind_onshore,wind,59,0.09,5,0.33,169.11,13,13,4.5,5.83,10.0343,https://buffaloatlee.com,includes all four phases
Bull Creek I,AB_BUL01_GEN,Bull Creek Wind Power Ltd.,Alberta,Chauvin,52.509074,-110.083104,alberta.a,Alberta,Hayter 277S,AB_277S_DSS,138,2014,2014,2044,,wind_onshore,wind,14,0.09,1,0.33,39.31,8,8,1.7,9.71,1.40062,http://bluearthrenewables.com/wp-content/uploads/2018/12/Bull_Creek_-_Project_Layout.pdf,AUC 3520
Bull Creek II,AB_BUL02_GEN,Bull Creek Wind Power Ltd.,Alberta,Chauvin,52.509074,-110.083104,alberta.a,Alberta,Hayter 277S,AB_277S_DSS,138,2014,2014,2044,,wind_onshore,wind,15,0.09,1,0.33,44.23,9,9,1.7,11.65,1.3133,http://bluearthrenewables.com/wp-content/uploads/2018/12/Bull_Creek_-_Project_Layout.pdf,AUC 3520
Bull Trail,AB_BLT01_GEN,EDF Renewables,Alberta,Irvine,49.813767,-110.205721,alberta.a,Alberta,Peace Butte 404S,AB_404S_DSS,144,2024,2024,2054,,wind_onshore,wind,270,0.09,24,0.33,780.52,49,49,5.5,88.83,3.03951,https://www.edf-re.com/project/bull-trail-wind/about/,AUC 26981
Castle River,AB_CRV01_GEN,TransAlta Corporation,Alberta,Pincher Creek,49.516,-114.027555,alberta.a,Alberta,Castle River 239S,AB_239S_GSS,138,2001,2001,2031,,wind_onshore,wind,44,0.09,4,0.33,127.2,60,60,0.66,16,2.75,https://www.transalta.com/plants-operation/castle-river/,project area estimated
Castlerock Ridge I,AB_CRR01_GEN,Enel,Alberta,Pincher Creek,49.556114,-113.962954,alberta.a,Alberta,Castle Rock Ridge 205S,AB_205S_GSS,240,2012,2012,2042,,wind_onshore,wind,76,0.09,7,0.33,220.28,33,33,2.3,7.23395,10.5337,https://www.enelgreenpower.com/our-projects/highlights/castle-rock-ridge-wind-farms,combines two phases
Castlerock Ridge II,AB_CRR02_GEN,Enel,Alberta,Pincher Creek,49.556114,-113.962954,alberta.a,Alberta,Castle Rock Ridge 205S,AB_205S_GSS,240,2019,2019,2049,,wind_onshore,wind,29,0.09,3,0.33,84.99,7,7,4.2,2.79105,10.5337,https://www.enelgreenpower.com/our-projects/highlights/castle-rock-ridge-wind-farms,combines two phases
Chin Chute Wind,AB_SCR03_GEN,Suncor/EHN/Enbridge,Alberta,Taber,49.693289,-112.329201,alberta.a,Alberta,Hillridge 139S,AB_139S_DSS,138,2004,2004,2034,,wind_onshore,wind,30,0.09,3,0.33,86.72,20,20,1.5,6,5,https://www.acciona.ca/projects/energy/wind-power/chin-chute-wind-farm/?_adin=02021864894,project area estimated
Cowley North,AB_CLN01_GEN,TransAlta Corporation,Alberta,Pincher Creek,49.561855,-114.107499,alberta.a,Alberta,Pincher Creek 396S,AB_396S_DSS,138,2001,2001,2031,,wind_onshore,wind,21,0.09,2,0.33,61.86,15,15,1.3,4,5.35,https://www.transaltarenewables.com/plants-operation/cowley-north/,project area estimated
Cypress,AB_CYP01_GEN,EDF Renewables,Alberta,Dunmore,49.844736,-110.522035,alberta.a,Alberta,Woolchester 1019S,AB_1019S_GSS,240,2023,2023,2053,,wind_onshore,wind,248,0.09,22,0.33,718.07,48,48,5.2,135,1.84,https://www.edf-re.com/project/cypress-wind/,AUC 24891
