id,source,year,name,link,publication,region,notes
1,AESO,2019.0,Information Document Uniform Capacity Value Determination,https://www.aeso.ca/assets/Uploads/206.3-UCAP.pdf,,Alberta,
2,AESO,2019.0,Current Supply Demand Report,http://ets.aeso.ca/ets_web/ip/Market/Reports/CSDReportServlet,,Alberta,
3,Dispatcho,2019.0,,https://www.dispatcho.app/assets,,Alberta,
4,AESO,2019.0,AESO 2019 Annual Market Statistics,https://www.aeso.ca/market/market-and-system-reporting/annual-market-statistic-reports/,,Alberta,
5,World Resources Institute,2019.0,Global Power Plant Database,http://datasets.wri.org/dataset/globalpowerplantdatabase,,,
6,Google Maps / Google Earth,2020.0,,,,,
7,"See ""Other References"" Column of the relevant tab",,,,,,
8,Nova Scotia Power Inc.,2020.0,NS Power 2020 IRP Modeling Results Release,https://irp.nspower.ca/documents/modeling-results/,,Nova Scotia,
9,Alberta Utilities Commission,2020.0,Annual Electricity Data,https://www.auc.ab.ca/Pages/annual-electricity-data.aspx,,Alberta,
10,WECC,2019.0,ADS 2028 Deliverables,https://www.wecc.org/SystemAdequacyPlanning/Pages/Datasets.aspx,,"Alberta, British Columbia","On the website, under Production Cost Model see 2024 Common Case sheet 150409_2024CC-V1.5_Resources"
11,WECC,2019.0,ADS 2028 Deliverables,https://www.wecc.org/SystemStabilityPlanning/Pages/AnchorDataSet.aspx,,"Alberta, British Columbia","On the website, under Production Cost Model see ADS_PCM_V0.3.2_GeneratorList.csv and supporting information"
12,Environment Canada,2019.0,Historical Hydrometric Data Search,https://wateroffice.ec.gc.ca/search/historical_e.html,,Canada,
13,Government of Alberta,2019.0,Alberta River Basins,https://rivers.alberta.ca,,Alberta,
14,Government of Alberta,2019.0,Geodiscover Alberta,https://geodiscover.alberta.ca/geoportal/catalog/search/browse/browse.page,,Alberta,
15,AESO,2019.0,AESO 2019 Long-term Outlook,https://www.aeso.ca/grid/forecasting/,,Alberta,See also the 2019 LTO Data File
16,Transalta,2019.0,Facilities in Operation/Development,https://www.transaltarenewables.com/facilities/plants-operation/,,Alberta,
17,Hatch,2010.0,Update on Alberta's Hydroelectric Energy Resources. Final Report for Alberta Utilities Commission.,,,Alberta,
18,Transalta,2017.0,Brazeau Pumped Storage - Building Alberta's Future,,,Alberta,
19,AESO,2020.0,2020 Long-term Transmission Plan (including SLDs),https://www.aeso.ca/grid/long-term-transmission-plan/,,Alberta,See also the Single Line Diagrams
20,AHP Development Corporation,2019.0,The Amisk Hydroelectric Project,http://www.amiskhydro.com,,Alberta,
21,AESO,2018.0,Hourly Metered Volumes and Pool Price and AIL from 2008 to 2018,https://www.aeso.ca/market/market-and-system-reporting/data-requests/hourly-metered-volumes-and-pool-price-and-ail-from-2008-to-2018/,,Alberta,
22,Turning Point Generation,2017.0,Alberta Utilities Commission Power Plant and Hydro Development Application for the Canyon Creek Pumped Storage Hydro Energy Storage Project,http://www.auc.ab.ca/Pages/default.aspx,,Alberta,
23,Overbye et al.,2017.0,Power System Analysis and Design (Sixth Edition). Table 5.2,,,,
24,"Athari, MH and Zhifang, W. ",2017.0,Interdependence of Transmission Branch Parameters on the Voltage Levels. Electrical Engineering and Systems Science. ,https://arxiv.org/abs/1709.06930,,,
25,"Gutman, R., Marchenko, P.P., and Dunlop, R.D.",1979.0,Analytical Development of Loadability Characteristics for EHV and UHV Transmission Lines,http://home.eng.iastate.edu/~jdm/ee552/StClairAEP.pdf,,,
26,WECC,2019.0,ADS 2028 Deliverables Datasets,https://www.wecc.org/SystemAdequacyPlanning/Pages/Datasets.aspx,,"Alberta, British Columbia","On the website, under Production Cost Model see 2024 Common Case sheet 150409_2024CC-V1.5_Resources"
