,generation_unit_name,generation_unit_code,generation_facility_name,generation_facility_code,owner,province,location,latitude,longitude,elevation,copper_balancing_area,operating_region,connecting_node_name,connecting_node_code,connecting_voltage,start_year,previous_renewal_year,possible_renewal_year,closure_year,gen_type,gen_type_copper,unit_installed_capacity,facility_installed_capacity,capacity_adjustment,unit_effective_capacity,facility_effective_capacity,capacity_factor,unit_average_annual_energy,facility_average_annual_energy,generation_units_represented,total_facility_generation_units,notes
0,APF Athabasca,AB_AFG01_GEN,APF Athabasca,AB_AFG_GEN,Alberta-Pacific Forest Industries,AB,Boyle,54.921896,-112.859331,578,Alberta.a,Alberta,Boyle 56S,AB_56S_DSS,138,2012,2012,2042,,biomass,biomass,131.00,131.00,0.9600,125.76,125.76,0.5500,631.16,631.16,4,4,NULL
1,McBride Lake,AB_AKE01_GEN,McBride Lake,AB_AKE_GEN,ENMAX / Transalta,AB,Fort Macleod,49.612278,-113.481525,1096,Alberta.a,Alberta,Mcbride Lake 240S,AB_240S_GSS,144,2002,2002,2032,,wind_ons,wind_ons,75.00,75.00,0.1600,12.00,12.00,0.3600,236.52,236.52,114,114,NULL
2,Bantry,AB_ALP01_GEN,Bantry,AB_ALP_GEN,AltaGas,AB,Brooks,50.484750,-111.745385,762,Alberta.a,Alberta,Tilley 498S,AB_498S_DSS,138,2012,2012,2042,,NG_SC,NG_SC,10.00,10.00,1.0000,10.00,10.00,0.3000,26.28,26.28,1,1,NULL
3,Parkland,AB_ALP02_GEN,Parkland,AB_ALP_GEN,Altagas,AB,Parkland,50.349401,-113.774453,1023,Alberta.a,Alberta,Stavely 349S,AB_349S_DSS,144,2014,2014,2044,,NG_SC,NG_SC,10.00,10.00,1.0000,10.00,10.00,0.3000,26.28,26.28,1,1,NULL
4,Air Liquide,AB_ALS01_GEN,Air Liquide,AB_ALS_GEN,Air Liquide,AB,Fort Saskatchewan,53.798213,-113.084472,617,Alberta.a,Alberta,Canada Liquid Air 337S,AB_337S_ISS,144,2000,2000,2030,,NG_CG,NG_CC,80.00,80.00,0.9000,72.00,72.00,0.3000,210.24,210.24,1,1,NULL
5,AB Newsprint,AB_ANC01_GEN,AB Newsprint,AB_ANC_GEN,Alberta Newsprint Co.,AB,Whitecourt,54.127889,-115.665862,729,Alberta.a,Alberta,Alberta Newsprint 122S,AB_122S_GSS,240,2014,2014,2044,,NG_SC,NG_SC,63.00,63.00,1.0000,63.00,63.00,0.3000,165.56,165.56,9,9,NULL
6,Scotford,AB_APS01_GEN,Scotford,AB_APS_GEN,ATCO Power Canada Ltd.,AB,Fort Saskatchewan,53.798500,-113.094300,615,Alberta.a,Alberta,Scotford 409S,AB_409S_GSS,138,2003,2003,2033,,NG_CG,NG_CC,195.00,195.00,0.9000,175.50,175.50,0.3000,512.46,512.46,1,1,NULL
7,Ardenville,AB_ARD01_GEN,Ardenville,AB_ARD_GEN,TransAlta Corporation,AB,Fort Macleod,49.582924,-113.435077,1103,Alberta.a,Alberta,Ardenville Wind Farm 418S,AB_418S_GSS,138,2010,2010,2040,,wind_ons,wind_ons,68.00,68.00,0.1600,10.88,10.88,0.3600,214.44,214.44,23,23,NULL
8,Bear Creek_02,AB_BCR02_GEN,Bear Creek,AB_BCR_GEN,TransCanada Energy Ltd.,AB,Grande Prairie,55.071546,-118.692105,519,Alberta.a,Alberta,Bear Creek 679S,AB_679S_DSS,138,2002,2002,2032,,NG_CG,NG_CC,36.00,100.00,0.9000,32.40,90.00,0.3000,94.61,262.80,1,2,NULL
9,Bear Creek_01,AB_BCRK01_GEN,Bear Creek,AB_BCRK_GEN,TransCanada Energy Ltd.,AB,Grande Prairie,55.071546,-118.692105,519,Alberta.a,Alberta,Bear Creek 679S,AB_679S_DSS,144,2002,2002,2032,,NG_CG,NG_CC,64.00,100.00,0.9000,57.60,90.00,0.3000,168.19,262.80,1,2,NULL
