"P.E.O.P.L.E. Population Estimates and Projections","","","","","",""
"Author: BC Stats","","","","","",""
"Release date: July 12, 2024","","","","","",""
"Geographic level: Regional District","","","","","",""
"Years: 2021-2046","","","","","",""
"-------------------------------------------------","","","","","",""
"Region","Regional District","Year","Type","Gender","Age","Pop"
"1000","East Kootenay","2021","Estimate","T","Total","   68,659"
"1000","East Kootenay","2022","Estimate","T","Total","   70,022"
"1000","East Kootenay","2023","Estimate","T","Total","   70,741"
"1000","East Kootenay","2024","Projection","T","Total","   72,074"
"1000","East Kootenay","2025","Projection","T","Total","   72,379"
"1000","East Kootenay","2026","Projection","T","Total","   72,550"
"1000","East Kootenay","2027","Projection","T","Total","   73,112"
"1000","East Kootenay","2028","Projection","T","Total","   73,769"
"1000","East Kootenay","2029","Projection","T","Total","   74,451"
"1000","East Kootenay","2030","Projection","T","Total","   75,130"
"1000","East Kootenay","2031","Projection","T","Total","   75,790"
"1000","East Kootenay","2032","Projection","T","Total","   76,451"
"1000","East Kootenay","2033","Projection","T","Total","   77,087"
"1000","East Kootenay","2034","Projection","T","Total","   77,727"
"1000","East Kootenay","2035","Projection","T","Total","   78,326"
"1000","East Kootenay","2036","Projection","T","Total","   78,925"
"1000","East Kootenay","2037","Projection","T","Total","   79,515"
"1000","East Kootenay","2038","Projection","T","Total","   80,074"
"1000","East Kootenay","2039","Projection","T","Total","   80,625"
"1000","East Kootenay","2040","Projection","T","Total","   81,114"
"1000","East Kootenay","2041","Projection","T","Total","   81,619"
"1000","East Kootenay","2042","Projection","T","Total","   82,089"
"1000","East Kootenay","2043","Projection","T","Total","   82,526"
"1000","East Kootenay","2044","Projection","T","Total","   82,938"
"1000","East Kootenay","2045","Projection","T","Total","   83,336"
"1000","East Kootenay","2046","Projection","T","Total","   83,708"
"3000","Central Kootenay","2021","Estimate","T","Total","   64,707"
"3000","Central Kootenay","2022","Estimate","T","Total","   65,861"
"3000","Central Kootenay","2023","Estimate","T","Total","   67,129"
"3000","Central Kootenay","2024","Projection","T","Total","   68,977"
"3000","Central Kootenay","2025","Projection","T","Total","   69,771"
"3000","Central Kootenay","2026","Projection","T","Total","   70,409"
"3000","Central Kootenay","2027","Projection","T","Total","   71,385"
"3000","Central Kootenay","2028","Projection","T","Total","   72,421"
"3000","Central Kootenay","2029","Projection","T","Total","   73,411"
"3000","Central Kootenay","2030","Projection","T","Total","   74,374"
"3000","Central Kootenay","2031","Projection","T","Total","   75,290"
"3000","Central Kootenay","2032","Projection","T","Total","   76,142"
"3000","Central Kootenay","2033","Projection","T","Total","   76,963"
"3000","Central Kootenay","2034","Projection","T","Total","   77,737"
"3000","Central Kootenay","2035","Projection","T","Total","   78,458"
