REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMINDDSL,2021,3.056508683220278
REGION1,DEMINDDSL,2022,3.0368486003942947
REGION1,DEMINDDSL,2023,3.12183089390016
REGION1,DEMINDDSL,2024,3.1900069875709094
REGION1,DEMINDDSL,2025,3.2556462963608874
REGION1,DEMINDDSL,2026,3.311138465627778
REGION1,DEMINDDSL,2027,3.2990887374441096
REGION1,DEMINDDSL,2028,3.2854535187099607
REGION1,DEMINDDSL,2029,3.3536296123807103
REGION1,DEMINDDSL,2030,3.4224399022716536
REGION1,DEMINDDSL,2031,3.44812484918947
REGION1,DEMINDDSL,2032,3.447490652969277
REGION1,DEMINDDSL,2033,3.473809796107288
REGION1,DEMINDDSL,2034,3.500128939245298
REGION1,DEMINDDSL,2035,3.5191548258510887
REGION1,DEMINDDSL,2036,3.533741338915529
REGION1,DEMINDDSL,2037,3.5457910670991963
REGION1,DEMINDDSL,2038,3.5568895009525736
REGION1,DEMINDDSL,2039,3.5733786026775927
REGION1,DEMINDDSL,2040,3.597478059044928
REGION1,DEMINDDSL,2041,3.6269681832839034
REGION1,DEMINDDSL,2042,3.6589950924036514
REGION1,DEMINDDSL,2043,3.695461375064751
REGION1,DEMINDDSL,2044,3.7370012274873927
REGION1,DEMINDDSL,2045,3.785200140222064
REGION1,DEMINDDSL,2046,3.8362529359476016
REGION1,DEMINDDSL,2047,3.8873057316731394
REGION1,DEMINDDSL,2048,3.939309821728968
REGION1,DEMINDDSL,2049,3.9928994023352784
REGION1,DEMINDDSL,2050,4.04617188483149
REGION1,DEMINDBIO,2021,5.8926341799234825
REGION1,DEMINDBIO,2022,6.205927112698835
REGION1,DEMINDBIO,2023,6.20275613159787
REGION1,DEMINDBIO,2024,6.5730716636198965
REGION1,DEMINDBIO,2025,6.52898182543503
REGION1,DEMINDBIO,2026,6.914376202132485
REGION1,DEMINDBIO,2027,6.902055050284051
REGION1,DEMINDBIO,2028,7.3566272689814385
REGION1,DEMINDBIO,2029,7.437219074203591
REGION1,DEMINDBIO,2030,7.858107462188498
REGION1,DEMINDBIO,2031,8.013784945011643
REGION1,DEMINDBIO,2032,8.038869214727109
REGION1,DEMINDBIO,2033,8.090998812679802
REGION1,DEMINDBIO,2034,8.21493320205149
REGION1,DEMINDBIO,2035,8.633168717625919
REGION1,DEMINDBIO,2036,8.283132645022361
REGION1,DEMINDBIO,2037,8.592094454260675
REGION1,DEMINDBIO,2038,8.521244464813517
REGION1,DEMINDBIO,2039,8.476708194793089
REGION1,DEMINDBIO,2040,8.58433569250091
REGION1,DEMINDBIO,2041,8.517696725892483
REGION1,DEMINDBIO,2042,8.348559042620966
REGION1,DEMINDBIO,2043,8.435390769154177
REGION1,DEMINDBIO,2044,8.449875958589836
REGION1,DEMINDBIO,2045,8.47143520823313
REGION1,DEMINDBIO,2046,8.449396241631655
REGION1,DEMINDBIO,2047,8.479837660200923
REGION1,DEMINDBIO,2048,8.51091327499038
REGION1,DEMINDBIO,2049,8.547062459541383
REGION1,DEMINDBIO,2050,8.584162938422676
REGION1,DEMINDNGS,2021,6.924471430177532
REGION1,DEMINDNGS,2022,7.266937389081763
REGION1,DEMINDNGS,2023,7.511420031966175
REGION1,DEMINDNGS,2024,7.298964298201512
REGION1,DEMINDNGS,2025,7.9918236687623905
REGION1,DEMINDNGS,2026,8.746517170792087
REGION1,DEMINDNGS,2027,8.478396896301504
REGION1,DEMINDNGS,2028,8.199522930875606
REGION1,DEMINDNGS,2029,8.777275687471452
REGION1,DEMINDNGS,2030,9.42922940182988
REGION1,DEMINDNGS,2031,9.391494726728393
REGION1,DEMINDNGS,2032,9.296682391809536
REGION1,DEMINDNGS,2033,9.446986895995284
REGION1,DEMINDNGS,2034,9.606170147263734
REGION1,DEMINDNGS,2035,9.663247807081104
REGION1,DEMINDNGS,2036,9.674980437154675
REGION1,DEMINDNGS,2037,9.64295352803493
REGION1,DEMINDNGS,2038,9.628049916860393
REGION1,DEMINDNGS,2039,9.64453901858541
REGION1,DEMINDNGS,2040,9.68481047856767
REGION1,DEMINDNGS,2041,9.741571040274945
REGION1,DEMINDNGS,2042,9.799917092532702
REGION1,DEMINDNGS,2043,9.863970910772196
REGION1,DEMINDNGS,2044,9.945465125067
REGION1,DEMINDNGS,2045,10.041228754316148
REGION1,DEMINDNGS,2046,10.14745662119848
REGION1,DEMINDNGS,2047,10.261294842723128
REGION1,DEMINDNGS,2048,10.3817921245598
REGION1,DEMINDNGS,2049,10.5092655648186
REGION1,DEMINDNGS,2050,10.64181257483894
REGION1,DEMINDELCB02,2021,5.319211750484137
REGION1,DEMINDELCB02,2022,5.613591030182932
REGION1,DEMINDELCB02,2023,5.9769186136808345
