REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
REGION1,DEMINDDSL,CO2,2021,6.728022
REGION1,DEMINDDSL,CO2,2022,6.6847460000000005
REGION1,DEMINDDSL,CO2,2023,6.87181
REGION1,DEMINDDSL,CO2,2024,7.02188
REGION1,DEMINDDSL,CO2,2025,7.166365999999999
REGION1,DEMINDDSL,CO2,2026,7.288516000000001
REGION1,DEMINDDSL,CO2,2027,7.2619919999999984
REGION1,DEMINDDSL,CO2,2028,7.231978
REGION1,DEMINDDSL,CO2,2029,7.382047999999998
REGION1,DEMINDDSL,CO2,2030,7.533514
REGION1,DEMINDDSL,CO2,2031,7.590052
REGION1,DEMINDDSL,CO2,2032,7.5886559999999985
REGION1,DEMINDDSL,CO2,2033,7.64659
REGION1,DEMINDDSL,CO2,2034,7.704523999999998
REGION1,DEMINDDSL,CO2,2035,7.746404
REGION1,DEMINDDSL,CO2,2036,7.778512
REGION1,DEMINDDSL,CO2,2037,7.8050359999999985
REGION1,DEMINDDSL,CO2,2038,7.829465999999998
REGION1,DEMINDDSL,CO2,2039,7.865762000000002
REGION1,DEMINDDSL,CO2,2040,7.91881
REGION1,DEMINDDSL,CO2,2041,7.983724
REGION1,DEMINDDSL,CO2,2042,8.054222000000001
REGION1,DEMINDDSL,CO2,2043,8.134492000000002
REGION1,DEMINDDSL,CO2,2044,8.225929999999998
REGION1,DEMINDDSL,CO2,2045,8.332026
REGION1,DEMINDDSL,CO2,2046,8.444404000000002
REGION1,DEMINDDSL,CO2,2047,8.556781999999998
REGION1,DEMINDDSL,CO2,2048,8.671254
REGION1,DEMINDDSL,CO2,2049,8.789216
REGION1,DEMINDDSL,CO2,2050,8.906479999999993
REGION1,DEMINDBIO,CO2,2021,13.008100000000002
REGION1,DEMINDBIO,CO2,2022,13.6997
REGION1,DEMINDBIO,CO2,2023,13.692700000000002
REGION1,DEMINDBIO,CO2,2024,13.991600000000002
REGION1,DEMINDBIO,CO2,2025,14.294700000000002
REGION1,DEMINDBIO,CO2,2026,14.665000000000004
REGION1,DEMINDBIO,CO2,2027,15.2019
REGION1,DEMINDBIO,CO2,2028,15.715699999999998
REGION1,DEMINDBIO,CO2,2029,16.417800000000003
REGION1,DEMINDBIO,CO2,2030,17.201800000000002
REGION1,DEMINDBIO,CO2,2031,17.39430000000001
REGION1,DEMINDBIO,CO2,2032,17.494400000000002
REGION1,DEMINDBIO,CO2,2033,17.6694
REGION1,DEMINDBIO,CO2,2034,17.859799999999996
REGION1,DEMINDBIO,CO2,2035,18.02290000000001
REGION1,DEMINDBIO,CO2,2036,18.1419
REGION1,DEMINDBIO,CO2,2037,18.2203
REGION1,DEMINDBIO,CO2,2038,18.268600000000006
REGION1,DEMINDBIO,CO2,2039,18.309899999999995
REGION1,DEMINDBIO,CO2,2040,18.355400000000003
REGION1,DEMINDBIO,CO2,2041,18.3932
REGION1,DEMINDBIO,CO2,2042,18.4296
REGION1,DEMINDBIO,CO2,2043,18.4681
REGION1,DEMINDBIO,CO2,2044,18.5192
REGION1,DEMINDBIO,CO2,2045,18.580800000000007
REGION1,DEMINDBIO,CO2,2046,18.6522
REGION1,DEMINDBIO,CO2,2047,18.719400000000004
REGION1,DEMINDBIO,CO2,2048,18.788
REGION1,DEMINDBIO,CO2,2049,18.867800000000003
REGION1,DEMINDBIO,CO2,2050,18.9497
REGION1,DEMINDNGS,CO2,2021,10.984011000000004
REGION1,DEMINDNGS,CO2,2022,11.527251
REGION1,DEMINDNGS,CO2,2023,11.915064000000005
REGION1,DEMINDNGS,CO2,2024,11.578054000000002
REGION1,DEMINDNGS,CO2,2025,12.677109000000002
REGION1,DEMINDNGS,CO2,2026,13.874248999999995
REGION1,DEMINDNGS,CO2,2027,13.443178
REGION1,DEMINDNGS,CO2,2028,13.006574000000004
REGION1,DEMINDNGS,CO2,2029,13.923040000000004
REGION1,DEMINDNGS,CO2,2030,14.957208
REGION1,DEMINDNGS,CO2,2031,14.897351000000006
REGION1,DEMINDNGS,CO2,2032,14.746954
REGION1,DEMINDNGS,CO2,2033,14.985376000000004
REGION1,DEMINDNGS,CO2,2034,15.237882000000004
REGION1,DEMINDNGS,CO2,2035,15.328422000000002
REGION1,DEMINDNGS,CO2,2036,15.347033
REGION1,DEMINDNGS,CO2,2037,15.296230000000005
REGION1,DEMINDNGS,CO2,2038,15.272589
REGION1,DEMINDNGS,CO2,2039,15.298745000000002
REGION1,DEMINDNGS,CO2,2040,15.362626000000002
REGION1,DEMINDNGS,CO2,2041,15.452663
REGION1,DEMINDNGS,CO2,2042,15.545215000000002
REGION1,DEMINDNGS,CO2,2043,15.646821000000005
REGION1,DEMINDNGS,CO2,2044,15.776092
REGION1,DEMINDNGS,CO2,2045,15.927998000000004
REGION1,DEMINDNGS,CO2,2046,16.096503000000002
REGION1,DEMINDNGS,CO2,2047,16.277080000000005
REGION1,DEMINDNGS,CO2,2048,16.468220000000002
REGION1,DEMINDNGS,CO2,2049,16.670426000000003
REGION1,DEMINDNGS,CO2,2050,16.880680000000005
REGION1,DEMRESBIO,CO2,2021,0.8267000000000002
REGION1,DEMRESBIO,CO2,2022,0.8484
REGION1,DEMRESBIO,CO2,2023,0.8505
REGION1,DEMRESBIO,CO2,2024,0.8673
REGION1,DEMRESBIO,CO2,2025,0.9114000000000002
REGION1,DEMRESBIO,CO2,2026,0.9548000000000002
REGION1,DEMRESBIO,CO2,2027,1.0213
REGION1,DEMRESBIO,CO2,2028,1.0864000000000005
REGION1,DEMRESBIO,CO2,2029,1.1725000000000003
REGION1,DEMRESBIO,CO2,2030,1.2565
REGION1,DEMRESBIO,CO2,2031,1.2439
REGION1,DEMRESBIO,CO2,2032,1.2334
REGION1,DEMRESBIO,CO2,2033,1.2243
REGION1,DEMRESBIO,CO2,2034,1.2166
REGION1,DEMRESBIO,CO2,2035,1.2096000000000005
REGION1,DEMRESBIO,CO2,2036,1.2033000000000005
REGION1,DEMRESBIO,CO2,2037,1.1969999999999998
REGION1,DEMRESBIO,CO2,2038,1.1914
REGION1,DEMRESBIO,CO2,2039,1.1857999999999995
REGION1,DEMRESBIO,CO2,2040,1.1802000000000004
REGION1,DEMRESBIO,CO2,2041,1.1760000000000004
REGION1,DEMRESBIO,CO2,2042,1.1725
REGION1,DEMRESBIO,CO2,2043,1.1704000000000003
REGION1,DEMRESBIO,CO2,2044,1.1697
REGION1,DEMRESBIO,CO2,2045,1.1696999999999995
REGION1,DEMRESBIO,CO2,2046,1.1704
REGION1,DEMRESBIO,CO2,2047,1.1725000000000003
REGION1,DEMRESBIO,CO2,2048,1.176
REGION1,DEMRESBIO,CO2,2049,1.1795000000000002
REGION1,DEMRESBIO,CO2,2050,1.1844000000000017
REGION1,DEMRESNGS,CO2,2021,3.684978000000001
REGION1,DEMRESNGS,CO2,2022,3.689002000000001
REGION1,DEMRESNGS,CO2,2023,3.6638520000000008
REGION1,DEMRESNGS,CO2,2024,3.5516830000000006
REGION1,DEMRESNGS,CO2,2025,3.4229150000000006
REGION1,DEMRESNGS,CO2,2026,3.295656
REGION1,DEMRESNGS,CO2,2027,3.1548160000000007
REGION1,DEMRESNGS,CO2,2028,3.018
REGION1,DEMRESNGS,CO2,2029,2.8676030000000003
REGION1,DEMRESNGS,CO2,2030,2.7232420000000013
REGION1,DEMRESNGS,CO2,2031,2.704128
REGION1,DEMRESNGS,CO2,2032,2.6905470000000005
REGION1,DEMRESNGS,CO2,2033,2.679984
REGION1,DEMRESNGS,CO2,2034,2.672942000000001
REGION1,DEMRESNGS,CO2,2035,2.6679120000000003
REGION1,DEMRESNGS,CO2,2036,2.6643910000000006
REGION1,DEMRESNGS,CO2,2037,2.6623790000000005
REGION1,DEMRESNGS,CO2,2038,2.66087
REGION1,DEMRESNGS,CO2,2039,2.6593610000000005
REGION1,DEMRESNGS,CO2,2040,2.659864
REGION1,DEMRESNGS,CO2,2041,2.6628820000000006
REGION1,DEMRESNGS,CO2,2042,2.668415
REGION1,DEMRESNGS,CO2,2043,2.676966
REGION1,DEMRESNGS,CO2,2044,2.6880320000000006
REGION1,DEMRESNGS,CO2,2045,2.7026190000000003
REGION1,DEMRESNGS,CO2,2046,2.7197210000000003
REGION1,DEMRESNGS,CO2,2047,2.7393380000000005
REGION1,DEMRESNGS,CO2,2048,2.7619730000000007
REGION1,DEMRESNGS,CO2,2049,2.787123
REGION1,DEMRESNGS,CO2,2050,2.814788000000001
REGION1,DEMRESRPP,CO2,2021,0.07293
REGION1,DEMRESRPP,CO2,2022,0.07149999999999997
REGION1,DEMRESRPP,CO2,2023,0.06863999999999999
REGION1,DEMRESRPP,CO2,2024,0.06435
REGION1,DEMRESRPP,CO2,2025,0.06149
REGION1,DEMRESRPP,CO2,2026,0.057915
REGION1,DEMRESRPP,CO2,2027,0.055770000000000014
REGION1,DEMRESRPP,CO2,2028,0.05290999999999999
REGION1,DEMRESRPP,CO2,2029,0.050765000000000005
REGION1,DEMRESRPP,CO2,2030,0.04862
REGION1,DEMRESRPP,CO2,2031,0.046475
REGION1,DEMRESRPP,CO2,2032,0.04504500000000001
REGION1,DEMRESRPP,CO2,2033,0.04433
REGION1,DEMRESRPP,CO2,2034,0.0429
REGION1,DEMRESRPP,CO2,2035,0.04146999999999999
REGION1,DEMRESRPP,CO2,2036,0.04075499999999999
REGION1,DEMRESRPP,CO2,2037,0.04004
REGION1,DEMRESRPP,CO2,2038,0.039325000000000006
REGION1,DEMRESRPP,CO2,2039,0.037895
REGION1,DEMRESRPP,CO2,2040,0.03718
REGION1,DEMRESRPP,CO2,2041,0.036465
REGION1,DEMRESRPP,CO2,2042,0.036465
