REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRBIOB01,2021,2.43
REGION1,PWRBIOB01,2022,2.43
REGION1,PWRBIOB01,2023,2.43
REGION1,PWRBIOB01,2024,2.43
REGION1,PWRBIOB01,2025,2.43
REGION1,PWRBIOB01,2026,2.43
REGION1,PWRBIOB01,2027,0.7789214937974398
REGION1,PWRBIOB01,2028,0.7789214937974398
REGION1,PWRBIOB01,2029,0.057089825739834926
REGION1,PWRBIOB02,2021,88.17200000000001
REGION1,PWRBIOB02,2022,88.17200000000001
REGION1,PWRBIOB02,2023,88.172
REGION1,PWRBIOB02,2024,82.24999999999997
REGION1,PWRBIOB02,2025,82.25
REGION1,PWRBIOB02,2026,82.25
REGION1,PWRBIOB02,2027,82.24999999999999
REGION1,PWRBIOB02,2028,82.25
REGION1,PWRBIOB02,2029,82.25000000000003
REGION1,PWRBIOB02,2030,82.24999999999999
REGION1,PWRBIOB02,2031,82.24999999999999
REGION1,PWRBIOB02,2032,82.25
REGION1,PWRBIOB02,2033,82.24999999999999
REGION1,PWRBIOB02,2034,82.24999999999999
REGION1,PWRBIOB02,2035,82.25
REGION1,PWRBIOB02,2036,24.634892322002564
REGION1,PWRBIOB02,2037,24.634892322002607
REGION1,PWRBIOB02,2038,24.634892322002564
REGION1,PWRBIOB02,2039,23.774114251060222
REGION1,PWRBIOB02,2040,19.6140518029027
REGION1,PWRBIOB02,2041,15.40242174021762
REGION1,PWRBIOB02,2042,10.592462409917838
REGION1,PWRBIOB02,2043,5.052340297197032
REGION1,PWRBIOB02,2044,4.421594564753758
REGION1,PWRBIOB02,2045,3.959591036474883
REGION1,PWRHYDB01,2021,0.20404829613524367
REGION1,PWRHYDB01,2022,0.21728030959821415
REGION1,PWRHYDB01,2023,0.2282234818092665
REGION1,PWRHYDB01,2024,0.23760112379463533
REGION1,PWRHYDB01,2025,0.2329300104281277
REGION1,PWRHYDB01,2026,0.24312427456681548
REGION1,PWRHYDB01,2027,0.2478977141058336
REGION1,PWRHYDB01,2028,0.2512014555799864
REGION1,PWRHYDB01,2029,0.26272205962625206
REGION1,PWRHYDB01,2030,0.26766279049542907
REGION1,PWRHYDB01,2031,0.25630711088364544
REGION1,PWRHYDB01,2032,0.25997643457939806
REGION1,PWRHYDB01,2033,0.2609527915642139
REGION1,PWRHYDB01,2034,0.26044452668530865
REGION1,PWRHYDB01,2035,0.2567050151651196
REGION1,PWRHYDB01,2036,0.2623664339741315
REGION1,PWRHYDB01,2037,0.25443983237045714
REGION1,PWRHYDB01,2038,0.2540083055731482
REGION1,PWRHYDB01,2039,0.2596997307832829
REGION1,PWRHYDB01,2040,0.26248191100121926
REGION1,PWRHYDB01,2041,0.2644036906876245
REGION1,PWRHYDB01,2042,0.26348297923020464
REGION1,PWRHYDB01,2043,0.25294863477225094
REGION1,PWRHYDB01,2044,0.2584561254679872
REGION1,PWRHYDB01,2045,0.2702100360104203
REGION1,PWRHYDB01,2046,0.25779962647313415
REGION1,PWRHYDB01,2047,0.25924931391938627
REGION1,PWRHYDB01,2048,0.2617381799963591
REGION1,PWRHYDB01,2049,0.2674975138678266
REGION1,PWRHYDB01,2050,0.26376887344379646
REGION1,PWRHYDB02,2022,0.022857865370294852
REGION1,PWRHYDB02,2023,0.047070143259771935
REGION1,PWRHYDB02,2024,0.05203735418216221
REGION1,PWRHYDB02,2025,0.0497017331482599
REGION1,PWRHYDB02,2026,0.06547913936593323
REGION1,PWRHYDB02,2027,0.09248814244990883
REGION1,PWRHYDB02,2028,0.09248814244990883
REGION1,PWRHYDB02,2029,0.10921432891440214
REGION1,PWRHYDB02,2030,0.17186771808200996
REGION1,PWRHYDB02,2031,0.3565631255540468
REGION1,PWRHYDB02,2032,0.4233240970743928
REGION1,PWRHYDB02,2033,0.5196455867007281
REGION1,PWRHYDB02,2034,0.560548546457524
REGION1,PWRHYDB02,2035,0.6662031985837483
REGION1,PWRHYDB02,2036,0.682024562748835
REGION1,PWRHYDB02,2037,0.8231348730861529
REGION1,PWRHYDB02,2038,0.8859913122540048
REGION1,PWRHYDB02,2039,0.8859913122540048
REGION1,PWRHYDB02,2040,0.8859913122540048
REGION1,PWRHYDB02,2041,0.8859913122540048
REGION1,PWRHYDB02,2042,0.8859913122540048
REGION1,PWRHYDB02,2043,0.8859913122540048
REGION1,PWRHYDB02,2044,0.8859913122540048
REGION1,PWRHYDB02,2045,0.8859913122540048
REGION1,PWRHYDB02,2046,0.8859913122540048
REGION1,PWRHYDB02,2047,0.8859913122540048
REGION1,PWRHYDB02,2048,0.8859913122540048
