REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMINDDSL,2021,0.03056508683220278
REGION1,DEMINDDSL,2022,0.030368486003942947
REGION1,DEMINDDSL,2023,0.0312183089390016
REGION1,DEMINDDSL,2024,0.031900069875709085
REGION1,DEMINDDSL,2025,0.032556462963608875
REGION1,DEMINDDSL,2026,0.033111384656277776
REGION1,DEMINDDSL,2027,0.0329908873744411
REGION1,DEMINDDSL,2028,0.03285453518709961
REGION1,DEMINDDSL,2029,0.033536296123807104
REGION1,DEMINDDSL,2030,0.03422439902271654
REGION1,DEMINDDSL,2031,0.0344812484918947
REGION1,DEMINDDSL,2032,0.034474906529692775
REGION1,DEMINDDSL,2033,0.034738097961072884
REGION1,DEMINDDSL,2034,0.035001289392452985
REGION1,DEMINDDSL,2035,0.03519154825851089
REGION1,DEMINDDSL,2036,0.03533741338915529
REGION1,DEMINDDSL,2037,0.035457910670991966
REGION1,DEMINDDSL,2038,0.03556889500952574
REGION1,DEMINDDSL,2039,0.035733786026775925
REGION1,DEMINDDSL,2040,0.035974780590449285
REGION1,DEMINDDSL,2041,0.03626968183283903
REGION1,DEMINDDSL,2042,0.03658995092403652
REGION1,DEMINDDSL,2043,0.036954613750647514
REGION1,DEMINDDSL,2044,0.03737001227487393
REGION1,DEMINDDSL,2045,0.03785200140222064
REGION1,DEMINDDSL,2046,0.03836252935947602
REGION1,DEMINDDSL,2047,0.038873057316731394
REGION1,DEMINDDSL,2048,0.03939309821728968
REGION1,DEMINDDSL,2049,0.03992899402335279
REGION1,DEMINDDSL,2050,0.04046171884831491
REGION1,DEMINDBIO,2021,0.05892634179923482
REGION1,DEMINDBIO,2022,0.06205927112698835
REGION1,DEMINDBIO,2023,0.0620275613159787
REGION1,DEMINDBIO,2024,0.06573071663619896
REGION1,DEMINDBIO,2025,0.06528981825435029
REGION1,DEMINDBIO,2026,0.06914376202132486
REGION1,DEMINDBIO,2027,0.06902055050284052
REGION1,DEMINDBIO,2028,0.0735662726898144
REGION1,DEMINDBIO,2029,0.07437219074203592
REGION1,DEMINDBIO,2030,0.07858107462188497
REGION1,DEMINDBIO,2031,0.08013784945011644
REGION1,DEMINDBIO,2032,0.0803886921472711
REGION1,DEMINDBIO,2033,0.08090998812679803
REGION1,DEMINDBIO,2034,0.0821493320205149
REGION1,DEMINDBIO,2035,0.08633168717625918
REGION1,DEMINDBIO,2036,0.0828313264502236
REGION1,DEMINDBIO,2037,0.08592094454260675
REGION1,DEMINDBIO,2038,0.08521244464813518
REGION1,DEMINDBIO,2039,0.0847670819479309
