REGION,TECHNOLOGY,YEAR,VALUE
REGION1,PWRWNDB13,2032,6.050769663809668
REGION1,PWRWNDB14,2032,4.381591825517347
REGION1,PWRWNDB15,2032,4.8970732167546815
REGION1,PWRWNDB16,2032,4.307951626769157
REGION1,PWRWNDB17,2032,6.050769663809668
REGION1,PWRWNDB18,2032,2.88424111763747
REGION1,PWRWNDB19,2032,6.136683229015893
REGION1,PWRWNDB21,2039,1.8163879277128545
REGION1,PWRWNDB21,2040,33.053402258967736
REGION1,PWRWNDB21,2041,40.6944323747696
REGION1,PWRWNDB21,2042,75.4518455171098
REGION1,PWRWNDB21,2043,193.01379609263023
REGION1,PWRWNDB21,2044,23.581004297625263
REGION1,PWRWNDB23,2033,13.773248780912493
REGION1,PWRWNDB25,2033,0.467715820673917
REGION1,PWRWNDB25,2034,18.493743477537823
REGION1,PWRWNDB25,2036,66.98016148810838
REGION1,PWRWNDB25,2045,103.10054197936984
REGION1,PWRWNDB25,2046,286.5288063690816
REGION1,PWRWNDB25,2047,62.27395059271159
REGION1,PWRWNDB25,2048,154.9724695920389
REGION1,BATTERY_STORAGE,2027,632.8835688998447
REGION1,BATTERY_STORAGE,2028,959.1387671534627
REGION1,BATTERY_STORAGE,2029,3860.941356596282
REGION1,BATTERY_STORAGE,2030,3640.4809149009034
REGION1,BATTERY_STORAGE,2031,3782.519186192103
REGION1,BATTERY_STORAGE,2032,5925.079344651672
REGION1,BATTERY_STORAGE,2033,6600.914484934754
REGION1,BATTERY_STORAGE,2034,4250.313066960616
REGION1,BATTERY_STORAGE,2035,4309.545305488359
REGION1,BATTERY_STORAGE,2036,4534.685255669156
REGION1,BATTERY_STORAGE,2037,4570.246317256235
REGION1,BATTERY_STORAGE,2038,4597.4594755194175
REGION1,BATTERY_STORAGE,2039,4911.474018822648
REGION1,BATTERY_STORAGE,2040,5892.7914753077575
REGION1,BATTERY_STORAGE,2041,5757.770250318726
REGION1,BATTERY_STORAGE,2042,6464.465379638725
REGION1,BATTERY_STORAGE,2043,7742.057680302633
REGION1,BATTERY_STORAGE,2044,5720.682346991621
REGION1,BATTERY_STORAGE,2045,7006.380618085541
REGION1,BATTERY_STORAGE,2046,8168.192303220479
REGION1,BATTERY_STORAGE,2047,5426.374254811224
REGION1,BATTERY_STORAGE,2048,5687.660978005821
REGION1,BATTERY_STORAGE,2049,5987.6553188562575
REGION1,BATTERY_STORAGE,2050,8179.409517351159
REGION1,MINNGS,2021,0.0298072600466245
REGION1,MINNGS,2022,0.0008269150765239958
REGION1,MINNGS,2034,0.00016607105464210044
REGION1,MINNGS,2035,0.00011070076024096524
REGION1,MINNGS,2036,5.865345802289909e-06
REGION1,MINNGS,2041,9.974067695426515e-05
REGION1,MINNGS,2042,0.00014008419311849112
REGION1,MINNGS,2043,0.00016356181657519345
REGION1,MINNGS,2044,0.00021198014581021128
REGION1,MINNGS,2045,0.0002530671380777697
REGION1,MINNGS,2046,0.0002860880120485351
REGION1,MINNGS,2047,0.00031397591848090974
REGION1,MINNGS,2048,0.0003381973332264
REGION1,MINNGS,2049,0.0003602190141245709
REGION1,MINNGS,2050,0.0003807743011311748
REGION1,LNDALFHIBC1,2039,1.5821467786798835
REGION1,LNDALFHIBC1,2040,0.08028162503112368
REGION1,LNDALFHIBC1,2041,0.07392298297256748
REGION1,LNDALFHIBC1,2047,1.386972328970411
REGION1,LNDALFHIBC1,2048,1.1166602828957135
REGION1,LNDALFHIBC1,2049,0.8538341339074712
REGION1,LNDALFHIBC1,2050,0.8959050390029435
REGION1,LNDMAIHIBC1,2037,0.023287662711090045
REGION1,LNDMAIHIBC1,2038,0.5764045872937509
REGION1,LNDMAIHIBC1,2039,0.031049519095450277
REGION1,LNDMAIHIBC1,2040,0.016778934044367116
REGION1,LNDMAIHIBC1,2041,0.10734821192632872
REGION1,LNDMAIHIBC1,2042,0.05800703444419809
REGION1,LNDMAIHIBC1,2043,0.18222026259514537
REGION1,LNDMAIHIBC1,2044,0.14599945796560004
REGION1,LNDMAIHIBC1,2045,0.0889738603341256
REGION1,LNDMAIHIBC1,2046,0.1916648991356573
REGION1,LNDMAIHIBC1,2047,0.07416565916090341
REGION1,LNDMAIHIBC1,2048,0.15288752296104627
REGION1,LNDMAIHIBC1,2049,0.09661815061582148
REGION1,LNDMAIHIBC1,2050,0.17941227488825373
REGION1,LNDOATHIBC1,2037,0.00018359925148059045
REGION1,LNDOATHIBC1,2038,0.00035845568146210087
REGION1,LNDOATHIBC1,2039,0.0010499712295556482
REGION1,LNDOATHIBC1,2040,0.0006835855512689801
REGION1,LNDOATHIBC1,2041,0.04659144073756171
REGION1,LNDOATHIBC1,2042,0.003857802583895975
REGION1,LNDOATHIBC1,2043,0.005668235504792514
REGION1,LNDOATHIBC1,2044,0.0063312561291817724
REGION1,LNDOATHIBC1,2045,0.005402331832343292
REGION1,LNDOATHIBC1,2046,0.0060754936032462814
REGION1,LNDOATHIBC1,2047,0.009515935494315585
REGION1,LNDOATHIBC1,2048,0.006973643762062133
REGION1,LNDOATHIBC1,2049,0.007139627396887406
REGION1,LNDOATHIBC1,2050,0.0096965446528292
REGION1,LNDOTHHIBC1,2037,0.003365986277144125
REGION1,LNDOTHHIBC1,2038,0.005257349994777492
REGION1,LNDOTHHIBC1,2039,0.009624736270926852
REGION1,LNDOTHHIBC1,2040,0.010025921418611977
REGION1,LNDOTHHIBC1,2041,0.01530160701358678
REGION1,LNDOTHHIBC1,2042,0.014351156270162502
REGION1,LNDOTHHIBC1,2043,0.024540835347090385
REGION1,LNDOTHHIBC1,2044,0.01827427178177247
REGION1,LNDOTHHIBC1,2045,0.02512107173163575
REGION1,LNDOTHHIBC1,2046,0.0272908164977499
REGION1,LNDOTHHIBC1,2047,0.3869887842906225
REGION1,LNDOTHHIBC1,2048,0.670547984836511
REGION1,LNDOTHHIBC1,2049,0.7106693677755457
REGION1,LNDOTHHIBC1,2050,0.7488802086698634
REGION1,LNDPEAHIBC1,2037,0.0005385578043430567
REGION1,LNDPEAHIBC1,2038,0.011934693073365808
REGION1,LNDPEAHIBC1,2039,0.0038812229291373527
REGION1,LNDPEAHIBC1,2040,0.002953716088175023
REGION1,LNDPEAHIBC1,2041,0.003722192261792785
REGION1,LNDPEAHIBC1,2042,0.007233969223608688
REGION1,LNDPEAHIBC1,2043,0.004974733881750833
REGION1,LNDPEAHIBC1,2044,0.0092114891068431
REGION1,LNDPEAHIBC1,2045,0.006110826054048435
REGION1,LNDPEAHIBC1,2046,0.006638627295533886
REGION1,LNDPEAHIBC1,2047,0.011616259309814985
REGION1,LNDPEAHIBC1,2048,0.0076200264293617885
REGION1,LNDPEAHIBC1,2049,0.013387892131317542
REGION1,LNDPEAHIBC1,2050,0.008510184373876963
REGION1,LNDPTWHIBC1,2037,8.503544279100922e-07
REGION1,LNDPTWHIBC1,2040,3.1660804479827047e-06
REGION1,LNDPTWHIBC1,2044,5.7708226679282575e-06
REGION1,LNDPTWHIBC1,2047,7.416565916090411e-06
REGION1,LNDPTWHIBC1,2050,0.00014141153298211526
REGION1,LNDRAPHIBC1,2037,0.00021833424500394572
REGION1,LNDRAPHIBC1,2038,0.0008525432423963338
REGION1,LNDRAPHIBC1,2039,0.0006243072175736281
REGION1,LNDRAPHIBC1,2040,0.0016258250949100525
REGION1,LNDRAPHIBC1,2041,0.0019850733423031736
REGION1,LNDRAPHIBC1,2042,0.0011636072651483246
REGION1,LNDRAPHIBC1,2043,0.10505816108516014
REGION1,LNDRAPHIBC1,2044,0.009557462509671185
REGION1,LNDRAPHIBC1,2045,0.008691069454829703
REGION1,LNDRAPHIBC1,2046,0.009648284442878024
REGION1,LNDRAPHIBC1,2047,0.012060898609086473
REGION1,LNDRAPHIBC1,2048,0.011074606116567407
REGION1,LNDRAPHIBC1,2049,0.011485965600346903
REGION1,LNDRAPHIBC1,2050,0.014637594831397965
REGION1,LNDRYEHIBC1,2050,0.003598418473205612
REGION1,LNDWHEHRBC1,2037,9.424761576003624e-05
REGION1,LNDWHEHRBC1,2038,0.00018400724981721195
REGION1,LNDWHEHRBC1,2039,0.00026949261558594206
REGION1,LNDWHEHRBC1,2040,0.0003509072496514328
REGION1,LNDWHEHRBC1,2041,0.0004284449963804376
REGION1,LNDWHEHRBC1,2042,0.0005022904694556912
REGION1,LNDWHEHRBC1,2044,0.0006395995123620576
REGION1,LNDWHEHRBC1,2045,0.0007033900084857897
REGION1,LNDWHEHRBC1,2046,0.0007641428619369853
REGION1,LNDWHEHRBC1,2047,0.0008220027223666877
REGION1,LNDWHEHRBC1,2048,0.0008771073513473
