REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,1,BATTERY_STORAGE,ELCB02,2042,0.49206220076260165
REGION1,1,BATTERY_STORAGE,ELCB02,2043,1.4297649701840158
REGION1,1,BATTERY_STORAGE,ELCB02,2044,2.0312133713029157
REGION1,1,BATTERY_STORAGE,ELCB02,2045,2.7854835238196274
REGION1,1,BATTERY_STORAGE,ELCB02,2046,3.6665159500427547
REGION1,1,BATTERY_STORAGE,ELCB02,2047,4.1489714307447985
REGION1,1,BATTERY_STORAGE,ELCB02,2048,4.6415248168569
REGION1,1,BATTERY_STORAGE,ELCB02,2049,5.147542076849056
REGION1,1,BATTERY_STORAGE,ELCB02,2050,5.664779231741262
REGION1,1,CCS01,CO2CCS,2026,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2027,0.5702399999999983
REGION1,1,CCS01,CO2CCS,2028,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2029,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2030,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2031,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2032,0.5702399999999983
REGION1,1,CCS01,CO2CCS,2033,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2034,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2035,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2036,0.5702399999999983
REGION1,1,CCS01,CO2CCS,2037,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2038,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2039,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2040,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2041,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2042,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2043,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2044,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2045,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2046,0.5702399999999983
REGION1,1,CCS01,CO2CCS,2047,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2048,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2049,0.5702399999999995
REGION1,1,CCS01,CO2CCS,2050,0.5702399999999995
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2021,0.167707091031439
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2022,0.20053598493985933
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2023,0.06036271417285053
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2025,0.21000924864136505
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2026,0.1800249951024994
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2027,0.1751664197400956
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2028,0.20138549352512983
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2029,0.15493133061752315
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2030,0.21920474546370053
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2032,0.21975667929853177
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2034,0.2438073399196895
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2035,0.20447200831899012
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2036,0.19469432288920563
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2037,0.20172314171124175
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2039,0.24916872247000812
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2041,0.1842026304728672
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2042,0.1925002748394796
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2044,0.2016010283262473
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2045,0.19391275499916907
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2047,0.19045674148289482
REGION1,1,DEMAGRGWTBC1,AGRWATBC1,2048,0.1383812913162255
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2024,0.16521368089777888
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2031,0.20882576840215403
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2033,0.1827296653583758
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2036,0.04624360757718367
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2038,0.23585936018622664
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2040,0.1527940564972668
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2043,0.18970401679552581
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2046,0.143608010123491
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2048,0.053648700166540705
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2049,0.1454502831645909
REGION1,1,DEMAGRSURBC1,AGRWATBC1,2050,0.05489731284975438
REGION1,1,DEMCOMBIO,COMBIO,2021,0.0687123699945452
REGION1,1,DEMCOMBIO,COMBIO,2022,0.10849321578086085
REGION1,1,DEMCOMBIO,COMBIO,2023,0.14736995143566933
REGION1,1,DEMCOMBIO,COMBIO,2024,0.23494844327018188
REGION1,1,DEMCOMBIO,COMBIO,2025,0.38182715559987
REGION1,1,DEMCOMBIO,COMBIO,2026,0.43487697325495067
REGION1,1,DEMCOMBIO,COMBIO,2027,0.5759181537700697
