REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,1,PWRBIOB01,1,2021,0.693792
REGION1,2,PWRBIOB01,1,2021,0.693792
REGION1,5,PWRBIOB01,1,2021,0.693792
REGION1,6,PWRBIOB01,1,2021,0.693792
REGION1,8,PWRBIOB01,1,2021,0.3431695933342012
REGION1,2,PWRBIOB01,1,2022,0.1750963560805655
REGION1,4,PWRBIOB01,1,2022,0.693792
REGION1,5,PWRBIOB01,1,2022,0.693792
REGION1,8,PWRBIOB01,1,2022,0.693792
REGION1,3,PWRBIOB01,1,2023,0.41048243300579074
REGION1,5,PWRBIOB01,1,2023,0.693792
REGION1,6,PWRBIOB01,1,2023,0.693792
REGION1,8,PWRBIOB01,1,2023,0.693792
REGION1,5,PWRBIOB01,1,2024,0.693792
REGION1,6,PWRBIOB01,1,2024,0.693792
REGION1,7,PWRBIOB01,1,2024,0.23269476289917607
REGION1,8,PWRBIOB01,1,2024,0.693792
REGION1,1,PWRBIOB01,1,2025,0.662256
REGION1,4,PWRBIOB01,1,2025,0.012562148276710577
REGION1,5,PWRBIOB01,1,2025,0.662256
REGION1,6,PWRBIOB01,1,2025,0.662256
REGION1,8,PWRBIOB01,1,2025,0.662256
REGION1,1,PWRBIOB01,1,2026,0.662256
REGION1,2,PWRBIOB01,1,2026,0.662256
REGION1,5,PWRBIOB01,1,2026,0.662256
REGION1,6,PWRBIOB01,1,2026,0.662256
REGION1,8,PWRBIOB01,1,2026,0.3909758689605149
REGION1,5,PWRBIOB01,1,2027,0.662256
REGION1,6,PWRBIOB01,1,2027,0.662256
REGION1,5,PWRBIOB01,1,2028,0.662256
REGION1,6,PWRBIOB01,1,2028,0.662256
REGION1,6,PWRBIOB01,1,2029,0.09707802374495056
REGION1,1,PWRBIOB02,1,2021,12.56005268223942
REGION1,2,PWRBIOB02,1,2021,12.56005268223942
REGION1,3,PWRBIOB02,1,2021,13.253844682239428
REGION1,4,PWRBIOB02,1,2021,13.253844682239428
REGION1,5,PWRBIOB02,1,2021,13.137712229701814
REGION1,6,PWRBIOB02,1,2021,18.12766417934434
REGION1,7,PWRBIOB02,1,2021,13.253844682239336
REGION1,8,PWRBIOB02,1,2021,12.910675088905217
REGION1,1,PWRBIOB02,1,2022,13.466861636533087
REGION1,2,PWRBIOB02,1,2022,13.291765280452534
REGION1,3,PWRBIOB02,1,2022,13.466861636533096
REGION1,4,PWRBIOB02,1,2022,12.773069636533112
REGION1,5,PWRBIOB02,1,2022,12.773069636533132
REGION1,6,PWRBIOB02,1,2022,16.678125729795152
REGION1,7,PWRBIOB02,1,2022,13.46686163653311
REGION1,8,PWRBIOB02,1,2022,12.773069636533112
REGION1,1,PWRBIOB02,1,2023,13.943301275470484
REGION1,2,PWRBIOB02,1,2023,13.943301275470516
REGION1,3,PWRBIOB02,1,2023,13.532818842464724
REGION1,4,PWRBIOB02,1,2023,13.943301275470512
REGION1,5,PWRBIOB02,1,2023,13.24950927547048
REGION1,6,PWRBIOB02,1,2023,9.898491896093091
REGION1,7,PWRBIOB02,1,2023,13.943301275470455
REGION1,8,PWRBIOB02,1,2023,13.249509275470482
REGION1,1,PWRBIOB02,1,2024,9.79407438858392
REGION1,2,PWRBIOB02,1,2024,9.794074388583917
REGION1,3,PWRBIOB02,1,2024,9.794074388583905
REGION1,4,PWRBIOB02,1,2024,9.79407438858391
REGION1,5,PWRBIOB02,1,2024,29.80152
REGION1,6,PWRBIOB02,1,2024,29.80152
REGION1,7,PWRBIOB02,1,2024,9.561379625684738
REGION1,8,PWRBIOB02,1,2024,9.100282388583917
REGION1,1,PWRBIOB02,1,2025,14.81811623748698
REGION1,4,PWRBIOB02,1,2025,15.467810089210294
REGION1,5,PWRBIOB02,1,2025,29.801520000000004
REGION1,6,PWRBIOB02,1,2025,29.80152
REGION1,7,PWRBIOB02,1,2025,15.480372237487002
REGION1,8,PWRBIOB02,1,2025,7.522274321686022
REGION1,1,PWRBIOB02,1,2026,9.137175465838084
REGION1,2,PWRBIOB02,1,2026,9.137175465838084
REGION1,3,PWRBIOB02,1,2026,9.799431465838094
REGION1,4,PWRBIOB02,1,2026,9.799431465838094
REGION1,5,PWRBIOB02,1,2026,29.80152
REGION1,6,PWRBIOB02,1,2026,29.80152
REGION1,7,PWRBIOB02,1,2026,9.799431465838088
REGION1,8,PWRBIOB02,1,2026,9.40845559687756
REGION1,1,PWRBIOB02,1,2027,9.560968335987383
REGION1,2,PWRBIOB02,1,2027,9.560968335987383
REGION1,3,PWRBIOB02,1,2027,9.560968335987383
REGION1,4,PWRBIOB02,1,2027,9.560968335987383
REGION1,5,PWRBIOB02,1,2027,29.80152
REGION1,6,PWRBIOB02,1,2027,29.80152
REGION1,7,PWRBIOB02,1,2027,9.560968335987383
REGION1,8,PWRBIOB02,1,2027,9.560968335987383
REGION1,1,PWRBIOB02,1,2028,29.80152
REGION1,2,PWRBIOB02,1,2028,29.80152
REGION1,3,PWRBIOB02,1,2028,4.13056910131588
REGION1,4,PWRBIOB02,1,2028,4.130569101315753
REGION1,5,PWRBIOB02,1,2028,29.80152
REGION1,6,PWRBIOB02,1,2028,29.80152
REGION1,7,PWRBIOB02,1,2028,4.1305691013157615
REGION1,8,PWRBIOB02,1,2028,4.1305691013157615
REGION1,1,PWRBIOB02,1,2029,19.779255503245224
REGION1,2,PWRBIOB02,1,2029,19.77925550324525
REGION1,3,PWRBIOB02,1,2029,19.779255503245277
REGION1,4,PWRBIOB02,1,2029,19.779255503245277
REGION1,5,PWRBIOB02,1,2029,26.678210319986444
REGION1,6,PWRBIOB02,1,2029,29.80152
REGION1,1,PWRBIOB02,1,2030,18.93110965962445
REGION1,2,PWRBIOB02,1,2030,18.93110965962445
REGION1,3,PWRBIOB02,1,2030,18.93110965962445
REGION1,4,PWRBIOB02,1,2030,18.93110965962445
REGION1,5,PWRBIOB02,1,2030,25.957697119675505
REGION1,6,PWRBIOB02,1,2030,28.714935837546108
REGION1,8,PWRBIOB02,1,2030,2.284728854873449
REGION1,1,PWRBIOB02,1,2031,25.415061965997296
REGION1,2,PWRBIOB02,1,2031,21.552261449845307
REGION1,3,PWRBIOB02,1,2031,12.855673836586044
REGION1,4,PWRBIOB02,1,2031,12.855673836586028
REGION1,5,PWRBIOB02,1,2031,25.4150619659973
REGION1,6,PWRBIOB02,1,2031,25.415061965997296
REGION1,8,PWRBIOB02,1,2031,6.642350318201848
REGION1,1,PWRBIOB02,1,2032,28.76387435396336
REGION1,2,PWRBIOB02,1,2032,11.915297968203914
REGION1,3,PWRBIOB02,1,2032,8.965048590664177
REGION1,4,PWRBIOB02,1,2032,8.965048590664066
REGION1,5,PWRBIOB02,1,2032,14.506854145827544
REGION1,6,PWRBIOB02,1,2032,23.783231793585745
REGION1,7,PWRBIOB02,1,2032,8.965048590664153
REGION1,8,PWRBIOB02,1,2032,8.965048590664153
REGION1,1,PWRBIOB02,1,2033,29.738448
REGION1,2,PWRBIOB02,1,2033,14.758717195778091
REGION1,3,PWRBIOB02,1,2033,8.353893557558905
REGION1,4,PWRBIOB02,1,2033,8.353893557559052
REGION1,5,PWRBIOB02,1,2033,13.608378480442482
REGION1,6,PWRBIOB02,1,2033,25.60058273875911
REGION1,7,PWRBIOB02,1,2033,8.353893557559063
