REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,1,BATTERY_STORAGE,57,ELCB02,2042,5.4425061599499935
REGION1,1,BATTERY_STORAGE,57,ELCB02,2043,15.814067094459585
REGION1,1,BATTERY_STORAGE,57,ELCB02,2044,22.46645092501712
REGION1,1,BATTERY_STORAGE,57,ELCB02,2045,30.809135945277728
REGION1,1,BATTERY_STORAGE,57,ELCB02,2046,40.55388853835172
REGION1,1,BATTERY_STORAGE,57,ELCB02,2047,45.89013855217736
REGION1,1,BATTERY_STORAGE,57,ELCB02,2048,51.33807751978092
REGION1,1,BATTERY_STORAGE,57,ELCB02,2049,56.93493509242143
REGION1,1,BATTERY_STORAGE,57,ELCB02,2050,62.655891502592816
REGION1,1,CCS01,1,CO2CCS,2026,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2027,6.307199999999988
REGION1,1,CCS01,1,CO2CCS,2028,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2029,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2030,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2031,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2032,6.307199999999988
REGION1,1,CCS01,1,CO2CCS,2033,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2034,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2035,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2036,6.307199999999988
REGION1,1,CCS01,1,CO2CCS,2037,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2038,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2039,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2040,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2041,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2042,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2043,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2044,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2045,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2046,6.307199999999988
REGION1,1,CCS01,1,CO2CCS,2047,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2048,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2049,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2050,6.307200000000001
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2021,1.8549420674689483
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2022,2.218049530395416
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2023,0.6676482022148627
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2025,2.32282956830601
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2026,1.991185551891283
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2027,1.9374467637919688
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2028,2.227445610202196
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2029,1.7136344144059397
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2030,2.4245373361894176
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2032,2.4306420589080053
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2034,2.6966569415359625
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2035,2.2615843344373174
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2036,2.153437207713943
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2037,2.231180203775858
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2039,2.7559570818652444
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2041,2.0373927309877757
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2042,2.1291697065578825
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2044,2.229829555729707
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2045,2.14479259317263
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2047,2.10656698912899
REGION1,1,DEMAGRGWTBC1,1,AGRWATBC1,2048,1.5305809494067384
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2024,1.8273634402330108
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2031,2.309739559599585
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2033,2.0211008441153706
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2036,0.5114823262324866
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2038,2.608747468726449
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2040,1.6899948673182557
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2043,2.098241397889909
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2046,1.5883916271234628
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2048,0.5933871382056781
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2049,1.6087682834871435
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2050,0.6071975512169809
REGION1,1,DEMCOMBIO,1,COMBIO,2021,0.7600004560002735
REGION1,1,DEMCOMBIO,1,COMBIO,2022,1.200000720000432
REGION1,1,DEMCOMBIO,1,COMBIO,2023,1.6300009780005866
REGION1,1,DEMCOMBIO,1,COMBIO,2024,2.5986721755641358
REGION1,1,DEMCOMBIO,1,COMBIO,2025,4.2232397513319
REGION1,1,DEMCOMBIO,1,COMBIO,2026,4.810002886001732
REGION1,1,DEMCOMBIO,1,COMBIO,2027,6.3700038220022925
REGION1,1,DEMCOMBIO,1,COMBIO,2028,8.46455459675455
REGION1,1,DEMCOMBIO,1,COMBIO,2029,11.417955671190956
REGION1,1,DEMCOMBIO,1,COMBIO,2030,11.6600069960042
REGION1,1,DEMCOMBIO,1,COMBIO,2031,12.665069167548753
REGION1,1,DEMCOMBIO,1,COMBIO,2035,11.644390195676715
REGION1,1,DEMCOMBIO,1,COMBIO,2036,11.508087237213616
REGION1,1,DEMCOMBIO,1,COMBIO,2037,11.180006708004026
REGION1,1,DEMCOMBIO,1,COMBIO,2038,11.150006690004014
REGION1,1,DEMCOMBIO,1,COMBIO,2040,11.110006666004
REGION1,1,DEMCOMBIO,1,COMBIO,2041,11.100006660004002
REGION1,1,DEMCOMBIO,1,COMBIO,2042,11.090006654003991
REGION1,1,DEMCOMBIO,1,COMBIO,2043,11.100006660003997
REGION1,1,DEMCOMBIO,1,COMBIO,2044,11.120006672004
REGION1,1,DEMCOMBIO,1,COMBIO,2045,11.140006684004012
REGION1,1,DEMCOMBIO,1,COMBIO,2046,11.180006708004024
REGION1,1,DEMCOMBIO,1,COMBIO,2047,11.230006738004043
REGION1,1,DEMCOMBIO,1,COMBIO,2048,11.300006780004075
REGION1,1,DEMCOMBIO,1,COMBIO,2049,11.360006816004088
REGION1,1,DEMCOMBIO,1,COMBIO,2050,11.450006870004124
REGION1,1,DEMCOMELCB02,1,COMELCB02,2021,65.8096135425999
REGION1,1,DEMCOMELCB02,1,COMELCB02,2022,70.79838681133933
REGION1,1,DEMCOMELCB02,1,COMELCB02,2023,73.7643490283262
REGION1,1,DEMCOMELCB02,1,COMELCB02,2024,75.92366880136265
REGION1,1,DEMCOMELCB02,1,COMELCB02,2025,78.00852927188062
REGION1,1,DEMCOMELCB02,1,COMELCB02,2026,80.26712811494177
REGION1,1,DEMCOMELCB02,1,COMELCB02,2027,82.61259614427446
REGION1,1,DEMCOMELCB02,1,COMELCB02,2028,84.4988984747431
REGION1,1,DEMCOMELCB02,1,COMELCB02,2029,86.09977347889085
REGION1,1,DEMCOMELCB02,1,COMELCB02,2030,87.6013694130139
REGION1,1,DEMCOMELCB02,1,COMELCB02,2031,89.2146543009147
REGION1,1,DEMCOMELCB02,1,COMELCB02,2032,90.9148083750871
REGION1,1,DEMCOMELCB02,1,COMELCB02,2033,92.44122407671632
REGION1,1,DEMCOMELCB02,1,COMELCB02,2034,94.0048694296048
REGION1,1,DEMCOMELCB02,1,COMELCB02,2035,95.58092466624637
REGION1,1,DEMCOMELCB02,1,COMELCB02,2036,97.2562589729126
REGION1,1,DEMCOMELCB02,1,COMELCB02,2037,98.90677351207265
REGION1,1,DEMCOMELCB02,1,COMELCB02,2038,100.47041886496112
REGION1,1,DEMCOMELCB02,1,COMELCB02,2039,101.99683456659037
REGION1,1,DEMCOMELCB02,1,COMELCB02,2040,103.33710201192332
REGION1,1,DEMCOMELCB02,1,COMELCB02,2041,104.66495957350322
REGION1,1,DEMCOMELCB02,1,COMELCB02,2042,105.93076771631767
REGION1,1,DEMCOMELCB02,1,COMELCB02,2043,107.18416597537907
REGION1,1,DEMCOMELCB02,1,COMELCB02,2044,108.38792469942815
REGION1,1,DEMCOMELCB02,1,COMELCB02,2045,109.66614272599573
REGION1,1,DEMCOMELCB02,1,COMELCB02,2046,111.06845959009412
REGION1,1,DEMCOMELCB02,1,COMELCB02,2047,112.55764564046407
REGION1,1,DEMCOMELCB02,1,COMELCB02,2048,114.20816017962416
REGION1,1,DEMCOMELCB02,1,COMELCB02,2049,115.90831425379656
REGION1,1,DEMCOMELCB02,1,COMELCB02,2050,117.75738693300596
REGION1,1,DEMCOMNGS,1,COMNGS,2021,74.1000444600267
REGION1,1,DEMCOMNGS,1,COMNGS,2022,78.15004689002816
REGION1,1,DEMCOMNGS,1,COMNGS,2023,79.59004775402866
