REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
REGION1,BATTERY_STORAGE,ELCB02,1,2026,5,0.494970373425477
REGION1,BATTERY_STORAGE,ELCB02,1,2026,8,5.230192498294038
REGION1,BATTERY_STORAGE,ELCB02,1,2027,1,4.518962700600401
REGION1,BATTERY_STORAGE,ELCB02,1,2027,5,26.2018653138824
REGION1,BATTERY_STORAGE,ELCB02,1,2028,2,20.998501896000693
REGION1,BATTERY_STORAGE,ELCB02,1,2028,5,18.188945275245867
REGION1,BATTERY_STORAGE,ELCB02,1,2029,1,38.07244135147408
REGION1,BATTERY_STORAGE,ELCB02,1,2029,2,27.131666223128008
REGION1,BATTERY_STORAGE,ELCB02,1,2030,1,42.266672125168405
REGION1,BATTERY_STORAGE,ELCB02,1,2030,2,54.171932096265415
REGION1,BATTERY_STORAGE,ELCB02,1,2031,1,80.3462688439635
REGION1,BATTERY_STORAGE,ELCB02,1,2031,2,46.09560309103132
REGION1,BATTERY_STORAGE,ELCB02,1,2032,1,77.14749920986606
REGION1,BATTERY_STORAGE,ELCB02,1,2032,2,29.583349493570687
REGION1,BATTERY_STORAGE,ELCB02,1,2032,7,8.163276556204854
REGION1,BATTERY_STORAGE,ELCB02,1,2032,8,12.135815796603277
REGION1,BATTERY_STORAGE,ELCB02,1,2033,1,62.76444394004282
REGION1,BATTERY_STORAGE,ELCB02,1,2033,2,13.447007234331377
REGION1,BATTERY_STORAGE,ELCB02,1,2033,7,4.080247672174327
REGION1,BATTERY_STORAGE,ELCB02,1,2033,8,42.5606480109897
REGION1,BATTERY_STORAGE,ELCB02,1,2034,1,54.283834091569055
REGION1,BATTERY_STORAGE,ELCB02,1,2034,2,3.999744766155276
REGION1,BATTERY_STORAGE,ELCB02,1,2034,7,62.089870907218085
REGION1,BATTERY_STORAGE,ELCB02,1,2035,1,46.63934569966988
REGION1,BATTERY_STORAGE,ELCB02,1,2035,7,76.27509414189817
REGION1,BATTERY_STORAGE,ELCB02,1,2036,1,39.21781164758807
REGION1,BATTERY_STORAGE,ELCB02,1,2036,7,89.97550680449001
REGION1,BATTERY_STORAGE,ELCB02,1,2037,1,32.28068662961453
REGION1,BATTERY_STORAGE,ELCB02,1,2037,7,88.98942404566705
