REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMINDDSL,1,2021,96.39
REGION1,DEMINDDSL,1,2022,95.77
REGION1,DEMINDDSL,1,2023,98.45
REGION1,DEMINDDSL,1,2024,100.6
REGION1,DEMINDDSL,1,2025,102.67
REGION1,DEMINDDSL,1,2026,104.42
REGION1,DEMINDDSL,1,2027,104.04
REGION1,DEMINDDSL,1,2028,103.61000000000004
REGION1,DEMINDDSL,1,2029,105.75999999999998
REGION1,DEMINDDSL,1,2030,107.93000000000002
REGION1,DEMINDDSL,1,2031,108.74
REGION1,DEMINDDSL,1,2032,108.72
REGION1,DEMINDDSL,1,2033,109.55000000000004
REGION1,DEMINDDSL,1,2034,110.38
REGION1,DEMINDDSL,1,2035,110.98
REGION1,DEMINDDSL,1,2036,111.44000000000004
REGION1,DEMINDDSL,1,2037,111.82
REGION1,DEMINDDSL,1,2038,112.17
REGION1,DEMINDDSL,1,2039,112.69000000000004
REGION1,DEMINDDSL,1,2040,113.45000000000002
REGION1,DEMINDDSL,1,2041,114.38
REGION1,DEMINDDSL,1,2042,115.39
REGION1,DEMINDDSL,1,2043,116.54000000000003
REGION1,DEMINDDSL,1,2044,117.84999999999998
REGION1,DEMINDDSL,1,2045,119.37000000000002
REGION1,DEMINDDSL,1,2046,120.98000000000005
REGION1,DEMINDDSL,1,2047,122.58999999999996
REGION1,DEMINDDSL,1,2048,124.23000000000002
REGION1,DEMINDDSL,1,2049,125.92000000000002
REGION1,DEMINDDSL,1,2050,127.59999999999997
REGION1,DEMINDBIO,1,2021,185.83000000000004
REGION1,DEMINDBIO,1,2022,195.71
REGION1,DEMINDBIO,1,2023,195.61000000000004
REGION1,DEMINDBIO,1,2024,199.88
REGION1,DEMINDBIO,1,2025,204.21000000000004
REGION1,DEMINDBIO,1,2026,209.50000000000009
REGION1,DEMINDBIO,1,2027,217.17
REGION1,DEMINDBIO,1,2028,224.51
REGION1,DEMINDBIO,1,2029,234.54000000000005
REGION1,DEMINDBIO,1,2030,245.74000000000004
