REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMINDDSL,2021,96.39
REGION1,DEMINDDSL,2022,95.77
REGION1,DEMINDDSL,2023,98.45
REGION1,DEMINDDSL,2024,100.6
REGION1,DEMINDDSL,2025,102.67
REGION1,DEMINDDSL,2026,104.42
REGION1,DEMINDDSL,2027,104.04
REGION1,DEMINDDSL,2028,103.61000000000004
REGION1,DEMINDDSL,2029,105.75999999999998
REGION1,DEMINDDSL,2030,107.93000000000002
REGION1,DEMINDDSL,2031,108.74
REGION1,DEMINDDSL,2032,108.72
REGION1,DEMINDDSL,2033,109.55000000000004
REGION1,DEMINDDSL,2034,110.38
REGION1,DEMINDDSL,2035,110.98
REGION1,DEMINDDSL,2036,111.44000000000004
REGION1,DEMINDDSL,2037,111.82
REGION1,DEMINDDSL,2038,112.17
REGION1,DEMINDDSL,2039,112.69000000000004
REGION1,DEMINDDSL,2040,113.45000000000002
REGION1,DEMINDDSL,2041,114.38
REGION1,DEMINDDSL,2042,115.39
REGION1,DEMINDDSL,2043,116.54000000000003
REGION1,DEMINDDSL,2044,117.84999999999998
REGION1,DEMINDDSL,2045,119.37000000000002
REGION1,DEMINDDSL,2046,120.98000000000005
REGION1,DEMINDDSL,2047,122.58999999999996
REGION1,DEMINDDSL,2048,124.23000000000002
REGION1,DEMINDDSL,2049,125.92000000000002
REGION1,DEMINDDSL,2050,127.59999999999997
REGION1,DEMINDBIO,2021,185.83000000000004
REGION1,DEMINDBIO,2022,195.71
REGION1,DEMINDBIO,2023,195.61000000000004
REGION1,DEMINDBIO,2024,199.88
REGION1,DEMINDBIO,2025,204.21000000000004
REGION1,DEMINDBIO,2026,209.50000000000009
REGION1,DEMINDBIO,2027,217.17
REGION1,DEMINDBIO,2028,224.51
REGION1,DEMINDBIO,2029,234.54000000000005
REGION1,DEMINDBIO,2030,245.74000000000004
REGION1,DEMINDBIO,2031,248.49000000000007
REGION1,DEMINDBIO,2032,249.92
REGION1,DEMINDBIO,2033,252.42
REGION1,DEMINDBIO,2034,255.14
REGION1,DEMINDBIO,2035,257.47000000000014
REGION1,DEMINDBIO,2036,259.17
REGION1,DEMINDBIO,2037,260.29
REGION1,DEMINDBIO,2038,260.9800000000001
REGION1,DEMINDBIO,2039,261.57
REGION1,DEMINDBIO,2040,262.2200000000001
REGION1,DEMINDBIO,2041,262.76
REGION1,DEMINDBIO,2042,263.28000000000003
REGION1,DEMINDBIO,2043,263.83
REGION1,DEMINDBIO,2044,264.56
REGION1,DEMINDBIO,2045,265.44000000000005
REGION1,DEMINDBIO,2046,266.46
REGION1,DEMINDBIO,2047,267.4200000000001
REGION1,DEMINDBIO,2048,268.4
REGION1,DEMINDBIO,2049,269.54
REGION1,DEMINDBIO,2050,270.71
REGION1,DEMINDNGS,2021,218.3700000000001
REGION1,DEMINDNGS,2022,229.17
REGION1,DEMINDNGS,2023,236.88000000000005
REGION1,DEMINDNGS,2024,230.1800000000001
REGION1,DEMINDNGS,2025,252.0300000000001
REGION1,DEMINDNGS,2026,275.83
REGION1,DEMINDNGS,2027,267.26
REGION1,DEMINDNGS,2028,258.58000000000004
REGION1,DEMINDNGS,2029,276.80000000000007
REGION1,DEMINDNGS,2030,297.36000000000007
REGION1,DEMINDNGS,2031,296.1700000000001
REGION1,DEMINDNGS,2032,293.18000000000006
REGION1,DEMINDNGS,2033,297.9200000000001
REGION1,DEMINDNGS,2034,302.94000000000005
REGION1,DEMINDNGS,2035,304.74
REGION1,DEMINDNGS,2036,305.11
REGION1,DEMINDNGS,2037,304.10000000000014
REGION1,DEMINDNGS,2038,303.63000000000005
REGION1,DEMINDNGS,2039,304.15
REGION1,DEMINDNGS,2040,305.4200000000001
REGION1,DEMINDNGS,2041,307.21000000000004
REGION1,DEMINDNGS,2042,309.05000000000007
REGION1,DEMINDNGS,2043,311.07000000000005
REGION1,DEMINDNGS,2044,313.64000000000004
REGION1,DEMINDNGS,2045,316.6600000000001
REGION1,DEMINDNGS,2046,320.0100000000001
REGION1,DEMINDNGS,2047,323.60000000000014
REGION1,DEMINDNGS,2048,327.4
REGION1,DEMINDNGS,2049,331.4200000000001
REGION1,DEMINDNGS,2050,335.60000000000014
REGION1,DEMINDELCB02,2021,88.71999999999998
REGION1,DEMINDELCB02,2022,93.63
REGION1,DEMINDELCB02,2023,99.69
REGION1,DEMINDELCB02,2024,102.88
REGION1,DEMINDELCB02,2025,106.06
REGION1,DEMINDELCB02,2026,109.41
REGION1,DEMINDELCB02,2027,111.21
REGION1,DEMINDELCB02,2028,115.27
REGION1,DEMINDELCB02,2029,122.13
REGION1,DEMINDELCB02,2030,127.36999999999998
REGION1,DEMINDELCB02,2031,130.41
REGION1,DEMINDELCB02,2032,137.70999999999998
REGION1,DEMINDELCB02,2033,144.89
REGION1,DEMINDELCB02,2034,146.78000000000003
REGION1,DEMINDELCB02,2035,148.42999999999998
REGION1,DEMINDELCB02,2036,149.95
REGION1,DEMINDELCB02,2037,151.32999999999998
REGION1,DEMINDELCB02,2038,152.66000000000005
REGION1,DEMINDELCB02,2039,154.09
REGION1,DEMINDELCB02,2040,155.5
REGION1,DEMINDELCB02,2041,156.74
REGION1,DEMINDELCB02,2042,157.95999999999998
REGION1,DEMINDELCB02,2043,159.13
REGION1,DEMINDELCB02,2044,160.28
REGION1,DEMINDELCB02,2045,161.45999999999998
REGION1,DEMINDELCB02,2046,162.64
REGION1,DEMINDELCB02,2047,163.66000000000005
REGION1,DEMINDELCB02,2048,164.62
REGION1,DEMINDELCB02,2049,165.63
REGION1,DEMINDELCB02,2050,166.62
REGION1,DEMINDHDG,2021,0.02
REGION1,DEMINDHDG,2022,0.02
REGION1,DEMINDHDG,2023,0.02
REGION1,DEMINDHDG,2024,0.02
REGION1,DEMINDHDG,2025,0.02
REGION1,DEMINDHDG,2026,0.02
REGION1,DEMINDHDG,2027,0.02
REGION1,DEMINDHDG,2028,0.02
REGION1,DEMINDHDG,2029,0.02
REGION1,DEMINDHDG,2030,0.04
