REGION,TECHNOLOGY,VALUE
REGION1,DEMINDDSL,3334.4300000000003
REGION1,DEMINDBIO,7342.770000000003
REGION1,DEMINDNGS,8755.480000000005
REGION1,DEMINDELCB02,4166.859999999996
REGION1,DEMINDHDG,3.56
REGION1,DEMRESBIO,480.32000000000016
REGION1,DEMRESNGS,1729.9400000000005
REGION1,DEMRESELCB02,2763.7100000000028
REGION1,DEMRESRPP,19.140000000000015
REGION1,DEMRESHDG,0.3000000000000001
REGION1,DEMCOMBIO,274.72000000000014
REGION1,DEMCOMNGS,2011.480000000002
REGION1,DEMCOMELCB02,2302.07
REGION1,DEMCOMRPP,229.76999999999995
REGION1,DEMTRAGSL,3014.890000000001
REGION1,DEMTRADSL,2741.5699999999997
REGION1,DEMTRAHFO,192.47000000000003
REGION1,DEMTRAJFL,2939.9500000000007
REGION1,DEMTRABIO,1505.9399999999998
REGION1,DEMTRANGS,19.349999999999948
REGION1,DEMTRALPG,52.170000000000016
REGION1,DEMTRAELCB02,589.0399999999994
REGION1,DEMTRAHDG,0.66
REGION1,DEMPWRSURBC1,15.069800137088412
REGION1,DEMPWRBIO,623.5288085774891
REGION1,PWRBIOB01,1.9993744213993467
REGION1,PWRBIOB02,214.01781961527848
REGION1,DEMPWRHYD,12184.278712074349
REGION1,PWRHYDB01,11547.528416896184
REGION1,PWRHYDB02,1625.2535616730192
REGION1,DEMPWRNGS,70.671541739015
REGION1,PWRNGSB01,18.315839498880003
REGION1,PWRNGSB02,7.858805589644077
REGION1,DEMPWRSOL,129.4360517884795
REGION1,PWRSOLB01,0.05977014871495819
REGION1,PWRSOLB02,16.86100303595462
REGION1,PWRSOLB08,4.547473508864641e-13
REGION1,DEMPWRWND,6572.3381939365245
REGION1,PWRWNDB01,5.934358157637253
REGION1,PWRWNDB02,12.825468440250711
REGION1,PWRWNDB03,14.625521256347817
REGION1,PWRWNDB04,31.223222751315724
REGION1,PWRWNDB05,3.7616404165763098
REGION1,PWRWNDB06,1.8618146480881632
REGION1,PWRWNDB07,19.784948843367214
REGION1,PWRWNDB08,2.0222992463456975
REGION1,PWRWNDB11,15.828076987257578
REGION1,PWRWNDB12,18.718002982716825
REGION1,PWRWNDB13,3.9020383858038152
REGION1,PWRWNDB14,11.07786092005844
REGION1,PWRWNDB15,22.846747704635646
REGION1,PWRWNDB16,5.944269546140487
REGION1,PWRWNDB17,4.192629634068702
REGION1,PWRWNDB18,6.226242420429509
REGION1,PWRWNDB19,28.63000965493181
REGION1,PWRWNDB21,280.4046525985079
REGION1,PWRWNDB23,65.42998548793922
REGION1,PWRWNDB25,862.8290007804638
REGION1,BATTERY_STORAGE,1404.8718822489468
REGION1,PWRTRNB01,9821.67887156257
REGION1,IMPJFL,2939.9500000000003
REGION1,IMPLPG,52.169999999999995
REGION1,IMPGSL,3014.89
REGION1,IMPDSL,6076.000000000005
REGION1,IMPHFO,192.47000000000017
REGION1,IMPRPP,248.9100000000001
REGION1,MINNGS,12586.921541739017
REGION1,RNWWND,6621.560736860793
REGION1,RNWHYD,13540.19738041108
REGION1,RNWBIO,10236.646564654404
REGION1,RNWSOL,138.0368899481646
REGION1,DEMAGRGWTBC1,54.09685935397082
REGION1,DEMAGRSURBC1,7.496110381007497
REGION1,DEMPUBSURBC1,30.17
REGION1,MINPRCBC1,20054.210392939163
REGION1,MINLNDBC1,27749.99999999999
REGION1,LNDALFHIBC1,398.57926735609857
REGION1,LNDBARHIBC1,2.3825986334620657
REGION1,LNDBARHRBC1,1.107401366537934
REGION1,LNDMAIHIBC1,270.28041946964566
REGION1,LNDMAIHRBC1,8.04072909555965
REGION1,LNDOATHIBC1,5.289260838261581
REGION1,LNDOATHRBC1,0.5481103199144025
REGION1,LNDOTHHIBC1,92.875
REGION1,LNDPEAHIBC1,5.049067091226379
REGION1,LNDPEAHRBC1,0.1395379716618708
REGION1,LNDPTWHIBC1,0.004842105263157899
REGION1,LNDRAPHIBC1,7.490475752741394
REGION1,LNDRAPHRBC1,1.227211347101953
REGION1,LNDRYEHIBC1,0.10474543319353684
REGION1,LNDRYEHRBC1,0.03640570361492334
REGION1,LNDWHEHIBC1,0.0118832576688471
REGION1,LNDWHEHRBC1,3.3918667423311546
REGION1,LNDAGRBC1C01,8345.40720277587
REGION1,LNDAGRBC1C02,843.311144658136
REGION1,LNDAGRBC1C03,888.4136608291685
REGION1,LNDAGRBC1C04,335.57485661702714
REGION1,LNDAGRBC1C05,16837.439012235056
REGION1,LNDAGRBC1C06,106.16874498063834
REGION1,LNDAGRBC1C07,393.68537790409533
REGION1,LNDBARBC1,4450.2547289999975
REGION1,LNDFORBC1,16313.074848515718
REGION1,LNDGRSBC1,4767.127199999996
REGION1,LNDBLTBC1,131.70999999999995
REGION1,LNDWATBC1,1291.2743999999973
REGION1,CCS01,157.67990539200008
REGION1,HDG02,4.52
REGION1,INFLOW01,3947.9038051098128
