,East Kootenay_1,East Kootenay_1,CF_mean
,mean,std,
TIMESLICE,,,
NA,0.23989890390402407,0.3089924780001202,0.23989890390402407
SEA1D,0.04631223767268627,0.13021869348454881,0.04631223767268627
SEA1N,0.20780280813599256,0.27899421998123564,0.20780280813599256
SEA2D,0.10326789109675931,0.19775507043645832,0.10326789109675931
SEA2N,0.18893195047145087,0.2652361545830144,0.18893195047145087
SEA3D,0.30580041382071876,0.3345361539226288,0.30580041382071876
SEA3N,0.34760645016471287,0.30009044217660846,0.34760645016471287
SEA4D,0.3183690315374282,0.317545868151282,0.3183690315374282
SEA4N,0.299507137745739,0.2635449874972677,0.299507137745739
