,Squamish-Lillooet_1,Squamish-Lillooet_1,CF_mean
,mean,std,
timeslices,,,
NA,0.2434337505238715,0.30109790814241494,0.2434337505238715
SEA1D,0.3245100646599007,0.2576343855287596,0.3245100646599007
SEA1N,0.006429241373242997,0.03467856647406596,0.006429241373242997
SEA2D,0.4098973142247528,0.27250095078797876,0.4098973142247528
SEA2N,0.006590926182368627,0.04607296302315031,0.006590926182368627
SEA3D,0.5008583046703506,0.2433550061706224,0.5008583046703506
SEA3N,0.01157554968507636,0.05198378104942991,0.01157554968507636
SEA4D,0.4917734270538637,0.2301509140484155,0.4917734270538637
SEA4N,0.00515251312734177,0.03459353152939386,0.00515251312734177
