,East Kootenay_1,East Kootenay_1,CF_mean
,mean,std,
timeslices,,,
NA,0.5697043383963467,0.40329349731141606,0.5697043383963467
SEA1D,0.6688715855038241,0.37654532529078666,0.6688715855038241
SEA1N,0.6637817712225933,0.3724201328469515,0.6637817712225933
SEA2D,0.654289056119383,0.4005435997025434,0.654289056119383
SEA2N,0.6709387967536765,0.3909700166874153,0.6709387967536765
SEA3D,0.5067395918921738,0.39198175891764786,0.5067395918921738
SEA3N,0.6045137341898469,0.38944243463032036,0.6045137341898469
SEA4D,0.4873229569518935,0.38594369494767466,0.4873229569518935
SEA4N,0.5943445574434985,0.37140914459349017,0.5943445574434985
