REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DEMAGRGWTBC1,2021,0.011842839927666358
REGION1,DEMAGRGWTBC1,2022,0.011932842098265955
REGION1,DEMAGRGWTBC1,2023,0.013406834512331836
REGION1,DEMAGRGWTBC1,2024,0.013406471374097432
REGION1,DEMAGRGWTBC1,2025,0.013390787866116425
REGION1,DEMAGRGWTBC1,2026,0.013754712445673934
REGION1,DEMAGRGWTBC1,2027,0.01391856125425462
REGION1,DEMAGRGWTBC1,2028,0.01466657048259284
REGION1,DEMAGRGWTBC1,2029,0.014928803069204662
REGION1,DEMAGRGWTBC1,2030,0.015135993612623673
REGION1,DEMAGRGWTBC1,2031,0.015403785115769257
REGION1,DEMAGRGWTBC1,2032,0.015424473742689774
REGION1,DEMAGRGWTBC1,2033,0.01564526305840681
REGION1,DEMAGRGWTBC1,2035,0.016055467560767988
REGION1,DEMAGRGWTBC1,2037,0.016865584621383854
REGION1,DEMAGRGWTBC1,2038,0.01698954454831997
REGION1,DEMAGRGWTBC1,2040,0.01712546321485851
REGION1,DEMAGRGWTBC1,2041,0.01735080881540622
REGION1,DEMAGRGWTBC1,2042,0.017539926474511053
REGION1,DEMAGRGWTBC1,2043,0.01779599567119588
REGION1,DEMAGRGWTBC1,2045,0.01819671323945332
REGION1,DEMAGRGWTBC1,2047,0.01860648502238992
REGION1,DEMAGRGWTBC1,2049,0.01903429977073548
REGION1,DEMAGRGWTBC1,2050,0.01925409263885835
REGION1,DEMAGRSURBC1,2034,0.0158332648827382
REGION1,DEMAGRSURBC1,2036,0.016609576735491537
REGION1,DEMAGRSURBC1,2039,0.017120303501782664
REGION1,DEMAGRSURBC1,2044,0.017986288829645435
REGION1,DEMAGRSURBC1,2046,0.01841258847920971
REGION1,DEMAGRSURBC1,2048,0.018816909432199144
REGION1,DEMCOMBIO,2021,0.024099437087773727
REGION1,DEMCOMBIO,2022,0.03805174277016895
REGION1,DEMCOMBIO,2023,0.051686950596146176
REGION1,DEMCOMBIO,2024,0.07642058339675478
REGION1,DEMCOMBIO,2025,0.11447232616692492
REGION1,DEMCOMBIO,2026,0.1525240689370938
REGION1,DEMCOMBIO,2027,0.2070009426493542
REGION1,DEMCOMBIO,2028,0.24892181728818852
REGION1,DEMCOMBIO,2029,0.32522918256434896
REGION1,DEMCOMBIO,2030,0.3885422406455236
REGION1,DEMCOMBIO,2031,0.3743564928289743
REGION1,DEMCOMBIO,2032,0.3891076186589257
REGION1,DEMCOMBIO,2033,0.35927187132167854
REGION1,DEMCOMBIO,2034,0.39672497595378486
REGION1,DEMCOMBIO,2035,0.39249368718621386
REGION1,DEMCOMBIO,2036,0.36493258806157824
REGION1,DEMCOMBIO,2037,0.3822691719338122
REGION1,DEMCOMBIO,2038,0.3884355652040497
REGION1,DEMCOMBIO,2039,0.39075654711200186
REGION1,DEMCOMBIO,2040,0.43703121903813874
REGION1,DEMCOMBIO,2041,0.4174553035635708
REGION1,DEMCOMBIO,2042,0.4055496052176527
REGION1,DEMCOMBIO,2043,0.37522129328126674
REGION1,DEMCOMBIO,2044,0.38266701878066983
REGION1,DEMCOMBIO,2045,0.3759042609423229
REGION1,DEMCOMBIO,2046,0.3762222417340396
REGION1,DEMCOMBIO,2047,0.356100892757498
REGION1,DEMCOMBIO,2048,0.3624589308247538
REGION1,DEMCOMBIO,2049,0.3643615179632621
REGION1,DEMCOMBIO,2050,0.37135375174335394
REGION1,DEMCOMELCB02,2021,2.8089795139279934
REGION1,DEMCOMELCB02,2022,3.021917429183331
REGION1,DEMCOMELCB02,2023,3.1485148464620014
REGION1,DEMCOMELCB02,2024,3.240682003811327
REGION1,DEMCOMELCB02,2025,3.32967098332102
REGION1,DEMCOMELCB02,2026,3.4260757111231874
REGION1,DEMCOMELCB02,2027,3.5261883130715925
REGION1,DEMCOMELCB02,2028,3.6067021516756
REGION1,DEMCOMELCB02,2029,3.6750329752276873
REGION1,DEMCOMELCB02,2030,3.73912622832693
REGION1,DEMCOMELCB02,2031,3.8079867481856207
REGION1,DEMCOMELCB02,2032,3.8805551421905498
REGION1,DEMCOMELCB02,2033,3.9457077879030034
REGION1,DEMCOMELCB02,2034,4.012449522535273
REGION1,DEMCOMELCB02,2035,4.0797209534741485
REGION1,DEMCOMELCB02,2036,4.151229954865865
REGION1,DEMCOMELCB02,2037,4.221679563644374
REGION1,DEMCOMELCB02,2038,4.288421298276643
REGION1,DEMCOMELCB02,2039,4.3535739439890975
REGION1,DEMCOMELCB02,2040,4.410781145102472
REGION1,DEMCOMELCB02,2041,4.46745864990924
REGION1,DEMCOMELCB02,2042,4.521487673182984
REGION1,DEMCOMELCB02,2043,4.57498700015012
REGION1,DEMCOMELCB02,2044,4.626367541890835
REGION1,DEMCOMELCB02,2045,4.680926261471183
REGION1,DEMCOMELCB02,2046,4.740781944117584
REGION1,DEMCOMELCB02,2047,4.8043455009102205
REGION1,DEMCOMELCB02,2048,4.874795109688728
REGION1,DEMCOMELCB02,2049,4.947363503693657
REGION1,DEMCOMELCB02,2050,5.026288253377849
REGION1,DEMCOMRPP,2021,0.19945455168696888
REGION1,DEMCOMRPP,2022,0.2032597259639859
REGION1,DEMCOMRPP,2023,0.20579650881533035
REGION1,DEMCOMRPP,2024,0.20801619381025685
REGION1,DEMCOMRPP,2025,0.20991878094876537
REGION1,DEMCOMRPP,2026,0.21245556380011
REGION1,DEMCOMRPP,2027,0.21594364022070875
REGION1,DEMCOMRPP,2028,0.2187975209284715
REGION1,DEMCOMRPP,2029,0.221017205923398
REGION1,DEMCOMRPP,2030,0.22355398877474253
REGION1,DEMCOMRPP,2031,0.22672496733892328
REGION1,DEMCOMRPP,2032,0.2305301416159402
REGION1,DEMCOMRPP,2033,0.23370112018012096
REGION1,DEMCOMRPP,2034,0.23687209874430165
REGION1,DEMCOMRPP,2035,0.2403601751649005
REGION1,DEMCOMRPP,2036,0.2438482515854994
REGION1,DEMCOMRPP,2037,0.2473363280060982
REGION1,DEMCOMRPP,2038,0.250824404426697
REGION1,DEMCOMRPP,2039,0.25399538299087776
REGION1,DEMCOMRPP,2040,0.2568492636986404
REGION1,DEMCOMRPP,2041,0.2597031444064031
REGION1,DEMCOMRPP,2042,0.26255702511416573
REGION1,DEMCOMRPP,2043,0.26541090582192844
REGION1,DEMCOMRPP,2044,0.2685818843861092
REGION1,DEMCOMRPP,2045,0.2717528629502899
REGION1,DEMCOMRPP,2046,0.27524093937088867
REGION1,DEMCOMRPP,2047,0.2790461136479056
REGION1,DEMCOMRPP,2048,0.28348548363775866
REGION1,DEMCOMRPP,2049,0.28792485362761167
REGION1,DEMCOMRPP,2050,0.29299841933030085
REGION1,DEMCOMNGS,2021,2.3496951160579336
REGION1,DEMCOMNGS,2022,2.4781197479072534
REGION1,DEMCOMNGS,2023,2.5237818392314564
REGION1,DEMCOMNGS,2024,2.463216148655605
REGION1,DEMCOMNGS,2025,2.4207250358955834
REGION1,DEMCOMNGS,2026,2.3871126631152664
REGION1,DEMCOMNGS,2027,2.318302428272544
REGION1,DEMCOMNGS,2028,2.238076670598772
REGION1,DEMCOMNGS,2029,2.174467059869704
REGION1,DEMCOMNGS,2030,2.1248872900371434
REGION1,DEMCOMNGS,2031,2.0684293174151014
REGION1,DEMCOMNGS,2032,2.043695684614492
REGION1,DEMCOMNGS,2033,2.064698176720761
REGION1,DEMCOMNGS,2034,2.0291091832192603
REGION1,DEMCOMNGS,2035,2.0532736896371926
REGION1,DEMCOMNGS,2036,2.047020328742964
REGION1,DEMCOMNGS,2037,2.0078636268392493
REGION1,DEMCOMNGS,2038,2.0338175139805585
REGION1,DEMCOMNGS,2039,1.9993019847159608
REGION1,DEMCOMNGS,2040,2.028890410406356
REGION1,DEMCOMNGS,2041,2.0271244675980773
REGION1,DEMCOMNGS,2042,2.0268062709710035
REGION1,DEMCOMNGS,2043,1.993594223300436
REGION1,DEMCOMNGS,2044,1.9967652018646167
REGION1,DEMCOMNGS,2045,2.001204571854469
REGION1,DEMCOMNGS,2046,2.0440382331908338
REGION1,DEMCOMNGS,2047,2.053656385183363
REGION1,DEMCOMNGS,2048,2.0284749875064243
REGION1,DEMCOMNGS,2049,2.0408418039067286
REGION1,DEMCOMNGS,2050,2.05542830530196
REGION1,DEMINDBIO,2021,5.89262946581708
REGION1,DEMINDBIO,2022,6.205922147958139
REGION1,DEMINDBIO,2023,6.202751169393958
REGION1,DEMINDBIO,2024,6.338151954084475
REGION1,DEMINDBIO,2025,6.475455325913502
REGION1,DEMINDBIO,2026,6.670327356187188
REGION1,DEMINDBIO,2027,6.938285120760702
REGION1,DEMINDBIO,2028,7.236827479566783
REGION1,DEMINDBIO,2029,7.5660090852957005
REGION1,DEMINDBIO,2030,7.849310403767728
REGION1,DEMINDBIO,2031,7.976746863004357
REGION1,DEMINDBIO,2032,8.044859286307702
REGION1,DEMINDBIO,2033,8.27676767115621
REGION1,DEMINDBIO,2034,8.214172627347867
REGION1,DEMINDBIO,2035,8.213546021345838
REGION1,DEMINDBIO,2036,8.287973443474879
REGION1,DEMINDBIO,2037,8.431478823485797
REGION1,DEMINDBIO,2038,8.333802734297068
REGION1,DEMINDBIO,2039,8.427349958190446
REGION1,DEMINDBIO,2040,8.397678210998436
REGION1,DEMINDBIO,2041,8.489756308102724
REGION1,DEMINDBIO,2042,8.43208869562934
REGION1,DEMINDBIO,2043,8.390425469370665
REGION1,DEMINDBIO,2044,8.414786585175476
REGION1,DEMINDBIO,2045,8.48354956066056
REGION1,DEMINDBIO,2046,8.453527835188344
REGION1,DEMINDBIO,2047,8.488107582476811
REGION1,DEMINDBIO,2048,8.52332152547811
REGION1,DEMINDBIO,2049,8.551193974965114
REGION1,DEMINDBIO,2050,8.588294424166026
REGION1,DEMINDDSL,2021,3.0565062380138213
REGION1,DEMINDDSL,2022,3.0368461709159007
REGION1,DEMINDDSL,2023,3.121828396435944
REGION1,DEMINDDSL,2024,3.190004435565831
REGION1,DEMINDDSL,2025,3.255643691844372
REGION1,DEMINDDSL,2026,3.311135816717535
REGION1,DEMINDDSL,2027,3.299086098173648
REGION1,DEMINDDSL,2028,3.2854508903476707
REGION1,DEMINDDSL,2029,3.353626929477557
REGION1,DEMINDDSL,2030,3.422437164320279
REGION1,DEMINDDSL,2031,3.448122090690142
REGION1,DEMINDDSL,2032,3.447487894977307
REGION1,DEMINDDSL,2033,3.4738070170600066
REGION1,DEMINDDSL,2034,3.5001261391427074
REGION1,DEMINDDSL,2035,3.519152010527792
REGION1,DEMINDDSL,2036,3.5337385119230222
REGION1,DEMINDDSL,2037,3.5457882304669104
REGION1,DEMINDDSL,2038,3.556886655441541
REGION1,DEMINDDSL,2039,3.5733757439752827
REGION1,DEMINDDSL,2040,3.5974751810630554
REGION1,DEMINDDSL,2041,3.626965281709937
REGION1,DEMINDDSL,2042,3.658992165208163
REGION1,DEMINDDSL,2043,3.6954584186962416
REGION1,DEMINDDSL,2044,3.736998237887008
REGION1,DEMINDDSL,2045,3.7851971120625576
REGION1,DEMINDDSL,2046,3.836249866945868
REGION1,DEMINDDSL,2047,3.8873026218291766
REGION1,DEMINDDSL,2048,3.93930667028174
REGION1,DEMINDDSL,2049,3.9928962080163934
REGION1,DEMINDDSL,2050,4.046168647894632
REGION1,DEMINDELCB02,2021,4.699465632202369
REGION1,DEMINDELCB02,2022,4.959546518745579
REGION1,DEMINDELCB02,2023,5.280542480548401
REGION1,DEMINDELCB02,2024,5.449515602355498
REGION1,DEMINDELCB02,2025,5.617959027855987
