REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2021,56.388900000000085
REGION1,CO2,2022,58.06520999999996
REGION1,CO2,2023,59.05476699999996
REGION1,CO2,2024,58.61359699999991
REGION1,CO2,2025,59.77126399999991
REGION1,CO2,2026,60.94978100000001
REGION1,CO2,2027,60.4058150000001
REGION1,CO2,2028,59.82371634535872
REGION1,CO2,2029,61.25862826680751
REGION1,CO2,2030,62.9101551581248
REGION1,CO2,2031,62.958441528949685
REGION1,CO2,2032,62.82131938280311
REGION1,CO2,2033,63.244832110908746
REGION1,CO2,2034,63.66594353577212
REGION1,CO2,2035,63.894475565242814
REGION1,CO2,2036,64.0174395749134
REGION1,CO2,2037,64.03084996588561
REGION1,CO2,2038,64.03911720388629
REGION1,CO2,2039,64.13072806659609
REGION1,CO2,2040,64.34208207509198
REGION1,CO2,2041,64.6276393084759
REGION1,CO2,2042,64.77945820638006
REGION1,CO2,2043,64.94657101963024
REGION1,CO2,2044,65.22258710997124
REGION1,CO2,2045,65.6639162470418
REGION1,CO2,2046,66.02919894902325
REGION1,CO2,2047,66.48520453356457
REGION1,CO2,2048,66.98657807220093
REGION1,CO2,2049,67.53899588296422
REGION1,CO2,2050,68.10574633352368
