REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2023,-0.04349999999993431
REGION1,LNDAGRBC1C01,2036,-0.37039999999926393
REGION1,LNDAGRBC1C02,2023,-0.04860000000001181
REGION1,LNDAGRBC1C02,2036,-0.3513948698063523
REGION1,LNDAGRBC1C05,2021,-1094.7727207191022
REGION1,LNDAGRBC1C05,2022,-1094.9617795579445
REGION1,LNDAGRBC1C05,2023,-1643.0664871294186
REGION1,LNDAGRBC1C05,2024,-2189.9421996213464
REGION1,LNDAGRBC1C05,2025,-2189.68671786747
REGION1,LNDAGRBC1C05,2026,-2735.8332456395615
REGION1,LNDAGRBC1C05,2027,-3282.2128314983074
REGION1,LNDAGRBC1C05,2028,-3826.679599001922
REGION1,LNDAGRBC1C05,2029,-3824.90645540552
REGION1,LNDAGRBC1C05,2030,-4369.877687020416
REGION1,LNDAGRBC1C05,2031,-4367.434021135624
REGION1,LNDAGRBC1C05,2032,-4367.066855312439
REGION1,LNDAGRBC1C05,2033,-4365.183323454452
REGION1,LNDAGRBC1C05,2034,-4364.038541138843
REGION1,LNDAGRBC1C05,2035,-4362.254007233846
REGION1,LNDAGRBC1C05,2036,-4358.777190435862
REGION1,LNDAGRBC1C05,2037,-4357.1735736466735
REGION1,LNDAGRBC1C05,2038,-4355.44135468234
REGION1,LNDAGRBC1C05,2039,-4354.416907998157
REGION1,LNDAGRBC1C05,2040,-4353.095114875244
REGION1,LNDAGRBC1C05,2041,-4351.073724901529
REGION1,LNDAGRBC1C05,2042,-4349.215219707336
REGION1,LNDAGRBC1C05,2043,-4347.282111073342
REGION1,LNDAGRBC1C05,2044,-4345.497563204896
REGION1,LNDAGRBC1C05,2045,-4343.690109758864
REGION1,LNDAGRBC1C05,2046,-4341.927521383144
REGION1,LNDAGRBC1C05,2047,-4340.110391696519
REGION1,LNDAGRBC1C05,2048,-4338.289149660225
REGION1,LNDAGRBC1C05,2049,-4336.520082493539
REGION1,LNDAGRBC1C05,2050,-4334.726294955384
REGION1,MINNGS,2021,1318.6440000000034
REGION1,MINNGS,2022,1372.500000000001
REGION1,MINNGS,2023,1403.7840000000003
REGION1,MINNGS,2024,1364.7959999999996
REGION1,MINNGS,2025,1429.4160000000013
REGION1,MINNGS,2026,1502.2080000000008
REGION1,MINNGS,2027,1453.4640000000002
REGION1,MINNGS,2028,1403.975404439194
REGION1,MINNGS,2029,1452.1635817198237
REGION1,MINNGS,2030,1518.2073274204658
REGION1,MINNGS,2031,1538.0058100180904
REGION1,MINNGS,2032,1556.5891371366454
REGION1,MINNGS,2033,1605.1680437889636
REGION1,MINNGS,2034,1650.2752854558605
REGION1,MINNGS,2035,1684.7550132052902
REGION1,MINNGS,2036,1715.2962084850144
REGION1,MINNGS,2037,1740.063069571117
REGION1,MINNGS,2038,1766.52302996026
REGION1,MINNGS,2039,1797.68388199256
REGION1,MINNGS,2040,1834.65112912
REGION1,MINNGS,2041,1875.672098077402
REGION1,MINNGS,2042,1904.1226499693164
REGION1,MINNGS,2043,1930.768653259688
REGION1,MINNGS,2044,1961.918566420156
REGION1,MINNGS,2045,2001.9837337929048
REGION1,MINNGS,2046,2032.4814264408683
REGION1,MINNGS,2047,2068.669213630753
REGION1,MINNGS,2048,2106.6037888103583
REGION1,MINNGS,2049,2146.208852562645
REGION1,MINNGS,2050,2185.4645162519946
REGION1,PWRBIOB01,2026,0.077411333642832
REGION1,PWRBIOB01,2027,0.232234000928496
REGION1,PWRBIOB01,2028,0.077411333642832
REGION1,PWRBIOB01,2029,0.22117523897952
REGION1,PWRBIOB02,2026,1.2999204434077654
REGION1,PWRBIOB02,2027,4.457359315326989
REGION1,PWRBIOB02,2028,7.89759545426461
REGION1,PWRBIOB02,2029,9.134282882812268
REGION1,PWRBIOB02,2030,10.428412517884368
REGION1,PWRBIOB02,2031,10.428412517884368
REGION1,PWRBIOB02,2032,11.072958272980063
REGION1,PWRBIOB02,2033,14.53824975377038
REGION1,PWRBIOB02,2034,16.150029292995985
REGION1,PWRBIOB02,2035,16.975199591678162
REGION1,PWRBIOB02,2036,16.938337051848244
REGION1,PWRBIOB02,2037,17.078939997847243
REGION1,PWRBIOB02,2038,18.06052426811281
REGION1,PWRBIOB02,2039,20.074120257199414
REGION1,PWRBIOB02,2040,22.025516994851472
REGION1,PWRBIOB02,2041,22.903317714552752
REGION1,PWRBIOB02,2042,19.371044388981534
REGION1,PWRBIOB02,2043,12.197211654729978
REGION1,PWRBIOB02,2044,10.388721576207727
REGION1,PWRBIOB02,2045,7.167331784275488
REGION1,PWRBIOB02,2046,1.522353605117184
REGION1,PWRBIOB02,2047,1.522353605117184
REGION1,PWRBIOB02,2048,1.522353605117184
REGION1,PWRBIOB02,2049,1.522353605117184
REGION1,PWRBIOB02,2050,1.522353605117184
REGION1,PWRNGSB01,2028,0.30283759429632
REGION1,PWRNGSB01,2029,1.1057041972520945
REGION1,PWRNGSB01,2030,5.892905926435871
REGION1,PWRNGSB01,2031,12.551216856134292
REGION1,PWRNGSB01,2032,21.406307612347103
REGION1,PWRNGSB01,2033,29.929511398986264
REGION1,PWRNGSB01,2034,35.89891330304426
REGION1,PWRNGSB01,2035,42.23509240294425
REGION1,PWRNGSB01,2036,49.06838841332144
REGION1,PWRNGSB01,2037,55.58723492904276
REGION1,PWRNGSB01,2038,61.7329095511986
REGION1,PWRNGSB01,2039,67.97303863695926
REGION1,PWRNGSB01,2040,75.28790492018643
REGION1,PWRNGSB01,2041,83.13585533492622
REGION1,PWRNGSB01,2042,85.38428670407768
REGION1,PWRNGSB01,2043,86.27458248751198
REGION1,PWRNGSB01,2044,87.83667319720315
REGION1,PWRNGSB01,2045,91.97816265955542
REGION1,PWRNGSB01,2046,91.38094782740285
REGION1,PWRNGSB01,2047,92.3294150197492
REGION1,PWRNGSB01,2048,93.29773385100512
REGION1,PWRNGSB01,2049,94.29252153414045
REGION1,PWRNGSB01,2050,94.54908240077523
REGION1,PWRNGSB02,2028,0.41640169215744
REGION1,PWRNGSB02,2029,0.41640169215744
REGION1,PWRNGSB02,2030,1.24920507647232
