REGION,TECHNOLOGY,YEAR,VALUE
REGION1,LNDAGRBC1C01,2041,1.7443818040396418e-07
REGION1,LNDAGRBC1C01,2042,3.83893123111744e-07
REGION1,LNDAGRBC1C01,2043,4.4582481883026737e-07
REGION1,LNDAGRBC1C01,2044,4.979735076669373e-07
REGION1,LNDAGRBC1C01,2045,5.576873463025578e-07
REGION1,LNDAGRBC1C01,2046,6.113138004829652e-07
REGION1,LNDAGRBC1C01,2047,6.693445384367148e-07
REGION1,LNDAGRBC1C01,2048,7.142154147479045e-07
REGION1,LNDAGRBC1C01,2049,7.702293998321196e-07
REGION1,LNDAGRBC1C01,2050,8.18639547752144e-07
REGION1,LNDAGRBC1C02,2042,3.1416136773425816e-08
REGION1,LNDAGRBC1C02,2043,1.5951530214360818e-07
REGION1,LNDAGRBC1C02,2044,3.289366289234695e-07
REGION1,LNDAGRBC1C02,2045,3.7179156419462486e-07
REGION1,LNDAGRBC1C02,2046,4.0390376104366565e-07
REGION1,LNDAGRBC1C02,2047,4.403582489782333e-07
REGION1,LNDAGRBC1C02,2048,4.761436098189525e-07
REGION1,LNDAGRBC1C02,2049,5.046330550712608e-07
REGION1,LNDAGRBC1C02,2050,5.45759698493029e-07
REGION1,LNDAGRBC1C03,2037,1.79264603094443e-06
REGION1,LNDAGRBC1C03,2038,2.5212209467506623e-06
REGION1,LNDAGRBC1C03,2039,1.97535305529961e-06
REGION1,LNDAGRBC1C03,2040,3.5016397674438813e-06
REGION1,LNDAGRBC1C03,2041,1.0447386624402332e-05
REGION1,LNDAGRBC1C03,2042,1.1337155357929434e-05
REGION1,LNDAGRBC1C03,2043,2.3443417928270295e-05
REGION1,LNDAGRBC1C03,2044,1.8973126556163572e-05
REGION1,LNDAGRBC1C03,2045,1.8355831612227116e-05
REGION1,LNDAGRBC1C03,2046,2.637591057268413e-05
REGION1,LNDAGRBC1C03,2047,1.2993154502941729e-05
REGION1,LNDAGRBC1C03,2048,2.5606677536806236e-05
REGION1,LNDAGRBC1C03,2049,2.0075440911164875e-05
REGION1,LNDAGRBC1C03,2050,2.7755002387361536e-05
REGION1,LNDAGRBC1C04,2046,2.0618008638571946e-07
REGION1,LNDAGRBC1C04,2047,6.458587651725536e-07
REGION1,LNDAGRBC1C04,2048,6.89155224733705e-07
REGION1,LNDAGRBC1C04,2049,1.0646092913570696e-06
REGION1,LNDAGRBC1C04,2050,1.4623561151977863e-06
REGION1,LNDAGRBC1C06,2037,7.405163885358417e-09
REGION1,LNDAGRBC1C06,2038,1.4457700919476686e-08
REGION1,LNDAGRBC1C06,2039,2.1174402856498756e-08
REGION1,LNDAGRBC1C06,2040,3.007774019361295e-08
REGION1,LNDAGRBC1C06,2041,6.036763757012571e-08
REGION1,LNDAGRBC1C06,2042,8.158876844246181e-09
REGION1,LNDAGRBC1C06,2043,9.816326285777968e-08
